CELL_ID,위도,경도,생활이동인구_norm,스트라바이용자수_norm,거주인구_norm,녹시율_norm,공원겹침비율_norm,수요점수
다사53755250,37.57184277867732,126.97766640976022,0.9826438669391441,0.0,0.04973169277467613,0.0,0.0,1.0323755597138202
다사56004500,37.504353246778805,127.00359353743858,0.9740246363547421,0.0,0.22101468914304298,0.1337750704245192,0.0,1.3288143959223042
다사49254750,37.52654061662498,126.92705433042258,0.9615184519003659,0.6997163345123242,0.06642636457260556,0.5783250283742744,0.052,2.35798617935957
다사52255125,37.56049994442082,126.96076185227476,0.9297051209408855,0.0,0.4048457910997886,0.296172183650001,0.0,1.630723095690675
다사55755300,37.57644741891692,127.00028410034253,0.9450348148186921,0.0,0.10984335194319475,0.0,0.0,1.054878166761887
다사64754600,37.513741217348986,127.10254173643104,0.9556511853997545,0.0,0.18510488373353567,0.6296871090006263,0.0,1.7704431781339163
다사58755100,37.55855981883987,127.03437028003208,0.941769234983831,0.0,0.4783999132744322,0.7721260838218438,0.0,2.192295232080107
다사61506175,37.655570862865616,127.0649417773702,0.9392437924296647,0.0,0.32375738522413133,0.5562899661184024,0.0,1.8192911437721986
다사52504775,37.52896663021965,126.9638183736759,0.9392531197174754,0.0,0.12477641064556343,0.0116781469363847,0.0,1.0757076772994234
다사58254400,37.49544411779674,127.02910607676216,0.9424197001008648,0.0,0.28733264675592174,0.3780039036559146,0.0,1.6077562505127012
다사58004425,37.49768615171334,127.02626373908714,0.9323262626799599,0.0,0.468724592118814,0.6163733530500731,0.0,2.017424207848847
다사61004575,37.511337466509374,127.06012278458503,0.9425159331696801,0.0,0.1072144831698195,0.1872787059852146,0.0,1.2370091223247142
다사49005075,37.55581958557391,126.9239997899156,0.9372697825084514,0.0,0.24326521762697165,0.3419547643818986,0.0,1.5224897645173217
다사60254500,37.50454552545112,127.0516770739292,0.9376178746741396,0.0,0.451352376822592,0.5588297290726633,0.0,1.9477999805693949
다사61004600,37.51359081183579,127.06010955975586,0.9480365571171666,0.6601801655154516,0.1072144831698195,0.951924449266006,0.0,2.6673556550684436
다사54004325,37.4884827129798,126.98107530981738,0.9333487317560607,0.0,0.1844544419751748,0.2255310934529628,0.0,1.3433342671841983
다사54005175,37.56509537784099,126.9805443272109,0.9291523356469891,0.0,0.040137676838853054,0.523334230681178,0.0,1.49262424316702
다사42254800,37.530636252020365,126.84779739055436,1.0,0.0,0.6901729091007642,0.6629158340679707,0.0,2.353088743168735
다사64754575,37.51148785985343,127.10255368566904,0.9299553728580578,0.6696937050253258,0.215892460295951,1.0,0.444,3.2595415381793345
다사66754875,37.538602142245125,127.12504831426855,0.9170134578030642,0.0,0.4372865737980378,0.3759055786267243,0.0,1.7302056102278263
다사60254325,37.488772083811206,127.05177136000812,0.9182890216307195,0.0,0.5592715052306357,0.825770895798751,0.0,2.303331422660106
다사58006000,37.63964487286289,127.02536378272728,0.9235507834396766,0.0,0.5226841563228358,0.9595843101628532,0.0,2.4058192499253654
다사56254500,37.504365099055306,127.00642196792478,0.9274449470089687,0.47062516408112,0.21993061954577484,0.1004787042961641,0.03,1.7484794349320278
다사45254875,37.53757869649713,126.88169387168745,0.909553892945037,0.0,0.3903734619762589,1.0,0.0,2.2999273549212957
다사49004725,37.52427356422061,126.9242424176114,0.910934940517677,0.0,0.06642636457260556,0.7843361896621728,0.002,1.7636974947524553
다사51004900,37.54015482723977,126.94675913653856,0.9046388732724366,0.0,0.5077781993603989,0.5437824957309891,0.0,1.9561995683638247
다사54004275,37.48397605441117,126.9811064815258,0.9065240836699949,0.0,0.49989159304027314,0.3921593673421765,0.0,1.7985750440524444
다사49004350,37.490474066690126,126.92450195644274,0.8917494310928824,0.0,0.5301642365439861,0.5220118628449881,0.0,1.9439255304818566
다사64254575,37.51146868802523,127.09689621419618,0.9266412378637734,0.0,0.37232370318174424,0.2601923193169899,0.0,1.5591572603625077
다사47254650,37.517415497917895,126.904492180836,0.9098670660145417,0.0,0.3774188302889045,0.3944807177362535,0.0,1.6817666140396996
다사40505225,37.568830328905214,126.82764802869976,0.8968252601862413,0.0,0.11840750176161309,0.0,0.0,1.0152327619478545
다사49255700,37.61216514478258,126.92639805521124,0.8894074544684665,0.0,0.5348799392921025,0.0669330917812206,0.0,1.4912204855417897
다사49504275,37.483741552828086,126.93020904575056,0.9067135954874254,0.0,0.6309556073499918,0.3908240373769003,0.0,1.9284932402143176
다사65254750,37.5272802557292,127.10812868081612,0.9167703798313835,0.0,0.15729849856360778,0.0,0.039,1.1130688783949914
다사54005200,37.56734867633112,126.9805286796189,0.9175678032005079,0.0,0.04582904222451081,0.8359435232419281,0.0,1.7993403686669467
다사61006175,37.655549821200864,127.05927341915807,0.9112051272877886,0.0,0.23906444793755757,0.7550975891112306,0.0,1.9053671643365768
다사58004475,37.5021928306498,127.02623526598246,0.9182330682059436,0.0,0.3365765082118272,0.6262072058566082,0.0,1.881016782274379
다사48755775,37.6188972440818,126.92068067256372,0.9070622935698605,0.0,0.363569841183804,0.1691562662937831,0.0,1.4397884010474475
다사44754775,37.52853584869121,126.87610971198256,0.8871937946246059,0.0,0.3581223914575316,0.6076609807603341,0.0,1.8529771668424717
다사60254450,37.50003883216882,127.05170402030863,0.9064878525859181,0.0,0.48270908992357303,0.6296039651967078,0.0,2.018800907706199
다사64254850,37.536255555824845,127.09676282742964,0.9100354262452616,0.5004377567110547,0.4588866605236056,0.1850086580621645,0.0,2.0543685015420867
다사45004850,37.53531057667097,126.8788829370606,0.9038465072497963,0.4885421010657808,0.3903734619762589,1.0,0.124,2.906762070291836
다사49504675,37.51979442044389,126.92993500094158,0.9037395091289632,0.0,0.06642636457260556,1.0,0.0,1.9701658737015686
다사54004200,37.47721606005505,126.98115322607448,0.9075088028976347,0.05567076312863577,0.3926229063905903,0.4260842303063264,0.0,1.781886702723187
다사56505225,37.56972315084276,127.00882196625082,0.9064856994430853,0.0,0.08574990514391023,0.1617933352250803,0.0,1.1540289398120758
다사52754775,37.52897944196292,126.96664771559888,0.8747133832626466,0.0,0.12477641064556343,0.823875447218495,0.0,1.8233652411267052
다사54755250,37.57189233949824,126.9889902979656,0.9071682558496057,0.0,0.0,0.0,0.192,1.0991682558496056
다사64504625,37.51598502038963,127.09970087936529,0.9052849859388551,0.0,0.1920158274161201,0.9889856796734348,0.0,2.08628649302841
다사54505225,37.56962675236027,126.986174803837,0.8985084663947225,0.0,0.00010840695972681446,0.0,0.0,0.8986168733544493
다사60254400,37.49553213542316,127.0517309606876,0.8884227870762106,0.0,0.5525231719876416,0.454319687688591,0.0,1.895265646752443
다사47254700,37.521922072146346,126.90445636360936,0.887329048076627,0.0,0.3774188302889045,0.7599257450054475,0.0,2.024673623370979
다사47504625,37.5151764376562,126.9073388782528,0.8988847172755069,0.0,0.41639113231069436,0.3322156017836122,0.0,1.6474914513698133
다사44254725,37.52399927921892,126.8704890258772,0.8923818088918709,0.0,0.3757927258930023,0.9652693481265548,0.0,2.233443882911428
다사66504250,37.48225903295779,127.12250236359178,0.8912126482967074,0.44990475973843286,0.22025584042495527,0.1277185086919013,0.0,1.6890917571519968
다사58756075,37.64643862675809,127.03382222705096,0.8976617281606175,0.0,0.5509783728115345,0.9319270288896264,0.0,2.3805671298617783
다사42004650,37.517101032856665,126.84508624238572,0.8454023818660623,0.0,0.5327931053173613,0.0,0.0,1.3781954871834237
다사40255125,37.55980123177584,126.82489859452495,0.8463608352283343,0.0,0.11309556073499918,0.027022675496948,0.0,0.9864790714602815
다사61004450,37.50007072689097,127.06018888664534,0.888054672796191,0.0,0.39977776573255996,0.5508688623643487,0.0,1.8387013008930997
다사50005075,37.55587427449413,126.93532115258164,0.9006099154230806,0.0,0.17437259472058106,0.5561468564412824,0.0,1.631129366584944
다사55505175,37.56516888662991,126.9975286452929,0.8988824128321091,0.0,0.11897663830017886,1.0,0.0,2.0178590511322883
다사54255125,37.56060119738196,126.9834061620538,0.8936380004494422,0.0,0.0472654344408911,0.2258241207710718,0.0,1.1667275556614052
다사60504500,37.50455622646813,127.0545055312108,0.8886068969704423,0.0,0.4571250474280449,0.0426986152996154,0.0,1.3884305596981026
다사54255225,37.569614397096,126.98334391619376,0.9006212929326649,0.8160460863221398,0.007480080221150198,0.4315156033557854,0.0,2.1556630628317404
다사61754900,37.54066221912901,127.0684402203268,0.8972886626711449,0.0,0.31882486855656134,0.2640442573434977,0.0,1.480157788571204
다사44754750,37.52628257643597,126.87612847849768,0.8580876399624017,0.0,0.3581223914575316,0.6795362104269839,0.0,1.895746241846917
다사54755225,37.569639039746185,126.98900569320428,0.8992209318998134,0.0,0.0,0.0,0.05,0.9492209318998135
다사54005250,37.57185527070806,126.98049737920618,0.9006766775972088,0.0,0.0,0.0,0.0,0.9006766775972088
다사67005000,37.54987785379748,127.1278220768544,0.8995655923693479,0.0,0.3807794460404358,0.7888930655021844,0.0,2.0692381039119683
다사56005375,37.58321927331364,127.0030703275398,0.900658287727038,0.0,0.16938587457314758,0.0,0.0,1.0700441623001855
다사54005150,37.56284207848308,126.98055997306024,0.8945431396392408,0.0,0.03951433682042387,0.5516684109058783,0.0,1.4857258873655428
다사63755525,37.59707610290514,127.09077078745617,0.8963972984352945,0.0,0.5025746652935118,0.57319984799788,0.0,1.9721718117266862
다사57004375,37.49313356863198,127.01498014763304,0.8989565033504403,0.0,0.27391728548972843,0.333757850844203,0.0,1.5066316396843717
다사49504300,37.485994863566496,126.93019193225024,0.8969979695455587,0.0,0.7196053986665943,0.4036876416545865,0.0,2.0202910098667397
다사59755350,37.58113711651533,127.04555536472822,0.8896332319389824,0.0,0.31660252588216165,0.3198531040154426,0.0,1.5260888618365867
다사64504575,37.51147830780948,127.09972494926258,0.902254462707161,0.0,0.36760800043362785,0.2876320208127802,0.013,1.570494483953569
다사50255100,37.55814106335528,126.93813457907012,0.8991007336990583,0.0,0.12686324462030463,1.0,0.0,2.025963978319363
다사59754950,37.54508397243149,127.04577431298132,0.8991834753886564,0.0,0.14805680524689682,0.4522576812093939,0.089,1.588497961844947
다사51504225,37.479341841106624,126.95286291822698,0.8988878527352245,0.0,0.25700579977234533,0.3916320160134017,0.0,1.5475256685209715
다사63254575,37.51142953148728,127.08558128752033,0.8973754810682223,0.0,0.3379586969483441,0.3498054842514695,0.0,1.5851396622680358
다사47255200,37.56698762319602,126.90409775224433,0.8896420203132862,0.0,0.3321589246029595,0.8040696780331827,0.0,2.0258706229494283
다사61255850,37.62626751768447,127.06227950272005,0.8921865692956272,0.0,0.4288037291994146,0.0098371267385607,0.0,1.3308274252336025
다사53755175,37.56508288884047,126.97771361357437,0.88813530081379,0.0,0.040246083798579864,0.7648259998157478,0.298,1.9912073844281177
다사48005025,37.55125725614259,126.91271382404666,0.8782939874683127,0.0,0.2068133774188303,0.3514419061818917,0.0,1.4365492710690346
다사49254700,37.52203402775698,126.92708879434788,0.8910676655674133,0.0,0.06642636457260556,0.9553880124544624,0.0,1.9128820425944812
다사56255225,37.56971133860892,127.00599106508112,0.8952820603300244,0.0,0.052848392866822046,0.0,0.0,0.9481304531968465
다사49254275,37.483727882115176,126.92738142802236,0.8954005744473686,0.6371717395039264,0.6404141145861564,0.404164803407207,0.0,2.577151231944659
다사62004925,37.54292586458399,127.0712571443727,0.8960721171104168,0.0,0.3486367824814353,0.5148183542922976,0.0,1.7595272538841495
다사55504850,37.53587585004775,126.9977252603055,0.8870916833977218,0.0,0.1108732180605995,0.3189845092327624,0.0,1.3169494106910837
다사62004875,37.53841918884228,127.07128294961989,0.8925479419890103,0.0,0.38021030950187,0.1965341809407124,0.0,1.4692924324315928
다사59004475,37.50223766274066,127.03754870915404,0.890127877443453,0.0,0.2552441866767846,0.3934822759003853,0.0,1.538854340020623
다사46754725,37.5241466891402,126.8987801939272,0.8487881051120352,0.0,0.4776952680362079,0.3972036837742152,0.0,1.7236870569224583
다사58504450,37.49996204126694,127.03190605180242,0.8964559351404068,0.3268264370376225,0.24624640901945904,0.4789203303072131,0.001,1.9494491115047015
다사49254675,37.51978073202008,126.92710602343236,0.9049399797281708,0.0,0.06642636457260556,1.0,0.0,1.9713663443007763
다사53505225,37.56957692403429,126.97485126370326,0.892838587988432,0.0,0.09740365331454279,0.0858411018473292,0.0,1.076083343150304
다사54255150,37.562854498612005,126.98339060318838,0.8927216369397621,0.0,0.04553092308526207,0.2484983677585143,0.0,1.1867509277835384
다사55755375,37.583207319523225,127.0002389178667,0.897204454850313,0.0,0.2382784974795382,0.0,0.0,1.135482952329851
다사58254425,37.497697459479454,127.02909192755745,0.8841150325021426,0.0,0.25207328310477534,0.4222454474283279,0.0,1.5584337630352458
다사49004700,37.52202027046534,126.9242597336906,0.8985791494977133,0.0,0.06642636457260556,0.5944844568382528,0.0,1.5594899709085717
다사66754575,37.5115618375427,127.12518362402596,0.8846972769134953,0.6640780384705833,0.4217843785571033,0.7197422521811626,0.0,2.6903019461223447
다사58754450,37.49997321452763,127.0347343283942,0.8927928320230667,0.0,0.24624640901945904,0.2666025815317244,0.0,1.4056418225742502
다사47004275,37.483601800692085,126.90193295577303,0.8899086127216792,0.0,0.43441378936527725,0.4192034856662311,0.0,1.7435258877531874
다사38255175,37.56417603214168,126.8022131670067,0.8834044662416133,0.0,0.06252371402244024,0.0,0.0,0.9459281802640536
다사51504250,37.48159516223481,126.95284648771695,0.8891904063604158,0.0,0.5678898585289176,0.688786884212727,0.0,2.1458671491020604
다사51755025,37.55146078018691,126.9551664195382,0.8916137633386364,0.0,0.6343704265813864,0.4726935584670301,0.0,1.998677748387053
다사61004400,37.49556402498368,127.06021531716608,0.8839781287947011,0.0,0.5025746652935118,0.0009175174742426,0.009,1.3964703115624555
다사60754550,37.50907355303464,127.05730737765865,0.8907793556180168,0.0,0.1087050788660632,0.3074455513358227,0.0,1.3069299858199026
다사42004425,37.49682163472747,126.84526338726268,0.8673130131897161,0.23419988647986395,0.5291885739064447,0.5321457355062431,0.0,2.162847209082268
다사56754450,37.49988193255985,127.01210816004824,0.8851643650338313,0.0,0.3643828933817551,0.6854181321718391,0.0,1.9349653905874256
다사55005150,37.56289135182764,126.99188250393236,0.8865792371084671,0.0,0.059163098270908994,0.6590790721653411,0.0,1.6048214075447174
다사59754500,37.50452392025101,127.04602016387685,0.8988820728272867,0.0,0.2791750230364789,0.4388388756722993,0.0,1.616895971536065
다사59005150,37.56307758718261,127.03717289405652,0.8890108123187779,0.0,0.4279635752615317,0.5765798993456882,0.0,1.893554286925998
다사58505625,37.60586812499572,127.03124318910476,0.8857690022439516,0.0,0.5879722478183099,0.2484547853720188,0.0,1.7221960354342802
