o_cell_id,o_cell_x,o_cell_y,역사명,호선
다사42004800,942125,1948125,까치산,5호선
다사42004825,942125,1948375,까치산,5호선
다사42004900,942125,1949125,화곡,5호선
다사42004925,942125,1949375,화곡,5호선
다사42004950,942125,1949625,화곡,5호선
다사42005075,942125,1950875,발산,5호선
다사42005100,942125,1951125,발산,5호선
다사42005125,942125,1951375,발산,5호선
다사42005175,942125,1951875,양천향교,9호선
다사42005200,942125,1952125,양천향교,9호선
다사42005250,942125,1952625,양천향교,9호선
다사42254375,942375,1943875,오류동,경인선
다사42254400,942375,1944125,오류동,경인선
다사42254450,942375,1944625,오류동,경인선
다사42254475,942375,1944875,오류동,경인선
다사42254650,942375,1946625,신정네거리,2호선
다사42254675,942375,1946875,신정네거리,2호선
다사42254700,942375,1947125,신정네거리,2호선
다사42254775,942375,1947875,까치산,5호선
다사42254800,942375,1948125,까치산,5호선
다사42254825,942375,1948375,까치산,5호선
다사42254850,942375,1948625,까치산,5호선
다사42254900,942375,1949125,화곡,5호선
다사42254925,942375,1949375,화곡,5호선
다사42254950,942375,1949625,화곡,5호선
다사42255100,942375,1951125,가양,9호선
다사42255125,942375,1951375,가양,9호선
다사42255150,942375,1951625,가양,9호선
다사42255200,942375,1952125,양천향교,9호선
다사42504350,942625,1943625,오류동,경인선
다사42504375,942625,1943875,오류동,경인선
다사42504425,942625,1944375,오류동,경인선
다사42504450,942625,1944625,오류동,경인선
다사42504650,942625,1946625,신정네거리,2호선
다사42504825,942625,1948375,까치산,5호선
다사42504850,942625,1948625,까치산,5호선
다사42504875,942625,1948875,까치산,5호선
다사42505075,942625,1950875,가양,9호선
다사42505100,942625,1951125,가양,9호선
다사42505125,942625,1951375,가양,9호선
다사42505150,942625,1951625,가양,9호선
다사42505175,942625,1951875,가양,9호선
다사42505200,942625,1952125,가양,9호선
다사42505225,942625,1952375,양천향교,9호선
다사42754350,942875,1943625,개봉,경인선
다사42754450,942875,1944625,개봉,경인선
다사42754625,942875,1946375,신정네거리,2호선
다사42754650,942875,1946625,신정네거리,2호선
다사42754825,942875,1948375,까치산,5호선
다사42754850,942875,1948625,까치산,5호선
다사42755125,942875,1951375,가양,9호선
다사42755150,942875,1951625,가양,9호선
다사42755175,942875,1951875,가양,9호선
다사42755200,942875,1952125,가양,9호선
다사43004325,943125,1943375,개봉,경인선
다사43004350,943125,1943625,개봉,경인선
다사43004375,943125,1943875,개봉,경인선
다사43004400,943125,1944125,개봉,경인선
다사43004425,943125,1944375,개봉,경인선
다사43004450,943125,1944625,개봉,경인선
다사43004650,943125,1946625,신정네거리,2호선
다사43004775,943125,1947875,신정(은행정),5호선
다사43004800,943125,1948125,신정(은행정),5호선
다사43005175,943125,1951875,가양,9호선
다사43005200,943125,1952125,가양,9호선
다사43254350,943375,1943625,개봉,경인선
다사43254375,943375,1943875,개봉,경인선
다사43254400,943375,1944125,개봉,경인선
다사43254425,943375,1944375,개봉,경인선
다사43254450,943375,1944625,개봉,경인선
다사43254475,943375,1944875,개봉,경인선
다사43254550,943375,1945625,양천구청,2호선
다사43254600,943375,1946125,양천구청,2호선
다사43254625,943375,1946375,양천구청,2호선
다사43254975,943375,1949875,등촌,9호선
다사43255000,943375,1950125,등촌,9호선
다사43504375,943625,1943875,개봉,경인선
다사43504450,943625,1944625,개봉,경인선
다사43504475,943625,1944875,개봉,경인선
다사43504525,943625,1945375,양천구청,2호선
다사43504550,943625,1945625,양천구청,2호선
다사43504575,943625,1945875,양천구청,2호선
다사43504600,943625,1946125,양천구청,2호선
다사43504625,943625,1946375,양천구청,2호선
다사43504650,943625,1946625,양천구청,2호선
다사43504675,943625,1946875,목동,5호선
다사43504800,943625,1948125,목동,5호선
다사43504950,943625,1949625,등촌,9호선
다사43504975,943625,1949875,등촌,9호선
다사43505000,943625,1950125,등촌,9호선
다사43754350,943875,1943625,개봉,경인선
다사43754475,943875,1944875,구일,경인선
다사43754525,943875,1945375,양천구청,2호선
다사43754550,943875,1945625,양천구청,2호선
다사43754600,943875,1946125,양천구청,2호선
다사43754625,943875,1946375,양천구청,2호선
다사43754650,943875,1946625,양천구청,2호선
다사43754700,943875,1947125,목동,5호선
다사43754775,943875,1947875,목동,5호선
다사43754800,943875,1948125,목동,5호선
다사43754825,943875,1948375,목동,5호선
다사43754950,943875,1949625,등촌,9호선
다사43754975,943875,1949875,등촌,9호선
다사43755000,943875,1950125,등촌,9호선
다사43755125,943875,1951375,증미,9호선
다사44004350,944125,1943625,구일,경인선
다사44004450,944125,1944625,구일,경인선
다사44004475,944125,1944875,구일,경인선
다사44004550,944125,1945625,양천구청,2호선
다사44004575,944125,1945875,양천구청,2호선
다사44004600,944125,1946125,양천구청,2호선
다사44004625,944125,1946375,양천구청,2호선
다사44004775,944125,1947875,목동,5호선
다사44004800,944125,1948125,목동,5호선
다사44005025,944125,1950375,등촌,9호선
다사44254575,944375,1945875,양천구청,2호선
다사44254600,944375,1946125,양천구청,2호선
다사44254625,944375,1946375,양천구청,2호선
다사44254650,944375,1946625,양천구청,2호선
다사44254675,944375,1946875,오목교(목동운동장앞),5호선
다사44254800,944375,1948125,목동,5호선
다사44254925,944375,1949375,염창,9호선
다사44254950,944375,1949625,염창,9호선
다사44255050,944375,1950625,등촌,9호선
다사44504375,944625,1943875,구일,경인선
다사44504400,944625,1944125,구일,경인선
다사44504425,944625,1944375,구일,경인선
다사44504450,944625,1944625,구일,경인선
다사44504625,944625,1946375,양천구청,2호선
다사44504675,944625,1946875,오목교(목동운동장앞),5호선
다사44504700,944625,1947125,오목교(목동운동장앞),5호선
다사44504800,944625,1948125,오목교(목동운동장앞),5호선
다사44504925,944625,1949375,염창,9호선
다사44504950,944625,1949625,염창,9호선
다사44754225,944875,1942375,가산디지털단지,7호선
다사44754250,944875,1942625,가산디지털단지,7호선
다사44754275,944875,1942875,가산디지털단지,7호선
다사44754375,944875,1943875,구일,경인선
다사44754400,944875,1944125,구일,경인선
다사44754425,944875,1944375,구일,경인선
다사44754500,944875,1945125,구로,경부선
다사44754525,944875,1945375,구로,경부선
다사44754550,944875,1945625,구로,경부선
다사44754625,944875,1946375,도림천,2호선
다사44754650,944875,1946625,도림천,2호선
다사44754675,944875,1946875,오목교(목동운동장앞),5호선
다사44754700,944875,1947125,오목교(목동운동장앞),5호선
다사44754725,944875,1947375,오목교(목동운동장앞),5호선
다사44754750,944875,1947625,오목교(목동운동장앞),5호선
다사44754775,944875,1947875,오목교(목동운동장앞),5호선
다사44754800,944875,1948125,오목교(목동운동장앞),5호선
다사44755000,944875,1950125,염창,9호선
다사44755025,944875,1950375,염창,9호선
다사45004175,945125,1941875,가산디지털단지,7호선
다사45004200,945125,1942125,가산디지털단지,7호선
다사45004225,945125,1942375,가산디지털단지,7호선
다사45004250,945125,1942625,가산디지털단지,7호선
다사45004325,945125,1943375,남구로,7호선
다사45004400,945125,1944125,구일,경인선
다사45004475,945125,1944875,구로,경부선
다사45004525,945125,1945375,구로,경부선
다사45004575,945125,1945875,도림천,2호선
다사45004800,945125,1948125,오목교(목동운동장앞),5호선
다사45004900,945125,1949125,신목동,9호선
다사45254050,945375,1940625,독산,경부선
다사45254075,945375,1940875,독산,경부선
다사45254175,945375,1941875,가산디지털단지,7호선
다사45254200,945375,1942125,가산디지털단지,7호선
다사45254225,945375,1942375,가산디지털단지,7호선
다사45254325,945375,1943375,남구로,7호선
다사45254350,945375,1943625,남구로,7호선
다사45254425,945375,1944375,구로,경부선
다사45254450,945375,1944625,구로,경부선
다사45254475,945375,1944875,구로,경부선
다사45254500,945375,1945125,구로,경부선
다사45254525,945375,1945375,구로,경부선
다사45254575,945375,1945875,도림천,2호선
다사45254600,945375,1946125,도림천,2호선
다사45254800,945375,1948125,양평,5호선
다사45254875,945375,1948875,신목동,9호선
다사45254900,945375,1949125,신목동,9호선
다사45254925,945375,1949375,신목동,9호선
다사45503950,945625,1939625,금천구청,경부선
다사45503975,945625,1939875,금천구청,경부선
다사45504025,945625,1940375,독산,경부선
다사45504100,945625,1941125,독산,경부선
다사45504125,945625,1941375,독산,경부선
다사45504150,945625,1941625,독산,경부선
다사45504175,945625,1941875,가산디지털단지,7호선
다사45504200,945625,1942125,가산디지털단지,7호선
다사45504225,945625,1942375,가산디지털단지,7호선
다사45504325,945625,1943375,남구로,7호선
다사45504350,945625,1943625,남구로,7호선
다사45504375,945625,1943875,남구로,7호선
다사45504425,945625,1944375,구로,경부선
다사45504450,945625,1944625,구로,경부선
다사45504475,945625,1944875,구로,경부선
다사45504650,945625,1946625,도림천,2호선
다사45504700,945625,1947125,양평,5호선
다사45504725,945625,1947375,양평,5호선
다사45504750,945625,1947625,양평,5호선
다사45504800,945625,1948125,양평,5호선
다사45753925,945875,1939375,금천구청,경부선
다사45753950,945875,1939625,금천구청,경부선
다사45753975,945875,1939875,금천구청,경부선
다사45754075,945875,1940875,독산,경부선
다사45754100,945875,1941125,독산,경부선
다사45754125,945875,1941375,독산,경부선
다사45754150,945875,1941625,독산,경부선
다사45754175,945875,1941875,가산디지털단지,7호선
다사45754200,945875,1942125,가산디지털단지,7호선
다사45754325,945875,1943375,남구로,7호선
다사45754400,945875,1944125,대림(구로구청),2호선
다사45754425,945875,1944375,대림(구로구청),2호선
다사45754450,945875,1944625,구로,경부선
다사45754475,945875,1944875,구로,경부선
다사45754850,945875,1948625,선유도,9호선
다사45754950,945875,1949625,신목동,9호선
다사45754975,945875,1949875,신목동,9호선
다사45755350,945875,1953625,수색,경의중앙선
다사45755375,945875,1953875,수색,경의중앙선
다사46003900,946125,1939125,금천구청,경부선
다사46003925,946125,1939375,금천구청,경부선
다사46003950,946125,1939625,금천구청,경부선
다사46003975,946125,1939875,금천구청,경부선
다사46004000,946125,1940125,금천구청,경부선
다사46004050,946125,1940625,독산,경부선
다사46004075,946125,1940875,독산,경부선
다사46004100,946125,1941125,독산,경부선
다사46004125,946125,1941375,독산,경부선
다사46004150,946125,1941625,독산,경부선
다사46004225,946125,1942375,가산디지털단지,7호선
다사46004300,946125,1943125,남구로,7호선
다사46004400,946125,1944125,대림(구로구청),2호선
다사46004425,946125,1944375,대림(구로구청),2호선
다사46004450,946125,1944625,대림(구로구청),2호선
다사46004475,946125,1944875,구로,경부선
다사46004525,946125,1945375,신도림,2호선
다사46004550,946125,1945625,신도림,2호선
다사46004800,946125,1948125,양평,5호선
다사46005300,946125,1953125,수색,경의중앙선
다사46005325,946125,1953375,수색,경의중앙선
다사46005350,946125,1953625,수색,경의중앙선
다사46005375,946125,1953875,수색,경의중앙선
다사46005400,946125,1954125,수색,경의중앙선
다사46253900,946375,1939125,금천구청,경부선
다사46253925,946375,1939375,금천구청,경부선
다사46253950,946375,1939625,금천구청,경부선
다사46253975,946375,1939875,금천구청,경부선
다사46254000,946375,1940125,금천구청,경부선
다사46254050,946375,1940625,독산,경부선
다사46254075,946375,1940875,독산,경부선
다사46254100,946375,1941125,독산,경부선
다사46254125,946375,1941375,독산,경부선
다사46254150,946375,1941625,독산,경부선
다사46254250,946375,1942625,남구로,7호선
다사46254375,946375,1943875,대림(구로구청),2호선
다사46254400,946375,1944125,대림(구로구청),2호선
다사46254425,946375,1944375,대림(구로구청),2호선
다사46254500,946375,1945125,신도림,2호선
다사46254525,946375,1945375,신도림,2호선
다사46254550,946375,1945625,신도림,2호선
다사46254575,946375,1945875,신도림,2호선
다사46254825,946375,1948375,선유도,9호선
다사46254850,946375,1948625,선유도,9호선
다사46254875,946375,1948875,선유도,9호선
다사46254900,946375,1949125,선유도,9호선
다사46254925,946375,1949375,선유도,9호선
다사46255275,946375,1952875,월드컵경기장(성산),6호선
다사46255325,946375,1953375,수색,경의중앙선
다사46255350,946375,1953625,수색,경의중앙선
다사46255375,946375,1953875,수색,경의중앙선
다사46255400,946375,1954125,수색,경의중앙선
다사46255425,946375,1954375,수색,경의중앙선
다사46503900,946625,1939125,금천구청,경부선
다사46503925,946625,1939375,금천구청,경부선
다사46503950,946625,1939625,금천구청,경부선
다사46503975,946625,1939875,금천구청,경부선
다사46504000,946625,1940125,금천구청,경부선
다사46504025,946625,1940375,금천구청,경부선
다사46504050,946625,1940625,독산,경부선
다사46504075,946625,1940875,독산,경부선
다사46504100,946625,1941125,독산,경부선
다사46504125,946625,1941375,독산,경부선
다사46504250,946625,1942625,구로디지털단지,2호선
다사46504275,946625,1942875,구로디지털단지,2호선
다사46504375,946625,1943875,대림(구로구청),2호선
다사46504400,946625,1944125,대림(구로구청),2호선
다사46504425,946625,1944375,대림(구로구청),2호선
다사46504450,946625,1944625,대림(구로구청),2호선
다사46504500,946625,1945125,신도림,2호선
다사46504550,946625,1945625,신도림,2호선
다사46504575,946625,1945875,신도림,2호선
다사46504750,946625,1947625,영등포구청,5호선
다사46504775,946625,1947875,영등포구청,5호선
다사46504900,946625,1949125,선유도,9호선
다사46505125,946625,1951375,마포구청,6호선
다사46505225,946625,1952375,월드컵경기장(성산),6호선
다사46505375,946625,1953875,수색,경의중앙선
