d_cell_id,공원명,공원종류
다사59753800,청계산<시공원>,도시자연공원
다사61756500,수락산<시공원>,도시자연공원
다사64003975,인능산3<시공원>,도시자연공원
다사61006050,마들,근린공원
다사61506550,수락산<시공원>,도시자연공원
다사56255725,(북한산,도시자연공원
다사62253900,인능산2<시공원>,도시자연공원
다사62506325,수락산<시공원>,도시자연공원
다사63006375,수락산<시공원>,도시자연공원
다사65255375,용마<시공원>,도시자연공원
다사60755575,청량<시공원>,근린공원
다사66754625,올림픽공원,기타공원
다사70005025,명일<시공원>,근린공원
다사67254475,오금<시공원>,근린공원
다사63256325,불암산<시공원>,도시자연공원
다사48506025,은평뉴타운 10단지 실개천 (북-남)_by Jake,러너코스
다사50005725,[Tom's] Jokduri slippy bum descent,러너코스
다사48505200,Hongdae walking path,러너코스
다사43004300,목감천 5km run,러너코스
다사45254675,[10k]신정교_안합_신정교_반시계,러너코스
다사50504175,Hill from 도림천 to 용천사,러너코스
다사49755850,진관동 158 28 Climb,러너코스
다사40255375,염강나들목 to 방화대교 (4.5km) [gjpark],러너코스
다사52505275,Ingwansan from south ; road to summit,러너코스
다사58006075,우이천 근화교(덕성여대 앞) ~ 우이교,러너코스
다사59504225,영동2교-영동3교 (시계방향),러너코스
다사60256300,도봉 중랑천#1,러너코스
다사52755475,[Tom's] Inwangsan Stairs to Buam,러너코스
다사57505250,Cheongy 4.5k out,러너코스
다사47753550,Anyang - KwanAc Trail run,러너코스
다사69255200,고덕교-광나루공원-고덕교_13k_BY.캐훈,러너코스
다사65505025,광장동 구리 왕복 10Km,러너코스
다사46254475,400m인터벌(도림천오거리방향),러너코스
다사60004525,Seonjeongneung Park counterclockwise,러너코스
다사57755100,응봉공원 loop,러너코스
다사47504300,보라매후문~1km구간,러너코스
다사48754325,순대타운,러너코스
다사65004400,Helio City 2nd Loop,러너코스
다사52254325,Cheongnim Harmony Path,러너코스
다사46754625,문래자이아파트,러너코스
다사64754575,SLakeCircle Start East,러너코스
다사65254425,Helio City Park Band Loop,러너코스
다사61004600,I love apple pie,러너코스
다사71005125,Goduck 6km,러너코스
다사71505225,망월천 한바퀴 (시계),러너코스
다사53004750,Sinyongsan west scoot,러너코스
다사58755275,청계램프 - 제기1교,러너코스
다사53004950,Segment,러너코스
다사44754200,안양천(철산대교to광명대교),러너코스
다사66254125,(헌릉로757길) 1.25K 직선 아스팔트구간,러너코스
다사40005000,강서철인클럽 근전환 코스,러너코스
다사59754400,KR-Seoul: Dogok-ro - Teheran-ro 1km Block,러너코스
다사68254250,휴먼링 시계방향(꿈에그린),러너코스
다사48503950,관악벽산-호압사,러너코스
다사66754725,Around Seoul Olympic Park ,러너코스
다사50504975,[경의선숲길] 대흥역-공덕,러너코스
다사60255100,Cheonggyecheon Bicycle Path,러너코스
다사57004225,Segment,러너코스
다사65505000,뚝섬대회10K,러너코스
다사58005325,성북천 (청계천 - 보문3교),러너코스
다사67255250,광장동 구리 왕복 10Km,러너코스
다사42004150,목감천 5km run,러너코스
다사60754925,[SSRC] 성수역 - 마가지노,러너코스
다사45754600,Shindorim - Ohgeumgyo Loop - Clockwise,러너코스
다사59504475,KR-Seoul: Dogok-ro - Teheran-ro 1km Block,러너코스
다사41004325,천왕산 업힐,러너코스
다사63255775,먹골교 Last 1km,러너코스
다사62255725,Rose Run 태릉입구-중화,러너코스
다사56505425,바람마당~  성북천분수광장,러너코스
다사53004775,Sinyongsan west scoot,러너코스
다사45504075,철산대교_금천교,러너코스
다사59005975,둘리 VS 고길동,러너코스
다사54504900,Haebangchon,러너코스
다사48505950,은평뉴타운 - 안에,러너코스
다사55004550,Seoul Flyers 10k Loop,러너코스
다사60004575,Seonjeongneung Hill,러너코스
다사62005900,N1RC코스:[공릉동철길]좌측왕복_하이파이브런@ddamdo,러너코스
다사55006200,△북한산: Ui-Dong Road Climb,러너코스
다사55005475,Being watched,러너코스
다사61005975,한천교 → 당현4교,러너코스
다사57506600,Segment,러너코스
다사55004225,Bangbae to Sadang Hill,러너코스
다사64005750,반바퀴,러너코스
다사52254675,한강대교 (북쪽),러너코스
다사57256100,우이천 근화교(덕성여대 앞) ~ 우이교,러너코스
다사46504625,문래자이아파트,러너코스
다사54504950,Haebangchon,러너코스
다사64254925,광장동 381 22 Climb,러너코스
다사52254450,Seodalsan: The Climb and the Fall,러너코스
다사51754425,숭실대뺑뺑이,러너코스
다사46755225,Sangam TR-Autumn Course,러너코스
다사48253525,Anyang - KwanAc Trail run,러너코스
다사50004175,서원동성당-신림3교,러너코스
다사65004425,Helio City 2nd Loop,러너코스
다사43504350,목감천 5km run,러너코스
다사48755975,Segment,러너코스
다사72005175,망월천 한바퀴 (시계),러너코스
다사48753550,Anyang - KwanAc Trail run,러너코스
다사65754300,훼밀리아파트5KM-마트조형물시작,러너코스
다사51254800,마포TR 6KM,러너코스
다사65504425,Helio City 2nd Loop,러너코스
다사64754300,segment,러너코스
다사58755325,청계램프 - 제기1교,러너코스
다사45004600,Ohgeumgyo - Shinjeonggyo - Reverse,러너코스
다사64005025,Segment,러너코스
다사68754225,휴먼링 북-남(시계방향),러너코스
다사54004475,Seoul Canal to Han River,러너코스
다사54005075,회현동1가 205 2 Climb,러너코스
다사57506250,Segment,러너코스
다사48505975,롯데은평몰 도로방향 200m 쥐어짜기 구간_DDRC crew,러너코스
다사56005775,북한산 둘레길 4코스 / Bukhansan Trail #4,러너코스
다사61754525,탄천~CU 5km,러너코스
다사58254075,양재천 10K,러너코스
다사67004425,Detention Center Uphill-1_JK,러너코스
다사46254450,400m인터벌(도림천오거리방향),러너코스
다사42255250,한강안쪽 500m 직선도로,러너코스
다사64004800,뚝섬대회10K,러너코스
다사60754725,잠실TR 10KM,러너코스
다사58255425,The way up,러너코스
다사51504200,SNU subway to entrance uphill 650m,러너코스
다사62003975,내곡동 1 1221 Climb,러너코스
다사49004300,순대타운,러너코스
다사59004600,Garlands,러너코스
다사66254200,장지천(토끼굴-탄천),러너코스
다사57255450,바람마당~  성북천분수광장,러너코스
다사48754725,여의도공원 (Start/Finish @ Entrance #12),러너코스
다사47505175,사천교~홍제천 합수부 왕복(5.0km),러너코스
다사56005750,북한산 둘레길 4코스 / Bukhansan Trail #4,러너코스
다사57254525,Highway 1 towards river,러너코스
다사59005250,Cheongy 4.5k out,러너코스
다사60754600,Bongeunsa climb #4,러너코스
다사62505325,동대문마라톤10K코스,러너코스
다사52254400,Segment,러너코스
다사51754650,Han River Bridge Island half lap,러너코스
다사42254425,오류동역 1k,러너코스
다사60254525,Seonjeongneung Park counterclockwise,러너코스
다사60506175,상계교_창동교 서편 by psw,러너코스
다사60255025,송정로 <-> 군자교,러너코스
다사58504475,Yeoksam hill,러너코스
다사64754400,Helio City Park Band Loop,러너코스
다사51504550,φ Noryangjin Park Traverse [South],러너코스
다사72505125,망월천 한바퀴 (시계),러너코스
다사52004400,Segment,러너코스
다사60005125,Sageun-dong Short Climb,러너코스
다사56255450,Segment,러너코스
다사51004825,마포TR 6KM,러너코스
다사46504525,Dosin-ro 9-gil down,러너코스
다사52504475,Seodalsan: The Climb and the Fall,러너코스
다사50254175,Hill from 도림천 to 용천사,러너코스
다사60254275,영동2교-영동3교 (시계방향),러너코스
다사47505350,bulgwang stream(불광천) 5km,러너코스
다사56755575,Segment,러너코스
다사64754975,광장동 381 22 Climb,러너코스
다사49754150,서원동성당-신림3교,러너코스
다사59755225,Cheongy 4.5k out,러너코스
다사59255250,Cheongy 4.5k out,러너코스
다사48255500,bulgwang stream(불광천) 5km,러너코스
다사60004850,[HUMANRACE] 뚝섬TR 10K,러너코스
다사42004850,Segment,러너코스
다사39754250,Yeokgok Stream (역곡천),러너코스
