CELL_ID,mclp_green_walk_score_0_1
다사54504050,0.10984646819585987
다사54255675,0.0
다사54255700,0.0
다사54255725,0.0
다사54255750,0.0
다사54255575,0.0
다사54255600,0.0
다사54255625,0.0
다사54255650,0.0
다사54255875,0.0
다사54255900,0.0
다사54255925,0.0
다사54255950,0.0
다사54255775,0.0
다사54255800,0.0
다사54255825,0.0
다사54255850,0.0
다사54005750,0.0
다사54005775,0.0
다사54005800,0.0
다사54005825,0.0
다사54005650,0.0
다사54005675,0.0
다사54005700,0.0
다사54005725,0.0
다사54005950,0.0
다사54006150,0.0
다사54006175,0.0
다사54006200,0.0
다사54005850,0.0
다사54005875,0.0
다사54005900,0.0
다사54005925,0.0
다사54005350,0.0
다사54005375,0.0
다사54005400,0.0
다사54005425,0.0
다사54005250,0.0
다사54005275,0.0
다사54005300,0.0
다사54005325,0.0
다사54005550,0.0
다사54005575,0.0
다사54005600,0.0
다사54005625,0.0
다사54005450,0.0
다사54005475,0.0
다사54005500,0.0
다사54005525,0.0
다사54254475,0.0026029012514089517
다사54254500,0.0448800426537389
다사54254525,0.0
다사54254550,0.0
다사54254375,0.36247931957610685
다사54254400,0.29099201752817494
다사54254425,0.33814369545689577
다사54254450,0.054801255564327724
다사54254675,0.18749280932713808
다사54254700,0.0010406227609182214
다사54254725,0.0
다사54254750,0.0
다사54254575,0.0
다사54254600,0.0
다사54254625,0.08239041166339982
다사54254650,0.5528611689993207
다사54254075,0.0
다사54254100,0.11358937535187874
다사54254125,0.506380828246489
다사54254150,0.3377434586829624
다사54253975,0.0
다사54254000,0.0
다사54254025,0.0
다사54254050,0.0
다사54254275,0.007280305533689274
다사54254300,0.5326327613556785
다사54254325,0.2452961774955983
다사54254350,0.5254610206427038
다사54254175,0.12839061962879536
다사54254200,0.3245807530404776
다사54254225,0.0
다사54254250,0.0
다사54004150,0.426595821756754
다사54004175,0.33574623541124426
다사54004200,0.4260842303063264
다사54004225,0.5508807084465193
다사54004050,0.0
다사54004075,0.0
다사54004100,0.0
다사54004125,0.0
다사54004350,0.24995110798674372
다사54004375,0.0766534097217766
다사54004400,0.015279577218195976
다사54004425,0.0
다사54004250,0.4333256594382909
다사54004275,0.3921593673421765
다사54004300,0.13861117523476155
다사54004325,0.22553109345296282
다사53755775,0.0
다사53755800,0.0
다사53755825,0.0
다사53755850,0.0
다사53755675,0.0
다사53755700,0.0
다사53755725,0.0
다사53755750,0.0
다사54003950,0.0
다사54003975,0.0
다사54004000,0.0
다사54004025,0.0
다사53755875,0.0
다사53755900,0.0
다사53755925,0.0
다사53755950,0.0
다사54004950,0.00696867691146496
다사54004975,1.0
다사54005000,0.17384492171431903
다사54005025,0.3784867819653046
다사54004850,0.20885158630585884
다사54004875,0.0
다사54004900,0.014982423830776064
다사54004925,0.05587596579569922
다사54005150,0.5516684109058783
다사54005175,0.523334230681178
다사54005200,0.8359435232419281
다사54005225,0.5136270575346077
다사54005050,0.144105724526149
다사54005075,0.36355841841490133
다사54005100,0.0734263834933163
다사54005125,0.5532113091261037
다사54004550,0.0
다사54004575,0.0
다사54004600,0.0
다사54004625,0.0
다사54004450,0.0
다사54004475,0.027139601588024694
다사54004500,0.011706029016227458
다사54004525,0.0
다사54004750,0.0
다사54004775,0.0
