CELL_ID,공원겹침비율
다사53504300,0.25
다사53504325,0.0
다사53504350,0.0
다사53255775,0.0
다사53255800,0.0
다사53255825,0.0
다사53255850,0.0
다사53255675,0.0
다사53255700,0.0
다사53255725,0.0
다사53255750,0.0
다사53503975,1.0
다사53504000,0.996
다사53504025,0.866
다사53504050,0.831
다사53255875,0.0
다사53255900,0.0
다사53255925,0.0
다사53503950,0.498
다사53005800,0.0
다사53005825,0.0
다사53005850,0.0
다사53005875,0.0
다사53005700,0.0
다사53005725,0.0
다사53005750,0.0
다사53005775,0.0
다사53253975,1.0
다사53254000,1.0
다사53254025,1.0
다사53254050,1.0
다사53005900,0.0
다사53253900,0.0
다사53253925,0.419
다사53253950,0.974
다사53005400,0.131
다사53005425,0.021
다사53005450,0.165
다사53005475,0.844
다사53005300,0.203
다사53005325,0.0
다사53005350,0.0
다사53005375,0.0
다사53005600,0.472
다사53005625,0.089
다사53005650,0.0
다사53005675,0.0
다사53005500,0.123
다사53005525,0.0
다사53005550,0.0
다사53005575,0.04
다사53254575,0.0
다사53254600,0.0
다사53254625,0.305
다사53254650,0.306
다사53254475,0.0
다사53254500,0.0
다사53254525,0.0
다사53254550,0.0
다사53254775,0.0
다사53254800,0.0
다사53254825,0.0
다사53254850,0.0
다사53254675,0.0
다사53254700,0.0
다사53254725,0.0
다사53254750,0.0
다사53254175,0.07
다사53254200,0.0
다사53254225,0.0
다사53254250,0.0
다사53254075,1.0
다사53254100,1.0
다사53254125,0.83
다사53254150,0.226
다사53254375,0.0
다사53254400,0.0
다사53254425,0.0
다사53254450,0.0
다사53254275,0.0
다사53254300,0.135
다사53254325,0.001
다사53254350,0.0
다사71755025,0.0
다사71755050,0.0
다사71755075,0.0
다사71755100,0.0
다사71505250,0.0
다사71754950,0.0
다사71754975,0.0
다사71755000,0.0
다사72005000,0.0
다사72005025,0.0
다사71755125,0.0
다사71755150,0.0
다사72004950,0.0
다사72004975,0.0
다사71004975,0.0
다사71005000,0.0
다사71005025,0.0
다사71005050,0.0
다사70755275,0.0
다사70755300,0.0
다사70755325,0.0
다사71004950,0.0
다사71005175,0.0
다사71005200,0.0
다사71005225,0.0
다사71005250,0.0
다사71005075,0.0
다사71005100,0.0
다사71005125,0.0
다사71005150,0.0
다사70754975,0.026
다사70755000,0.0
다사70755025,0.0
다사70755050,0.0
다사70505275,0.0
다사70505300,0.0
다사70505325,0.0
다사70754950,0.0
다사70755175,0.0
다사70755200,0.0
다사70755225,0.0
다사70755250,0.0
다사70755075,0.0
다사70755100,0.006
다사70755125,0.101
다사70755150,0.0
다사71504950,0.0
다사71504975,0.0
다사71505000,0.0
다사71505025,0.0
다사71255275,0.0
다사71255300,0.0
다사71255325,0.0
다사71255350,0.0
다사71505150,0.0
다사71505175,0.0
다사71505200,0.0
다사71505225,0.0
다사71505050,0.0
다사71505075,0.0
다사71505100,0.0
다사71505125,0.0
다사71254975,0.0
다사71255000,0.0
다사71255025,0.0
다사71255050,0.0
다사71005275,0.0
다사71005300,0.0
다사71005325,0.0
다사71254950,0.0
다사71255175,0.0
다사71255200,0.0
다사71255225,0.0
다사71255250,0.0
다사71255075,0.0
다사71255100,0.0
다사71255125,0.0
다사71255150,0.0
다사70005000,0.706
다사70005025,0.888
다사70005050,1.0
다사70005075,0.169
다사70004900,0.007
다사70004925,0.351
다사70004950,0.028
다사70004975,0.781
다사70005200,0.0
다사70005225,0.0
다사70005250,0.0
다사70005275,0.0
다사70005100,0.022
다사70005125,0.117
다사70005150,0.0
다사70005175,0.0
다사69755050,0.907
다사69755075,0.517
다사69755100,0.642
다사69755125,0.739
다사69754950,0.076
다사69754975,0.653
다사69755000,0.647
다사69755025,0.934
다사69755250,0.0
다사69755275,0.0
다사70004425,0.0
다사70004450,0.157
다사69755150,0.209
다사69755175,0.0
다사69755200,0.0
다사69755225,0.022
다사70504975,0.374
다사70505000,0.0
다사70505025,0.0
다사70505050,0.0
다사70255300,0.0
다사70255325,0.0
다사70504925,0.0
다사70504950,0.118
다사70505175,0.0
다사70505200,0.0
다사70505225,0.0
다사70505250,0.0
다사70505075,0.0
다사70505100,0.622
다사70505125,0.278
다사70505150,0.0
다사70255000,0.579
다사70255025,0.503
다사70255050,0.565
다사70255075,0.078
다사70005300,0.0
다사70254925,0.0
다사70254950,0.187
다사70254975,0.911
다사70255200,0.0
다사70255225,0.0
다사70255250,0.0
다사70255275,0.0
다사70255100,0.053
다사70255125,0.511
다사70255150,0.022
다사70255175,0.0
다사69255075,0.166
다사69255100,0.228
다사69255125,0.001
다사69255150,0.0
다사69254975,0.0
다사69255000,0.0
다사69255025,0.0
다사69255050,0.086
다사69504300,0.0
다사69504325,0.0
다사69504350,0.0
다사69504375,0.0
다사69255175,0.0
다사69255200,0.331
다사69255225,0.172
다사69255250,0.0
다사69254425,0.002
다사69254450,0.133
다사69254475,0.187
다사69254750,0.032
다사69254325,0.0
