CELL_ID,4월_유출,4월_유입,4월_총이동,9월_유출,9월_유입,9월_총이동,일평균_유출,일평균_유입,일평균_총이동
다사49504675,12184.55,13004.6,25189.15,12315.25,12956.74,25271.99,12249.9,12980.67,25230.57
다사64504575,13622.35,14422.1,28044.45,10578.27,11015.59,21593.85,12100.310000000001,12718.845000000001,24819.15
다사54005250,13043.1,13179.6,26222.7,11171.62,11384.46,22556.07,12107.36,12282.029999999999,24389.385000000002
다사56005375,13159.65,13337.1,26496.75,11026.66,11245.43,22272.09,12093.154999999999,12291.265,24384.42
다사54255225,12570.6,13331.5,25902.1,10999.3,11847.47,22846.77,11784.95,12589.485,24374.434999999998
다사50005075,12685.05,13003.2,25688.25,11371.07,11683.42,23054.48,12028.06,12343.310000000001,24371.364999999998
다사67005000,12875.1,12989.9,25865,11143.56,11173.88,22317.43,12009.33,12081.89,24091.215
다사54755225,12444.6,12892.6,25337.2,11058.76,11602.96,22661.73,11751.68,12247.779999999999,23999.465
다사59754950,13169.45,13372.45,26541.9,10693.19,10743.94,21437.13,11931.32,12058.195,23989.515
다사50255100,12490.8,13904.45,26395.25,10039.67,11500.18,21539.85,11265.235,12702.315,23967.55
다사57004375,12919.9,13050.1,25970,10854.45,11034.17,21888.62,11887.175,12042.135,23929.309999999998
다사51504225,12735.45,13677.3,26412.75,10392.75,11016.76,21409.51,11564.1,12347.029999999999,23911.129999999997
다사47504625,11138.4,12729.5,23867.9,11342.68,12610.02,23952.7,11240.54,12669.76,23910.300000000003
다사55505175,12328.4,12559.4,24887.8,11378.44,11553.15,22931.58,11853.42,12056.275,23909.690000000002
다사59754500,13965.35,14351.75,28317.1,9603.77,9898.33,19502.1,11784.560000000001,12125.04,23909.6
다사49004700,13627.95,13664,27291.95,10189.23,10177.92,20367.15,11908.59,11920.96,23829.550000000003
다사54505225,11282.6,12298.65,23581.25,11296.61,12743.96,24040.57,11289.605,12521.305,23810.91
다사58254450,13359.5,14670.6,28030.1,9251.01,10122.73,19373.74,11305.255000000001,12396.665,23701.92
다사46004550,15554.7,15689.1,31243.8,7963.81,8114.03,16077.83,11759.255000000001,11901.565,23660.815
다사58756075,11618.25,12120.5,23738.75,11542.79,11895.95,23438.74,11580.52,12008.225,23588.745000000003
다사63254575,12728.1,12959.1,25687.2,10695.92,10645.1,21341.02,11712.01,11802.1,23514.11
다사61754900,11495.75,12696.95,24192.7,10861.72,11928.62,22790.34,11178.735,12312.785,23491.52
다사55755375,12571.65,13941.55,26513.2,9649.94,10776.12,20426.06,11110.795,12358.835,23469.63
다사49504300,12523.7,12461.75,24985.45,10880.8,10965.83,21846.63,11702.25,11713.79,23416.04
다사40505225,9142.7,9434.25,18576.95,13952.9,14212.77,28165.67,11547.8,11823.51,23371.309999999998
다사58504450,12876.85,13067.6,25944.45,10177.26,10430.19,20607.44,11527.055,11748.895,23275.945
다사63755525,12202.4,12202.05,24404.45,11026.24,11090.99,22117.23,11614.32,11646.52,23260.84
다사62004925,11042.85,14439.6,25482.45,9231.93,11640.12,20872.05,10137.39,13039.86,23177.25
다사53755100,13362.65,13378.75,26741.4,9657.6,9707.12,19364.72,11510.125,11542.935000000001,23053.06
다사65254600,12882.45,14840,27722.45,8511.59,9870.28,18381.87,10697.02,12355.14,23052.16
다사49254275,12141.15,12969.25,25110.4,10079.36,10821.39,20900.75,11110.255000000001,11895.32,23005.575
다사56255225,12464.2,12530.35,24994.55,10433.48,10522.79,20956.27,11448.84,11526.57,22975.41
다사47254750,13332.55,13237.35,26569.9,9682.68,9520.55,19203.23,11507.615,11378.95,22886.565000000002
다사54005150,11716.6,11674.25,23390.85,11135.99,11049.61,22185.6,11426.295,11361.93,22788.225
다사61004550,14544.25,14744.45,29288.7,7989.4,8054.7,16044.11,11266.825,11399.575,22666.405
다사54255125,11334.4,10894.1,22228.5,11585.5,11308.03,22893.52,11459.95,11101.065,22561.010000000002
다사53505225,12232.5,11961.95,24194.45,10294.48,10235.51,20529.99,11263.49,11098.73,22362.22
다사58754450,12015.85,12426.4,24442.25,9945.17,10314.37,20259.54,10980.51,11370.385,22350.895
다사54255150,11489.1,12670.35,24159.45,9588.84,10918.28,20507.12,10538.970000000001,11794.315,22333.285
다사62004875,12157.95,11667.6,23825.55,10572.97,10182.24,20755.21,11365.46,10924.92,22290.379999999997
다사44254725,10421.25,10450.65,20871.9,11869.19,11757.75,23626.94,11145.220000000001,11104.2,22249.42
다사61255850,11708.9,11411.05,23119.95,10758.33,10524.48,21282.81,11233.615,10967.765,22201.38
다사58754425,13102.6,13388.55,26491.15,8752.08,9033.79,17785.87,10927.34,11211.17,22138.510000000002
다사49004350,7731.5,7703.15,15434.65,14419.01,14334.73,28753.74,11075.255000000001,11018.939999999999,22094.195
