역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m,cluster,cluster_label
화계,우이신설선,1,0,0.0,1,0,7031,37.634133,127.017511,2.0,1601.6666666666663,2895.333333333333,1509.9221600301605,2754.57904797074,2.5,2.53,4.05,730.345,729.87,3,도시자연공원인접형
4.19민주묘지,우이신설선,1,2,423717.0,1,0,6984,37.649502,127.013684,3.0,2330.9,6681.7,3452.3543686327084,14214.182014941218,3.0,1.8050666666666668,3.6,217.85,82.82,3,도시자연공원인접형
솔밭공원,우이신설선,1,2,423717.0,0,0,5047,37.65603,127.013273,5.0,3750.4,9405.7,2843.723282225268,6630.373962389973,2.6,1.5934,5.64,601.736,470.28,2,도심공원형
관악산(서울대),신림선,1,0,0.0,1,0,6412,37.4691018,126.9450639,5.0,4151.25,425310.0,4032.620044900488,424876.0227909233,1.8,4.4866,3.4599999999999995,575.586,144.31,3,도시자연공원인접형
서원,신림선,1,1,129677.8,1,0,6666,37.4782341,126.9330365,4.0,816.25,5907.5,2504.1753218602257,18508.129728455973,3.0,0.64575,7.925000000000001,464.3075,15.12,3,도시자연공원인접형
당곡,신림선,1,2,794384.2,0,0,9452,37.4902998,126.9275133,3.0,2168.2,91789.6,1660.680599556328,61628.69426209581,5.0,1.088,-0.1999999999999999,524.1666666666666,463.09,2,도심공원형
보라매공원,신림선,1,1,406705.0,0,0,5065,37.4955691,126.9180827,4.0,3154.95,99026.1,2421.7278762811948,120241.48893452794,4.75,1.0655,-0.2,459.2375,149.93,2,도심공원형
청계산입구,신분당선,1,0,0.0,2,0,9520,37.447211,127.055664,1.0,11.0,96.0,11.0,96.0,1.0,1.33,0.2,134.13,134.13,3,도시자연공원인접형
양재시민의숲(매헌),신분당선,1,5,495882.4,1,0,22913,37.470023,127.03842,3.0,4382.75,23372.0,4716.665183075681,25272.069698728323,4.0,4.308333333333333,-0.3999999999999999,402.53,368.95,3,도시자연공원인접형
중앙보훈병원,9호선(연장),1,0,0.0,1,0,22486,37.529191,127.148739,2.0,170.0,2511.0,170.0,2511.0,1.0,0.9475,0.2,318.21500000000003,299.41,3,도시자연공원인접형
