CELL_ID,위도,경도,스트라바이용자수,거주인구,녹시율,공원겹침비율,생활이동
다사53755250,37.57184277867732,126.97766640976022,0,291.5,0,0,0
다사56004500,37.504353246778805,127.00359353743858,0,815.5,0.1337750704245192,0,0
다사49254750,37.52654061662498,126.92705433042258,1205.5,245.1,0.5783250283742744,0.052,47832.975
다사52255125,37.56049994442082,126.96076185227476,0,1493.8,0.296172184,0,0
다사55755300,37.57644741891692,127.00028410034253,0,527.1,0,0,0
다사64754600,37.513741217348986,127.10254173643104,0,683,0.6296871090006263,0,0
다사58755100,37.55855981883987,127.03437028003208,0,1765.2,0.7721260838218438,0,0
다사61506175,37.655570862865616,127.0649417773702,0,1709.5,0.5562899661184024,0,0
다사52504775,37.52896663021965,126.9638183736759,0,460.4,0.011678147,0,0
다사58254400,37.49544411779674,127.02910607676216,0,1060.2,0.3780039036559146,0,0
다사58004425,37.49768615171334,127.02626373908714,0,1729.5,0.6163733530500731,0,0
다사61004575,37.511337466509374,127.06012278458503,0,395.6,0.1872787059852146,0,0
다사49005075,37.55581958557391,126.9239997899156,0,897.6,0.3419547643818986,0,0
다사60254500,37.50454552545112,127.0516770739292,0,1665.4,0.5588297290726633,0,0
다사61004600,37.51359081183579,127.06010955975586,807,395.6,0.951924449,0,41200.935
다사54004325,37.48848271,126.98107530981738,0,680.6,0.2255310934529628,0,0
다사54005175,37.56509537784099,126.9805443272109,0,148.1,0.523334231,0,0
다사42254800,37.530636252020365,126.84779739055436,0,2546.6,0.6629158340679707,0,0
다사64754575,37.51148785985343,127.10255368566904,888.8333333333334,796.6,1,0.444,33726.65
다사66754875,37.538602142245125,127.12504831426855,0,1613.5,0.3759055786267243,0,0
다사60254325,37.488772083811206,127.05177136000812,0,2063.6,0.825770896,0,0
다사58006000,37.63964487286289,127.02536378272728,0,1928.6,0.9595843101628532,0,0
다사56254500,37.504365099055306,127.00642196792478,117.2,811.5,0.1004787042961641,0.03,32802.21
다사45254875,37.53757869649713,126.88169387168745,0,1440.4,1,0,0
다사49004725,37.52427356422061,126.9242424176114,0,245.1,0.7843361896621728,0.002,0
다사51004900,37.54015482723977,126.94675913653856,0,1873.6,0.5437824957309891,0,0
다사54004275,37.48397605441117,126.9811064815258,0,1844.5,0.3921593673421765,0,0
다사49004350,37.490474066690126,126.92450195644274,0,1956.2,0.5220118628449881,0,0
다사64254575,37.51146868802523,127.09689621419618,0,1373.8,0.2601923193169899,0,0
다사47254650,37.517415497917895,126.9044922,0,1392.6,0.3944807177362535,0,0
다사40505225,37.568830328905214,126.82764802869976,0,436.9,0,0,0
다사49255700,37.61216514478258,126.92639805521124,0,1973.6,0.066933092,0,0
다사49504275,37.483741552828086,126.93020904575056,0,2328.1,0.3908240373769003,0,0
다사65254750,37.52728026,127.10812868081612,0,580.4,0,0.039,0
다사54005200,37.56734867633112,126.9805286796189,0,169.1,0.8359435232419281,0,0
다사61006175,37.655549821200864,127.05927341915807,0,1419.8,0.7550975891112306,0,0
다사58004475,37.50219283,127.02623526598246,0,1241.9,0.6262072058566082,0,0
다사48755775,37.61889724,126.92068067256372,0,1341.5,0.1691562662937831,0,0
다사44754775,37.52853584869121,126.87610971198256,0,1321.4,0.6076609807603341,0,0
다사60254450,37.50003883216882,127.05170402030863,0,1781.1,0.6296039651967078,0,0
다사64254850,37.536255555824845,127.09676282742964,158.92307692307693,1693.2,0.1850086580621645,0,27051.915
다사45004850,37.53531057667097,126.8788829370606,140.75,1440.4,1,0.124,25260.475
다사49504675,37.51979442044389,126.92993500094158,0,245.1,1,0,0
다사54004200,37.47721606005505,126.98115322607448,0.7586206896551724,1448.7,0.4260842303063264,0,26305.705
다사56505225,37.56972315084276,127.00882196625082,0,560.1,0.1617933352250803,0,0
다사52754775,37.52897944196292,126.96664771559888,0,460.4,0.823875447,0,0
다사54755250,37.57189233949824,126.9889902979656,0,173.4,0,0.192,0
다사64504625,37.51598502038963,127.09970087936529,0,708.5,0.9889856796734348,0,0
다사54505225,37.56962675236027,126.9861748,0,173.4,0,0,0
다사60254400,37.49553213542316,127.0517309606876,0,2038.7,0.454319688,0,0
다사47254700,37.521922072146346,126.90445636360936,0,1392.6,0.7599257450054475,0,0
다사47504625,37.51517644,126.9073388782528,0,1536.4,0.3322156017836122,0,0
다사44254725,37.52399927921892,126.8704890258772,0,1386.6,0.9652693481265548,0,0
다사66504250,37.48225903295779,127.12250236359178,94.8,812.7,0.1277185086919013,0,21963.285
다사58756075,37.64643862675809,127.03382222705096,0,2033,0.9319270288896264,0,0
다사42004650,37.517101032856665,126.84508624238572,0,1965.9,0,0,0
다사40255125,37.55980123177584,126.82489859452495,0,417.3,0.027022675,0,0
다사61004450,37.50007072689097,127.06018888664534,0,1475.1,0.5508688623643487,0,0
다사50005075,37.55587427449413,126.93532115258164,0,643.4,0.5561468564412824,0,0
다사55505175,37.56516888662991,126.9975286452929,0,439,1,0,0
다사54255125,37.56060119738196,126.9834061620538,0,174.4,0.2258241207710718,0,0
다사60504500,37.50455622646813,127.0545055312108,0,1686.7,0.042698615,0,0
다사54255225,37.5696144,126.98334391619376,3924,172.7,0.4315156033557854,0,24374.435
다사61754900,37.54066221912901,127.0684402203268,0,1176.4,0.2640442573434977,0,0
다사44754750,37.52628257643597,126.87612847849768,0,1321.4,0.6795362104269839,0,0
다사54755225,37.569639039746185,126.98900569320428,0,173.4,0,0.05,0
다사54005250,37.57185527070806,126.98049737920618,0,173.4,0,0,0
다사67005000,37.54987785379748,127.1278220768544,0,1405,0.7888930655021844,0,0
다사56005375,37.58321927331364,127.0030703275398,0,625,0,0,0
다사54005150,37.56284207848308,126.98055997306024,0,145.8,0.5516684109058783,0,0
다사63755525,37.59707610290514,127.09077078745617,0,1854.4,0.573199848,0,0
다사57004375,37.49313356863198,127.01498014763304,0,1010.7,0.333757851,0,0
다사49504300,37.485994863566496,126.93019193225024,0,2655.2,0.4036876416545865,0,0
다사59755350,37.58113711651533,127.04555536472822,0,1168.2,0.3198531040154426,0,0
다사64504575,37.51147830780948,127.09972494926258,0,1356.4,0.2876320208127802,0.013,0
다사50255100,37.55814106335528,126.93813457907012,0,468.1,1,0,0
다사59754950,37.54508397243149,127.04577431298132,0,546.3,0.4522576812093939,0.089,0
다사51504225,37.479341841106624,126.95286291822698,0,948.3,0.3916320160134017,0,0
다사63254575,37.51142953148728,127.08558128752033,0,1247,0.3498054842514695,0,0
다사47255200,37.56698762319602,126.90409775224433,0,1225.6,0.8040696780331827,0,0
다사61255850,37.62626751768447,127.06227950272005,0,1582.2,0.009837127,0,0
다사53755175,37.56508288884047,126.97771361357437,0,148.5,0.7648259998157478,0.298,0
다사48005025,37.55125725614259,126.91271382404666,0,763.1,0.3514419061818917,0,0
다사49254700,37.52203402775698,126.92708879434788,0,245.1,0.9553880124544624,0,0
다사56255225,37.56971133860892,127.00599106508112,0,496.8,0,0,0
다사49254275,37.483727882115176,126.92738142802236,638.8571428571429,2358.4,0.404164803,0,23005.575
다사62004925,37.54292586458399,127.0712571443727,0,1286.4,0.5148183542922976,0,0
다사55504850,37.53587585004775,126.9977252603055,0,409.1,0.3189845092327624,0,0
다사62004875,37.53841918884228,127.07128294961989,0,1402.9,0.1965341809407124,0,0
다사59004475,37.50223766274066,127.03754870915404,0,941.8,0.3934822759003853,0,0
다사46754725,37.52414669,126.8987801939272,0,1762.6,0.3972036837742152,0,0
다사58504450,37.49996204126694,127.03190605180242,26.5,908.6,0.4789203303072131,0.001,23275.945
다사49254675,37.51978073202008,126.92710602343236,0,245.1,1,0,0
다사53505225,37.56957692403429,126.97485126370326,0,359.4,0.085841102,0,0
다사54255150,37.562854498612005,126.98339060318838,0,168,0.2484983677585143,0,0
다사55755375,37.583207319523225,127.0002389178667,0,879.2,0,0,0
다사58254425,37.497697459479454,127.02909192755745,0,930.1,0.4222454474283279,0,0
다사49004700,37.52202027046534,126.9242597336906,0,245.1,0.5944844568382528,0,0
다사66754575,37.51156184,127.12518362402596,839.5769230769231,1556.3,0.7197422521811626,0,0
다사58754450,37.49997321452763,127.0347343283942,0,908.6,0.2666025815317244,0,0
다사47004275,37.483601800692085,126.90193295577303,0,1602.9,0.4192034856662311,0,0
다사38255175,37.56417603214168,126.8022131670067,0,230.7,0,0,0
다사51504250,37.48159516223481,126.95284648771695,0,2095.4,0.688786884,0,0
다사51755025,37.55146078018691,126.9551664195382,0,2340.7,0.4726935584670301,0,0
다사61004400,37.49556402498368,127.06021531716608,0,1854.4,0.000917517,0.009,0
다사60754550,37.50907355303464,127.05730737765865,0,401.1,0.3074455513358227,0,0
다사42004425,37.49682163472747,126.84526338726268,9.75,1952.6,0.5321457355062431,0,16857.204999999998
다사56754450,37.49988193255985,127.01210816004824,0,1344.5,0.6854181321718391,0,0
다사55005150,37.56289135182764,126.99188250393236,0,218.3,0.6590790721653411,0,0
다사59754500,37.50452392025101,127.04602016387685,0,1030.1,0.4388388756722993,0,0
다사59005150,37.56307758718261,127.03717289405652,0,1579.1,0.5765798993456882,0,0
다사58505625,37.60586812499572,127.03124318910476,0,2169.5,0.2484547853720188,0,0
다사58254450,37.49995080029593,127.02907777677704,0,908.6,0.1433559028736047,0.165,0
다사53755100,37.55832299119325,126.97776080161944,106.75,305.2,0.4729772649989098,0,23053.06
다사47254750,37.52642864289825,126.90442053840476,0,1395.8,0.8417176345360867,0,0
다사53755125,37.56057629127677,126.97774507402286,0,257.3,0.4687189081676126,0,0
다사52504200,37.47714034732023,126.96418887715372,0,2139.9,0.8996905657742043,0,0
다사60754925,37.54287364,127.05710759618384,153,615.2,0.375366534,0,19523.120000000003
다사65754625,37.51603211082416,127.11384542506455,54.57692307692308,2009.2,0.5453961805642669,0.009,21909.445
다사66504400,37.495779263945735,127.1224343194972,0,1576,1,0,0
다사64504325,37.48894469300547,127.09984521837184,0,542.6,0.7764783527272388,0,0
다사55005225,37.56965126,126.99183658428612,0,173.4,0,0,0
다사63255300,37.57677641058796,127.08521939868916,0,1207.1,0.009258901,0,0
다사58254750,37.526990822520055,127.0289078444445,0,623.3,0.8078221053037143,0,0
다사60004525,37.50678810118299,127.04883505769853,98.45454545454544,1474,0.4073199989386073,0.41,17558.34
다사65754575,37.51152539062432,127.11386864450591,0,2127,0.3917874551636545,0,0
다사69505025,37.552217026166616,127.15611374131984,0,1255.3,1,0.134,0
다사54005225,37.569601973953496,126.98051303028406,3924,172.3,0.5136270575346077,0,17985.14
다사66254300,37.48675671029658,127.11965187658942,1.0909090909090908,802.8,0.05410958,0,20658.41
다사58005850,37.626125142919626,127.02544976518983,0,1556.2,0.4426779401805812,0,0
다사65254600,37.51376011974498,127.10819938330776,888.8333333333334,1821.2,0.7828266139042008,0.085,23052.16
다사44754725,37.52402930331084,126.87614724292308,0,1321.4,0.6909628807129019,0,0
다사41505100,37.55762806442481,126.83907069550938,0,2016.9,0.5112535731809389,0,0
다사53255100,37.55829782,126.97209989105836,0,307.4,0.4461933546166731,0,0
다사60004450,37.50002807,127.0488757345174,0,2015.4,0.4187146435077047,0,0
다사55755225,37.56968751050365,127.00032926772394,6524,269.8,0.6284446053600897,0,19600.975
다사62254875,37.53842942822048,127.07411269329212,97.14285714285714,1432.3,0.6005870881731666,0,19050.59
다사56754375,37.49312192422883,127.01215213711124,0,667.1,0.6806129931193423,0,0
다사47755075,37.55574969796939,126.9098481301152,0,1023.1,0.4636860044881933,0,0
다사59254475,37.50224870147361,127.04037707383964,0,1285.5,0.485659121,0,0
다사45504875,37.53759347854472,126.88452349813382,0,1440.4,0.7546250078033943,0.16,0
다사61254975,37.54740140182562,127.0627410890206,0,652.2,0.4375278003769173,0,0
다사61254450,37.50008122304229,127.06301717838036,0,1304.7,0.5227803051168535,0,0
다사58754425,37.49771987189743,127.03474830921544,0,908.6,0,0,0
다사49505700,37.61217887866731,126.92923052823754,0,993.5,0.6767355275747406,0,0
다사54255200,37.56736109846905,126.98335948025858,3924,169.1,0.7726605687426168,0,0
다사60505475,37.59243608683562,127.05398219782182,0,852,0.240387453,0,0
다사45754550,37.508315568566886,126.88759261326818,0,1611.5,1,0,0
다사57754475,37.50218145333789,127.02340690912962,0,2155.5,0.1476085186962697,0,0
다사64004900,37.54075255009395,127.0939087177512,0,1687.7,0.5322730285234043,0,0
다사51004975,37.546914711315424,126.94670918009952,0,2117.1,0.3684885469239921,0,0
다사57505600,37.60356928474109,127.01992856095404,0,2731.6,0.016118965,0,0
다사60256150,37.65326445987257,127.05078446785568,0,1432.5,1,0,0
다사58755525,37.59686613,127.03413167781942,0,1683.1,0.3655929157668503,0,0
다사51504950,37.54468780147485,126.9523856898379,0,2274,0.6967552944014334,0,0
다사63004875,37.538459739523645,127.08260193283462,0,2414.7,0.5681741305499143,0,0
다사63504525,37.50693271248348,127.08843476187664,0,1676.6,0.2940846003521906,0,0
다사60754525,37.50682021,127.0573206845619,0,1105.4,1,0,0
다사62255000,37.54969611522297,127.07404859525349,0,1603,0.1493776607043204,0.001,0
다사51005025,37.55142129635748,126.9466758665332,0,1634.1,0.3058006949945237,0,0
다사47004250,37.48134850039561,126.9019509164168,0,1825,0.182812651,0,0
다사62004900,37.54067252714605,127.07127004771476,0,1281.2,0.6003629487160552,0,0
다사67254350,37.49129933134122,127.1309409551724,0,2009.4,0.3538423450761118,0.115,0
다사54505175,37.56512015,126.98620575970232,0,169.1,0.4286775434794903,0,0
다사51504400,37.49511507078181,126.95274786622808,0,1874.6,0.1928827158439682,0.025,0
다사62506100,37.64885223916757,127.0763169194028,0,1883.9,1,0,0
다사62505075,37.55646629519152,127.0768405458818,0,1623.2,0.018274256,0,0
다사57004950,37.54496012151877,127.01464457086264,0,838.7,0.2275246205028409,0,0
다사55755250,37.57194081417549,127.00031421360696,0,462.1,0,0,0
다사57755950,37.63512686795956,127.02255906196623,0,993.7,0.7635159597703773,0,0
다사50754100,37.46803565376037,126.94446393320838,0,182.1,0,0.499,0
다사49005100,37.55807286629695,126.92398244488636,285,897.6,0.715888123,0,17830.955
다사54505275,37.57413334900933,126.9861438410755,0,173.4,0,0,0
다사62754600,37.51366289793798,127.07991120291094,0,812.3,0.013451193,0,0
다사48754775,37.52876632071748,126.92137846568264,0,245.1,0.1435853392132555,0,0
다사49254725,37.52428732262529,126.92707156334473,0,245.1,1,0,0
다사50505150,37.56266107126558,126.94093133854018,0,468.1,0.1486138598567352,0,0
다사60005350,37.58114798281979,127.04838671462127,0,1723.2,0.1696164931200919,0,0
다사58755625,37.60587934081095,127.03407547043398,0,2000.2,0.1741561200606986,0,0
다사70505075,37.55675617131539,127.16741489419894,0,1005,1,0,0
다사41005125,37.55984948123853,126.83338990618952,0,451.8,0,0,0
다사45504225,37.47900811407376,126.88500433524716,0,615,0.4001111184430407,0,0
다사58004400,37.49543281094565,127.02627797326171,0,1295.7,0.3647241636256548,0,0
다사42755150,37.56221293796095,126.85318356480174,0,1340.6,0.1804953321369458,0,0
다사53004750,37.52673888,126.96949301769884,160,460.4,0,0,13248.43
다사58254375,37.49319077524781,127.02912022439146,0,1205.3,0.8509606643711077,0,0
다사45504650,37.51731399582428,126.88469009931454,0,1125.3,0.8391229656474336,0,0
다사51755100,37.55822066081825,126.95511720217053,0,2136.3,0.5355473765976756,0,0
다사46504300,37.48582633536914,126.89625962900504,0,1402.7,0.4276918074820111,0,0
다사69755050,37.55447859157379,127.15893376581091,0,1359.8,0.182915105,0.907,0
다사66254500,37.50478365832313,127.11956044105088,0,1837.9,0.4254820633292853,0,0
다사61256175,37.655560376078434,127.06210759752705,0,1804,0.5283673196789509,0,0
다사50755450,37.589713813721175,126.94356077107832,0,1026.3,0.3453502952741586,0,0
다사57004400,37.495386906551246,127.01496557520376,0,2136.4,0.216610991,0,0
다사59754700,37.52255064475448,127.0459109576506,0,664.6,0.081574309,0,0
다사46004550,37.50833019962544,126.89042113788116,0,1693.3,0.048238709,0,0
다사61004550,37.50908412031717,127.0601360079416,231.3333333333333,434.8,0.4264727785740876,0,22666.405
다사63005150,37.56324644933636,127.08246368163314,0,1840.5,0.7993375659113175,0,0
다사61256200,37.65781366681029,127.06209436373604,0,1768.5,0,0,0
다사53755225,37.56958948293288,126.9776821461174,3924,265.2,0.4010731680024665,0,17772.4
다사67254850,37.53636662115227,127.13071896628216,0,2609.7,0.3747955542814468,0,0
