역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m
사평,9호선,1,2,678585,0,0,7898,37.504206,127.015259,2.0,171.03333333333333,570.7333333333333,164.27559647972356,606.6487448233302,5.5,1.0875,3.2,515.66,264.67
신반포,9호선,1,2,697874,0,1,8909,37.503415,126.995925,4.0,5903.291666666666,270424.7083333333,6333.729301573434,345262.07808032795,4.0,3.2285,-0.4,525.925,284.14
구반포,9호선,1,2,68250,0,1,3406,37.501364,126.987332,5.0,6290.291666666666,271688.7083333333,4281.159187447707,185292.4819634968,3.6,2.6568,2.18,473.0280000000001,235.49
흑석(중앙대입구),9호선,1,2,484696,0,0,18568,37.50877,126.963708,3.0,116.45833333333333,397.5416666666667,104.03169129520323,507.7406422374459,4.666666666666667,4.494666666666666,1.633333333333333,423.19666666666666,145.31
노들,9호선,1,4,570844,0,0,9347,37.512887,126.953222,5.0,15643.958333333334,63474.875,14763.943147120195,59531.3152927284,3.0,2.6888,0.039999999999999855,385.57599999999996,135.54
국회의사당,9호선,1,1,229539,0,1,33095,37.528105,126.917874,4.0,8957.305555555555,71835.61111111111,7242.909890482493,74686.76998429511,4.75,3.6525,-0.15,576.71,361.48
선유도,9호선,1,2,122918,0,1,16183,37.53802,126.893525,5.0,10372.916666666666,52215.66666666667,9024.652187108977,46469.90009486587,3.8,3.3560000000000003,-0.16,422.238,297.52
신목동,9호선,1,4,250077,0,1,8223,37.544277,126.88308,7.0,16727.416666666668,89980.66666666667,23222.549988718984,121208.3747026087,3.2857142857142856,3.542142857142857,1.1857142857142857,363.12142857142857,19.79
염창,9호선,1,3,237566,0,0,33524,37.546936,126.874916,5.0,12591.166666666666,68835.66666666667,8549.44500934395,48817.343324423135,3.2,2.8080000000000003,1.6400000000000001,489.96799999999996,423.31
등촌,9호선,1,2,1029260,0,0,23704,37.550632,126.865689,3.0,166.5,694.5,177.90242524916943,731.8373532668882,1.3333333333333333,0.371,7.866666666666666,559.7033333333334,248.61
증미,9호선,1,2,134105,0,0,14616,37.557402,126.861939,5.0,24085.583333333336,98398.16666666666,24322.56889193067,99316.5673957519,2.4,3.4802,1.12,619.394,597.53
가양,9호선,1,4,87902,0,0,42222,37.561391,126.854456,4.0,16864.083333333332,45755.666666666664,16680.065593010237,44992.51536233281,2.5,4.14275,0.3,672.44,637.13
양천향교,9호선,1,5,705982,0,0,20223,37.568381,126.841333,5.0,2374.5833333333335,25719.666666666664,2120.943391888148,22931.34797991992,2.6,3.4921999999999995,1.7,637.656,499.27
신방화,9호선,1,1,9723,0,0,13284,37.567532,126.816601,1.0,35.333333333333336,5466.0,32.65896980011427,5052.281007379941,3.0,1.02,0.1,440.75,440.75
공항시장,9호선,1,0,0,0,0,5878,37.563726,126.810678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
개화,9호선,1,0,0,0,0,4166,37.578608,126.798153,1.0,30.333333333333332,145.66666666666666,21.115818616619514,101.40233775233767,3.0,0.968,7.1,744.72,744.72
복정,8호선,1,2,777431,0,0,17375,37.471052,127.126732,3.0,4965.0,30889.0,5731.888564059727,33558.9227092824,1.6666666666666667,1.3166666666666667,-0.3333333333333333,493.2366666666667,360.86
장지,8호선,1,4,1272795,0,0,31896,37.478703,127.126191,4.0,8333.0,50719.0,7207.661843580347,45505.13278706827,2.0,1.2457500000000001,-0.325,570.4075,275.29
문정,8호선,1,4,698518,0,0,41985,37.485855,127.1225,2.0,240.0,6035.5,273.65790622877483,6954.875705917325,3.0,2.9059999999999997,-0.05,366.88,351.15
송파,8호선,1,3,23357,0,0,18620,37.499703,127.112183,2.0,305.5,11904.5,336.82202007793967,12285.340636648594,1.5,1.6400000000000001,0.2,197.515,194.73
몽촌토성(평화의문),8호선,1,3,1822181,0,0,14537,37.517409,127.112359,5.0,8343.991666666667,99209.35833333334,5808.94433582861,68507.46218610059,4.6,2.3952,0.4800000000000001,476.254,94.04
강동구청,8호선,1,4,1564231,0,0,20423,37.530341,127.120508,5.0,11237.958333333334,106380.125,10393.51788917794,100277.64893997218,3.6,2.0168,1.1400000000000001,630.104,515.14
암사,8호선,1,1,26697,0,1,30201,37.55021,127.127562,3.0,324.8333333333333,21284.333333333332,300.8647043940681,21950.39118407664,2.3333333333333335,7.146666666666666,0.0,616.8566666666667,509.65
암사역사공원,8호선,1,1,11467,0,0,11740,37.55695,127.13702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
천왕,7호선,1,0,0,0,0,21754,37.486637,126.838713,1.0,265.0,1160.0,265.0,1160.0,1.0,0.561,2.6,363.94,363.94
남구로,7호선,1,0,0,0,0,28620,37.486056,126.887249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신풍,7호선,1,3,491529,0,0,22009,37.50008,126.90993,1.0,81.0,148.0,81.0,148.0,1.0,0.43,-0.1,413.09,413.09
신대방삼거리,7호선,1,2,822315,0,0,28270,37.499701,126.928276,1.0,179.33333333333334,30132.666666666668,128.46110131203736,21584.807874359765,3.0,0.33,-0.7,776.18,776.18
장승배기,7호선,1,1,415610,0,0,17908,37.504898,126.93915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
상도,7호선,1,2,774953,0,0,23304,37.502834,126.94791,3.0,462.8333333333333,1442.5,380.4462495951226,1236.2399160655257,2.3333333333333335,0.91,-2.4,547.3333333333334,423.68
