id,name,athlete_count,effort_count,distance_km,avg_grade,city,state,start_lat,start_lng,end_lat,end_lng,points,route_coords
5495292,Segment,44691,104092,0.49,8.2,South Korea,,37.56847,126.99215,37.568275,126.986678,}qhdF}cbfW\hKHzA@v@Dj@DzA@~HId@Ez@,"[(37.56847, 126.99215), (37.56832, 126.99018), (37.56827, 126.98972), (37.56826, 126.98944), (37.56823, 126.98922), (37.5682, 126.98876), (37.56819, 126.98716), (37.56824, 126.98697), (37.56827, 126.98667)]"
16697641,Chilly Hamnida,39133,91392,1.06,0.3,Seoul,,37.569475,127.00456,37.56822,126.992816,exhdFoqdfWEp@Kl@Or@Ap@\|@\~APlCFZHNDX?XGl@Jp@Kp@Ml@Bn@?p@E`BIt@Br@P`B@n@Ht@XxAK|@?H\r@Jr@@l@Dl@Pp@Lx@P`B?\`@xBHt@DdCTtB?f@,"[(37.56947, 127.00456), (37.5695, 127.00431), (37.56956, 127.00408), (37.56964, 127.00382), (37.56965, 127.00357), (37.5695, 127.00326), (37.56935, 127.00278), (37.56926, 127.00207), (37.56922, 127.00193), (37.56917, 127.00185), (37.56914, 127.00172), (37.56914, 127.00159), (37.56918, 127.00136), (37.56912, 127.00111), (37.56918, 127.00086), (37.56925, 127.00063), (37.56923, 127.00039), (37.56923, 127.00014), (37.56926, 126.99965), (37.56931, 126.99938), (37.56929, 126.99912), (37.5692, 126.99863), (37.56919, 126.99839), (37.56914, 126.99812), (37.56901, 126.99767), (37.56907, 126.99736), (37.56907, 126.99731), (37.56892, 126.99705), (37.56886, 126.99679), (37.56885, 126.99656), (37.56882, 126.99633), (37.56873, 126.99608), (37.56866, 126.99579), (37.56857, 126.9953), (37.56857, 126.99515), (37.5684, 126.99454), (37.56835, 126.99427), (37.56832, 126.9936), (37.56821, 126.99301), (37.56821, 126.99281)]"
5408002,반포대교 (북쪽),29613,170271,0.69,0.0,South Korea,,37.512577,126.99738,37.518403,126.994545,qt}cFsdcfWuChAwCnAyDpAw@^sBt@e@XSB{@b@yAj@aCv@mAd@yAh@,"[(37.51257, 126.99738), (37.51332, 126.99701), (37.51408, 126.99661), (37.51501, 126.9962), (37.51529, 126.99604), (37.51587, 126.99577), (37.51606, 126.99564), (37.51616, 126.99562), (37.51646, 126.99544), (37.51691, 126.99522), (37.51756, 126.99494), (37.51795, 126.99475), (37.5184, 126.99454)]"
15266531,Cheonggae Plaza to Cheonggae 3-ga,27465,54442,1.23,-3.8,Seoul,,37.569107,126.979088,37.568439,126.992393,{uhdFgr_fW@i@MQ@SLU?[R_AFcA?UBYBe@Iq@DYC{@Hc@Aa@H_C@MDAFQh@q@My@Ek@JoA@q@F}@f@uCH}ALo@NmAJwA@m@HkA?[BQ^o@FUEgASoAMwBc@uCYkGGsCGs@EO,"[(37.5691, 126.97908), (37.56909, 126.97929), (37.56916, 126.97938), (37.56915, 126.97948), (37.56908, 126.97959), (37.56908, 126.97973), (37.56898, 126.98005), (37.56894, 126.98039), (37.56894, 126.9805), (37.56892, 126.98063), (37.5689, 126.98082), (37.56895, 126.98107), (37.56892, 126.9812), (37.56894, 126.9815), (37.56889, 126.98168), (37.5689, 126.98185), (37.56885, 126.98249), (37.56884, 126.98256), (37.56881, 126.98257), (37.56877, 126.98266), (37.56856, 126.98291), (37.56863, 126.9832), (37.56866, 126.98342), (37.5686, 126.98382), (37.56859, 126.98407), (37.56855, 126.98438), (37.56835, 126.98513), (37.5683, 126.9856), (37.56823, 126.98584), (37.56815, 126.98623), (37.56809, 126.98667), (37.56808, 126.9869), (37.56803, 126.98728), (37.56803, 126.98742), (37.56801, 126.98751), (37.56785, 126.98775), (37.56781, 126.98786), (37.56784, 126.98822), (37.56794, 126.98862), (37.56801, 126.98922), (37.56819, 126.98997), (37.56832, 126.99131), (37.56836, 126.99205), (37.5684, 126.99231), (37.56843, 126.99239)]"
7355420,Riverside to Hannam,23143,99298,0.81,0.2,South Korea,,37.51935,127.008675,37.524756,127.014864,}~~cFekefW}[u_@cC{CUc@,"[(37.51935, 127.00867), (37.52398, 127.0139), (37.52464, 127.01468), (37.52475, 127.01486)]"
27160996,[TOF] 남산 순환로 업힐1km (by JK) ,22763,208216,1.0,2.7,Jung-gu,Seoul,37.553473,126.997498,37.551503,126.997558,etedFiecfWu@Hw@BoAEO?c@F]ASKSSWe@qAwAMQe@sAAm@@s@Bc@TeCDYRS`@GPFtA`A\^P\b@nA\`BFPPLn@Pp@BzARj@RpAp@lAh@dAXn@VTD,"[(37.55347, 126.99749), (37.55374, 126.99744), (37.55402, 126.99742), (37.55442, 126.99745), (37.5545, 126.99745), (37.55468, 126.99741), (37.55483, 126.99742), (37.55493, 126.99748), (37.55503, 126.99758), (37.55515, 126.99777), (37.55556, 126.99821), (37.55563, 126.9983), (37.55582, 126.99872), (37.55583, 126.99895), (37.55582, 126.99921), (37.5558, 126.99939), (37.55569, 127.00006), (37.55566, 127.00019), (37.55556, 127.00029), (37.55539, 127.00033), (37.5553, 127.00029), (37.55487, 126.99996), (37.55472, 126.9998), (37.55463, 126.99965), (37.55445, 126.99925), (37.5543, 126.99876), (37.55426, 126.99867), (37.55417, 126.9986), (37.55393, 126.99851), (37.55368, 126.99849), (37.55322, 126.99839), (37.553, 126.99829), (37.55259, 126.99804), (37.5522, 126.99783), (37.55185, 126.9977), (37.55161, 126.99758), (37.5515, 126.99755)]"
19011008,Hannam Triangle to Bogwang Tunnel,21586,132479,0.51,1.3,Yongsan-gu,Seoul,37.527926,127.006891,37.52482,127.002855,ot`dFa`efWLXJZHLHFLDHFj@~@hA~@n@bA`AtAr@tA^z@^dAR^l@v@dBtA`@l@,"[(37.52792, 127.00689), (37.52785, 127.00676), (37.52779, 127.00662), (37.52774, 127.00655), (37.52769, 127.00651), (37.52762, 127.00648), (37.52757, 127.00644), (37.52735, 127.00612), (37.52698, 127.0058), (37.52674, 127.00546), (37.52641, 127.00503), (37.52615, 127.0046), (37.52599, 127.0043), (37.52583, 127.00395), (37.52573, 127.00379), (37.5255, 127.00351), (37.52499, 127.00308), (37.52482, 127.00285)]"
19010968,Bogwang Tunnel to Jamsu Bridge,21322,121209,1.0,-1.2,Yongsan-gu,Seoul,37.524404,127.002702,37.518948,126.994525,o~_dF{edfWj@VRBr@A\H\NjC|AdAt@bA|@RTHTBh@DNZz@j@jA^vAd@fAPZl@h@Xp@VZJTRx@V~AfAvDt@~Bn@~Aj@rBb@~@Rn@JN,"[(37.5244, 127.0027), (37.52418, 127.00258), (37.52408, 127.00256), (37.52382, 127.00257), (37.52367, 127.00252), (37.52352, 127.00244), (37.52282, 127.00197), (37.52247, 127.0017), (37.52213, 127.00139), (37.52203, 127.00128), (37.52198, 127.00117), (37.52196, 127.00096), (37.52193, 127.00088), (37.52179, 127.00058), (37.52157, 127.0002), (37.52141, 126.99976), (37.52122, 126.9994), (37.52113, 126.99926), (37.5209, 126.99905), (37.52077, 126.9988), (37.52065, 126.99866), (37.52059, 126.99855), (37.52049, 126.99826), (37.52037, 126.99778), (37.52001, 126.99686), (37.51974, 126.99622), (37.5195, 126.99574), (37.51928, 126.99516), (37.5191, 126.99484), (37.519, 126.9946), (37.51894, 126.99452)]"
16391228,Forest to Seongsu,20083,120389,0.51,0.4,Seoul,,37.537899,127.041367,37.539824,127.035995,yrbdFowkfWMVeAbEsC|JOl@c@~BW~@KT[lBe@dB,"[(37.53789, 127.04136), (37.53796, 127.04124), (37.53831, 127.04026), (37.53905, 127.03835), (37.53913, 127.03812), (37.53931, 127.03748), (37.53943, 127.03716), (37.53949, 127.03705), (37.53963, 127.0365), (37.53982, 127.03599)]"
27261839,잠달(성수대교 언덕훈련) 성수->한남방향(오르막시작 즈음 왼쪽 파란색 한강 이정표->정점 바닥 초록색매트),19998,101920,0.23,2.0,Gangnam-gu,Seoul,37.533964,127.032225,37.53458,127.029841,gzadFk~ifWWf@Mf@WrBAn@o@~BK`B?D,"[(37.53396, 127.03222), (37.53408, 127.03202), (37.53415, 127.03182), (37.53427, 127.03124), (37.53428, 127.031), (37.53452, 127.03036), (37.53458, 127.02987), (37.53458, 127.02984)]"
