segment_id,name,이용자수,누적기록,거리,경사,시작_위도,시작_경도,끝_위도,끝_경도,polyline
876205,광장동 381 22 Climb,132.0,432.0,0.91,5.3,37.54287446208754,127.0942938066124,37.54896534433953,127.09871323305929,}qcdFibvfWJMC[kAuBUgAE_@LWD}@?SK}@a@_AS]m@k@QG{@m@_AWwCo@MQCSMAe@VS?_Bc@YYMAQD[AQJ[Dm@a@c@SsBQk@Qa@Cm@M_@A_AS
917413,용산동2가 산1 3 Climb,5026.0,14943.0,1.09,11.7,37.5522804,126.982212,37.5510265,126.9892332,wledFye`fW?WPq@\y@f@w@TWnAmDRYTKh@o@j@iAT]pAX`@DREVQd@}@RU\k@rAiCRUn@]PATKRSF]?_@Aa@K[OSUO[BmAT_@BYTI@_@Gu@[YUi@wA[e@k@e@Y[i@cAIYYa@
1093002,시흥2동 266 2487 Climb,160.0,653.0,1.19,10.5,37.4593827,126.9141238,37.4545854,126.9231968,chscFg|reWj@a@XEXBXd@D@@DRPF@TOLMJERALCTQFA@@JSDAN[PQ@SNq@Kk@@GHK?OHYGUAU@E?qABc@Fc@?o@Ni@?KHKPc@@ODKJu@AWFcANa@BUCiBV}BBu@Iy@NoACOB}@Lg@FIVo@@@HWZm@@e@R_ARQt@]hCm@\]h@]XGN?FETERK
1237484,Seoul Korea Park Run,917.0,7150.0,1.992,0.0,37.5111568,127.0501283,37.5111724,127.050058,uk}cFgnmfWZg@nAgA^a@b@[dAiAT]p@i@b@q@zBiCf@s@Z[ZQr@m@LSb@Oh@F\NP`@Rz@Lb@VbA`@rABRBz@BpEC`BEpAMrBCHQpEa@fEMd@mAtBkBjEeAvAmA`ASHYOs@oAq@qBa@{AKk@m@oB[]MUMcAEm@Ik@Uo@Ku@M[a@{BCaAIk@Mm@Ww@
1448526,서초1동 1185 Climb,166.0,1083.0,1.04,12.6,37.48249815311283,127.0204734429717,37.47585264500231,127.01678783632816,qxwcF}tgfWUkCL?FAHDT?BDl@lA\`@DJb@d@@LRb@?FJJLVFR^j@d@fAZ^`@XNPp@FLEf@Jd@l@?d@h@`@FJBLNPFPRNNTRLFJJF`@JNFn@HbAp@@Fl@\FHHJFTJBLJJBV`@JJVJLXHFl@DdAY`@ELILWl@WJQ^c@j@A
1454505,정릉4동 산1 59 Climb,1802.0,3195.0,0.902369,12.1,37.61714466666666,127.00224495,37.61644073333333,126.99525691666668,cbrdF_cdfWY|@EdAa@~Ac@v@]h@EXh@r@?dAUhAa@v@IpAEdAKh@Wz@Av@D_AQ`AIbA_@x@Yz@X|@p@Zr@^pAvAx@Ll@a@PCXDDVNd@l@h@
1454506,정릉3동 산1 278 Climb,1807.0,3291.0,0.94,13.4,37.61512618333333,126.99275266666668,37.61433513333333,126.9852246,ouqdFugbfWSzPB|BWrEV`ApAw@p@[~@Et@Nb@r@EbAV|@EbAY`AA|@LZ@VGt@Sb@Gh@?Fm@^Y?CC@E?FBCAEEBD??DBEGH
1454507,평창동 404 Climb,1271.0,2203.0,0.81,6.4,37.61446431666667,126.97956836666664,37.61732928333333,126.97507871666666,kqqdFgu_fWYKa@CIFOb@BGOJBDD@HANIGSa@Ue@Iq@G}AGK@k@RQBOTGf@ANHxBAf@EROXMP_@TaBHs@L[LKL?ZHPTX@XHZ?z@IZAd@Xl@FRJr@Dd@BJCRQXCr@@N
1454508,구기동 77 1 Climb,1225.0,2047.0,0.47,13.9,37.61348976666667,126.96801875,37.61411558333333,126.96445508333332,ikqdFam}eWkCVQFA\JZBZGnBL\Kd@g@n@Gn@BFj@Td@ZD?NGGEADCn@Dj@DLKp@Ut@G\HZ
1510863,반포4동 49 6 Climb,586.0,1577.0,0.845,6.2,37.50352080449229,127.0059354511341,37.49721912204986,127.00763119396474,_|{cFazdfWCDPA`@I^UHMCOGO@ONG?GFI`@c@`@Un@OHHLTT?JH^ARBFKD]BKHEb@Iz@U^Wp@?VG^BNGz@[RUrAq@FGJENAJ@NTb@b@TFTLF@AGBE^I`@Ej@URCNATFd@RH@b@JN?h@SXFHHEMCA
