id,name,athlete_count,effort_count,distance_km,avg_grade,city,start_lat,start_lng,end_lat,end_lng
32742077,궁산 언덕500m,106,797,0.43,7.9,Gangseo-gu,37.572484,126.839002,37.574866,126.840694
15847462,Magok Naru Park(M Valley 6&7 Apt.) 1km,106,16380,1.02,0.1,Seoul,37.56589,126.821583,37.565203,126.821889
34031184,땅콩연못 역방향,106,689,0.58,-0.1,Misa 2(i)-dong,37.576587,127.177714,37.576578,127.177733
37598070,은계호수 10k,104,442,10.01,-0.0,Eunhaeng-dong,37.445775,126.804489,37.44699,126.804993
15767923,당산철교 10km,103,154,10.01,-0.1,Seoul,37.536628,126.90535,37.536784,126.905151
37760503,은계호수공원 중앙데크 출발 10KM,102,408,10.04,-0.1,Eunhaeng-dong,37.445143,126.805077,37.446153,126.804823
29268256,진옥자전거캠프-성주산(하오고개-팔각정쉼터)(JOBC),101,242,1.0,7.2,Bucheon,37.476212,126.786357,37.4719,126.778478
27308743,구룡길 250m,99,414,0.27,-0.4,Mapo-gu,37.587649,126.882772,37.588767,126.880089
11789704,Thr Climb,99,1340,0.31,9.2,Seoul,37.514248,126.831096,37.512843,126.829264
24141599,TRB - 쌍바위 약수터 출발,99,278,0.44,25.7,Hanam-si,37.490316,127.16444,37.489218,127.167831
21993874,YNRA_Yeok Gok,98,417,4.85,-0.2,Guro-gu,37.480236,126.819903,37.481646,126.819961
20327419,갈매천,98,867,5.21,-0.0,Guri-si,37.635763,127.117609,37.636282,127.117705
28298058,목감천한바퀴 by 뚜비형,97,493,8.3,0.0,Gwangmyeong-si,37.481402,126.851381,37.481354,126.851394
5720516,Segment,97,132,0.79,6.1,South Korea,37.600645,127.108742,37.601527,127.11619
5562884,Segment,95,160,0.72,14.7,South Korea,37.522702,127.178102,37.527181,127.18272
19638234,N1RC코스:[공릉동철길]좌측왕복_하이파이브런@ddamdo,95,696,2.25,0.1,Nowon-gu,37.631457,127.069886,37.631441,127.070025
12029811,왕숙교 출발 왕복 10키로,94,165,10.01,-0.0,Guri-si,37.603805,127.148825,37.60372,127.14892
20327460,갈매천,94,816,5.31,0.0,Guri-si,37.636498,127.117835,37.636548,127.117912
25184475,TRB-거여공원 한바퀴,93,3658,0.39,0.0,Songpa-gu,37.497293,127.141453,37.497276,127.141435
40064746,대장천 LAP,93,654,2.39,0.0,화정1동,37.644565,126.824978,37.644548,126.825046
25835560,가학산 → 구름산,92,248,2.12,0.5,Gwangmyeong-si,37.42801,126.867419,37.440442,126.866254
21994453,YNRA_남부수자원생태공원,92,687,2.34,-0.1,Bucheon,37.470314,126.828525,37.470438,126.827959
22462810,The ramp by the tunnel Nangok(ascent) 200m sprint by 마부작침,92,283,0.2,10.5,Gwanak-gu,37.478013,126.918071,37.478167,126.919915
27444454,북한산-오봉,92,105,0.31,22.7,Yangju-si,37.694317,127.002181,37.696692,127.001663
36163434,Daegok Loop,90,337,2.43,0.1,화정1동,37.644313,126.825353,37.644422,126.82542
