id,name,distance,avg_grade,start_lat,start_lng,end_lat,end_lng,effort_count,athlete_count,star_count,polyline
5494470,Segment,536.3,8.5,37.552035,126.840404,37.551278,126.843358,493.0,200.0,1.0,ekedFoodeWOY{AuBa@{@[g@OKSk@Cc@?gA?EPCJKHUPMDMNMJO@OCGKIMFE@OKDINBtA`@r@Lj@Br@WTEHETm@HG
21967575,서서울호수공원 몬드리안B,101.2,-1.7,37.525854,126.831072,37.52661,126.831554,106282.0,1576.0,0.0,qg`dFeubeWoC{@Gc@
23003773,강서철인클럽 근전환 코스,1335.4,-0.5,37.546542,126.824119,37.546612,126.824141,129.0,19.0,1.0,{hddFuiaeWV?RCPBf@Ld@TNh@Cj@Dv@NjA@z@RnB@z@IPaBRwB\_@HsA`@kB|@_@Z_Ah@_@BUII_@Go@WeBQyCQeAk@cBWc@u@m@QEQc@T_@b@c@H]PSXUNEdAFbA?nAXz@Fp@ChBBNDX@TC
16942777,NBR277 5K,5011.5,-0.3,37.541272,126.825287,37.543726,126.819057,7400.0,214.0,2.0,}gcdF_qaeW}C`AOCYOiAq@UES@IHa@t@CNAVPlA@HERKNMJ_@Lg@JOHSbAGj@Of@MHw@FeB?iADa@Em@AKFINCNB^JVDZLd@LJRr@FHJXLRDPZp@Rl@^p@HJXv@FHh@nABNp@nAL`@?FBBFTN^PHzAa@t@MRRHDNBb@NRN\JZPXHj@Zd@FjAQHEPKFOAgACY@c@TaBBaAFw@?_AFc@@YLQBID_ACcBJaBOsBEoABSNc@A]GQYm@u@gAa@c@GO@ECCM@UHa@Ea@Ty@Le@K}@_@k@QI@MNWt@Cx@FNBTC^GNQJcATSNMr@GfAOVWBe@Ag@B]Cs@@UBwA?]DQJKR?\HXLTNn@@VFBRb@Z`@Tz@T^r@fBT`@D^HDLVPl@Zh@Nl@\d@^n@h@TV@`@ORCHG`@KLIXCFGJ?F@DDF@ZRd@^d@X`@b@n@Br@Cb@I~@]PSF[@YAk@Gu@A{@CWDs@?QDWGOEW?WJw@Lg@?cBHa@FaBDM@Q?]Gs@?i@DWAEJ[Ei@CGSSk@gAMK{@wASSi@A]F_@Lo@JWGq@AEG[GQK]EI@IJOj@@^L`A?HGNMNeA^ULMTIZOl@Ij@KVKDiA@UCuAFcBQUDGBGv@B`BBXE\DJr@v@Zd@PP~@|ANP`@v@VbAN`@T`@Lj@LV\f@b@fAC@MGB?EC
16942734,황소와악돌이10K,10084.9,0.1,37.540073,126.820161,37.540765,126.82021,127.0,26.0,1.0,m`cdF_q`eWG?@LDJFf@ABPz@C@BRM??JIRFT@T@TCPQB{@O[AOIGUIo@Gg@AmAMiAC_BBSBAJUIo@B_@DE@GAc@CSIYA[H?DEA]BI?IXELa@JMNg@BCHFHTFXCfADdA?`AHfBAdBDvBHhBAh@ELIDmACKCIKEk@@Q@ADBBQGg@IeDDw@@aAEgBFuAHw@D_ADMLMRFNPBHFx@LvDDxD?pAFhDEZGJKBeA@KEGKGqAAuBPkIAs@N_B?YD]FMJCPFLJHPBRDnBBpDFxADbC@rDCNIHmABMMAGGm@Ce@AsBEs@?uEFy@@iBJk@@e@Ja@JIL?RJHNBZDdAAz@JdG?^NdFAl@GLKBoAAEAGMEWCoBE{@AkAHaDAeADwANeCJULCJBPHJPLpBLxFApCJbC?z@CNGLG@mABKCIIE_@?cAEqAA}AFyDC{BDm@Lk@JaAJKLAPDJFDPP`GAtAJzB?lBFvAAp@EJEBsABEAIKCUO{FDiA@oBCgBLeBL{@FMLED?PDLJF`@L`E?|@FrA?pCJtB?\CXGVGHKBw@DQ?KOEYCeAGq@?k@?}ADsDFuA?k@Dk@Hk@Fo@FKJEPBNJHXDb@HvCJjKF~ACXGLMDg@DW@QCIIE[A{CGsAHqB@kFTqBDKJIN?PHDHDZH`CBrCHjDDfECf@GJEBKB_A?KAGKIcBCoBBeAC}AByDHgALo@@]LUJCJ@JDHFDVPdF?n@L~ECdABtACVKNWDs@DK?IKE_@OqDHsDA{@DkA?{@Fw@RyAFMFCL?PHHRBLBrCX|HBnAAr@Bz@Eh@GJsAHICCCEa@?{@IeCA}CL}FPmBJMFCF?TJJTBZR`I?bABxACxADrBEPKJq@D_@?MKEQ?]?oACq@AuAFiDCiCLgBJy@DSNSNDLJHND`@DtCFtADtDDhAC^IPKLKDu@?GAGGKq@@k@
6585484,Segment,592.9,7.7,37.552615,126.853323,37.549766,126.857841,104.0,58.0,1.0,ynedFg`geWBECQJ{ATu@Ze@Vy@PSDSBa@J}@XsAb@kAz@aAJQBi@Rc@NUJGFQTg@NM?MEMKEBIJGD?HFFCXH`@AJ@JCRFD?FC\[D@RIF?FC
16918444,[hirun]망원유수지 트랙,459.5,0.1,37.55758,126.8979,37.557602,126.897931,142420.0,2191.0,13.0,{mfdF{voeWi@Fe@Le@Pi@La@VYd@Dj@Zf@d@Rd@@b@EhBWd@M`@[Fm@Mq@Yi@e@Se@@
21239045,달리기,1955.0,-0.3,37.554401,126.875625,37.539597,126.886288,29485.0,6971.0,4.0,_zedFskkeWPKCI`@KJ@JCLQBIrC{APUZS`@m@L?n@Ol@a@j@On@_@LEPWNK`@Gx@y@La@`Ag@\SdAcAt@UHORSNId@Eb@Of@a@T]h@[f@c@LGTULUJIJQ^UbBo@Zq@XYNUVKVSFMb@g@Ra@l@w@HYJUx@kA`@ONMVEVMZGf@a@PI\Wt@c@^Kb@Ud@Sf@g@fAu@jAaAN[h@]p@Sn@a@XEZQl@Sl@MVOn@E`@OXGz@m@NITCVQr@OR?^UPOXIXS
15776404,여의도 8.2km,8151.4,0.0,37.529377,126.91072,37.529348,126.910656,2104.0,883.0,137.0,q}`dF_greWCGCA}Bd@g@B{ABa@B}A^o@XoA?m@Tg@^CFq@D}@LeAG_@BINGXCp@Bf@B?Tq@Jw@PcEGo@Yo@a@c@Y_@Wc@Uq@WuAKs@Mk@cB}EOk@WaBEq@?cBHgBNq@j@yANq@Fo@?cBJwBj@oCLy@Fm@BsCDq@Jo@j@kCf@mCtAiENo@^oCRm@Vi@V]z@{@~BsB^c@bA{BbBuEXg@Tg@Nm@d@wAJm@?q@Ko@k@iCEq@Js@Pc@^a@~@k@z@q@d@[fAk@nAu@l@i@\_@tAeBfAaBTi@`@sAf@sAr@sAt@mA\a@z@u@jBcA`BoAZa@|AyBdAwBz@mA~@y@h@_@dCeCx@aApBoClD{D\[f@GtAG|A?vAEnBMrAi@bAs@Vg@?q@Mk@Sh@Ix@@JT`BFNLl@VlBBn@ZlAJv@FbBHj@ZrAf@pAv@rEj@tDz@bHV|CXjBRtCPbBPrCB`BGvF]fJA`B[jCOdBq@bFMl@yBfIg@rA_@dBc@vA]|Ae@~AsAjFw@bCa@`B{@`CYh@y@pAsBrC_A|@a@X]\a@Rm@N[b@iA~@eGlEiBfA_@XgAl@iAr@mBfAa@Z}At@wA|@aAr@c@TG?SJiAn@g@Tq@T_Cj@k@RmAXqAVcBV
17049177,Hapjeong to Seongsan Bridge ,1570.0,-0.1,37.546505,126.906936,37.555672,126.893805,37147.0,9328.0,9.0,shddFioqeW[`@[Zs@hAw@~@_@rASh@k@~@e@h@a@VWV]`@m@jAYb@[^UHY^Mj@Wd@Oh@a@d@Qj@_@^gBbAMZGl@Kj@YfAUh@gBvCmAdBmDrFi@dAcAzB[`@_@XeA|AmI`Nm@z@
