id,name,distance,avg_grade,start_lat,start_lng,end_lat,end_lng,effort_count,athlete_count,star_count,polyline
18168336,방화근린공원0.76km,768.5,0.0,37.581074,126.814099,37.581077,126.814085,6793.0,216.0,5.0,u`kdFak_eW?iAEYRs@@IAEc@EUIe@Gg@?_@J]r@Gb@K\WzAQr@Wp@Gd@Mf@Kz@Qb@SbAEVVT^T~@TF?BCNg@Xk@PqAhCcFPg@?W
20824793,서울식물원 습지원(CCW#01),713.0,-0.3,37.577942,126.834803,37.572694,126.833318,25935.0,3805.0,3.0,cmjdFolceWJGRCd@WP@VJPHRT^h@JFR`@j@p@RFr@U`@EVLl@dAZXVDBAR?`@KL?BBB?FFd@~@TVJBH?NGh@w@TQP?`@Zv@x@NJPFFF`@DH?PEf@CPGNILML[
11338494,"Gayang Dae Gyo south to north (가양대교, 남>북)",800.9,-1.1,37.567105,126.859624,37.573266,126.864233,9865.0,7782.0,5.0,kihdFsgheWaBiA_DmBoGkEgG{DaDaCwB}Ai@[qB}A
15847462,Magok Naru Park(M Valley 6&7 Apt.) 1km,1018.2,0.1,37.56589,126.821583,37.565203,126.821889,16378.0,106.0,4.0,yahdF{y`eW_AiDQe@QOIAUBMHKNCREtA?x@@NHRTVv@HnAEb@IJEh@[PM`@a@hAaATWPAp@s@ZOl@q@f@c@bAe@LEZADCE_@Mg@KYGIGCIBKp@ITu@zAKHe@r@u@v@m@V_@d@i@Pi@h@
24352367,메타세쿼이아길 편도 서>동,839.7,0.6,37.567329,126.879679,37.562936,126.887401,74098.0,12421.0,9.0,wjhdF}dleW?SJWXc@h@mAf@wAlCuF`@eAf@w@r@yAr@qAz@mB|@{ANg@v@aBDUl@}@v@gBR[H[p@mAXq@\k@
14412611,Around Noeul and Haneul Park,5891.8,-0.0,37.576018,126.880205,37.575966,126.880337,26862.0,3238.0,33.0,aajdFghleWKJ_@Tg@v@UNq@n@eBzBSb@]rAU`@APGLuAhBa@j@OZIJW~@ONELCT?\Mj@B`@Er@J|@AVTjDR`AR^Pr@ZdAPXd@bBBVHZAVFh@Hf@HXRrAHVBh@Jd@Hn@BhARlEJt@\|AJRVXHPXP^d@\p@^d@\P\`@^Vv@`@RDXBPINMJM@IHMd@e@HYV[P[^g@FQNSJ]\c@^}@Zc@hAeCNg@PUN[b@o@DSj@cAVs@h@u@\cAXa@`CiFXa@P[Ne@V_@^eA\w@RUZkAR[Vq@|@wAHUn@aAHUhA_BXs@@c@Ts@NQJg@FMd@e@Ja@N]X_@HSF[RSVOJQJ[|@_BPo@Vi@^e@P]Jc@h@sAV[Nc@b@q@DOT]FWVc@v@kAHYRe@LOV{@N]TYVq@b@e@Lu@j@gARo@LOXm@LILUZ]`@s@FW`@m@DWJQXu@Lw@rC}EJs@@QEq@K[Ye@OO{@m@SSKSUUm@[_Bi@GE_@g@WQi@m@g@c@MQICkAwAYQa@_@]i@MKMWUWUKQ?QFWNWJc@VON[Tq@Zo@f@iA`@]Vm@\_@Zg@R_Af@a@^}@f@SNWHMJQXM\QXSd@c@l@i@bAUPe@n@c@`ASv@Iv@M`@EVM\_@h@k@fByAjBcAdBo@d@o@Xq@LMLQZOJ[^UREHAVDx@CXk@n@IXSf@}@x@_@l@UVELc@f@g@fAi@l@KVONKRQP]l@WZ
10831175,Wooden Stairs near Nanji ,155.6,24.4,37.572465,126.871915,37.573208,126.872652,1718.0,510.0,5.0,{jidFmtjeWKYMJIGAWEEM@?MQ@E[S@ASCGG?IBEA?QEKKAIEBAFD
24094687,Dal ponte al campo calcio,1149.7,-0.9,37.566467,126.891518,37.573963,126.883433,70503.0,14066.0,5.0,kehdF}nneWk@PqCdBcAh@}CvBcAh@qA|@gAf@q@h@MPy@~ASZ]v@k@r@KV_@d@CRIN[`@DGG@QROl@K`BId@s@`BQZe@l@g@j@W`@Wl@W^i@`@kA`@a@Bm@p@q@~@a@v@
14201892,상암구름다리,224.8,5.9,37.56052,126.889403,37.560929,126.891083,19528.0,8013.0,16.0,e`gdFwaneWEeAFm@x@eB@UCc@Ug@a@UOAk@DWA
25604141,하늘공원+노을공원 둘레 1바퀴,5881.4,0.0,37.566041,126.891248,37.566031,126.8912,31117.0,5157.0,19.0,wbhdFgmneWm@_@YKa@JWBu@VkA`Ac@P}BpAwA~@o@\yA~@c@\_@R]Xc@b@KXUVg@~@CN]~@UFq@j@Sl@UZU~@Q|AKT]f@Wh@[|@[VYh@s@z@m@lAyAdAq@Xc@JQPOXY^i@l@ARPb@CXQn@MLaAjAe@bAa@ZkAxBSf@MNs@jAa@\oAfBQN[t@w@t@w@d@WTKVu@x@SJ[n@IFCJMRAL[l@AJIPMDOZ_@nAMXe@v@GZ]l@GV?LCDIj@IVAv@Or@@TFRBp@H`@HJVr@L|@HNPj@p@rANl@Rb@J`A\lAHh@@n@LRGf@Rz@Bz@Jh@BtBCPF~@L`ABv@Jf@XfAl@p@HNJFT^RJHRXVd@`Br@h@Xb@PH\n@I@KICILGXB\HL@TENYH[Tg@n@}@LWPc@Zm@tA}BXYTa@`@aAXe@Xq@l@_A^mAl@sARc@\y@R[Tm@RULYPg@l@gAd@oA\k@d@eA\m@Na@Jc@\a@~@eBPo@f@cA`@eAh@y@Rm@R]JIDIn@y@d@uAVe@Le@l@_AL[XWN]R]LIV{@ZsAJS\QL]AUB_@z@uAj@yAX[?YBKTi@TUV]BKNOf@iAd@k@Va@TMJa@NORa@Jg@Z[V_@NYBCPWHQFc@v@oABILOPo@^i@h@sAb@y@J]d@iAFa@L_@j@qAZSfA_CJg@Rs@Cc@CQ[o@ICa@UgAaAyBiAQEe@a@]_@IMm@k@o@_A_@c@YOKQUSa@g@o@i@
14923511,Seoul 10ker - Straight 2,2242.3,0.0,37.574734,126.867455,37.562817,126.887733,68642.0,10139.0,5.0,ayidFqxieWZYT_@`AsBfAmB`@k@J]j@kAl@uA`@g@p@cBv@uA\}@b@q@Ro@x@wA\{@\q@Pi@~@_Bv@kBb@q@\y@LQ\aAdAsBH]Vk@p@aAVw@Ta@ZcAj@eA\_@l@aAJWlAiC\k@Rg@J_@V]Xi@Nk@Ta@PUL]T]bAgBZy@Ja@f@_ALQd@qAx@}@Nc@Hm@FOJQr@{@Te@LO`@w@j@wA^w@d@mAVc@JY^o@Na@x@cBf@{@j@{Aj@_AN_@
13527829,Eungam river,1085.7,-0.2,37.594133,126.915131,37.585007,126.911765,28927.0,2934.0,7.0,irmdFqbseWbBTp@@r@Pt@Jt@NZBZCr@h@D@h@D^?d@RPDnC\l@NX?b@Bf@JX@LF`AL\Hp@FLFx@?\D^J^DjDl@b@Tl@H~@XPL^Ph@d@PFRPTZn@r@XZTLV`@DFPFLR
