행정동코드,행정동명,구명,거주인구
11650581,반포4동,서초구,18515
11170685,한남동,용산구,18508
11380640,증산동,은평구,18343
11350720,상계10동,노원구,18275
11545710,시흥5동,금천구,18232
11260540,면목4동,중랑구,18231
11560610,양평1동,영등포구,18185
11260630,묵2동,중랑구,18179
11710540,마천1동,송파구,18130
11320681,쌍문4동,도봉구,18117
11650610,방배2동,서초구,18079
11230570,전농2동,동대문구,18026
11440700,망원2동,마포구,17994
11320670,쌍문2동,도봉구,17949
11545620,독산2동,금천구,17884
11230740,이문1동,동대문구,17855
11710566,오륜동,송파구,17847
11560680,신길6동,영등포구,17820
11290620,정릉1동,성북구,17819
11620630,남현동,관악구,17772
11410640,홍제3동,서대문구,17730
11305595,번1동,강북구,17718
11620655,신원동,관악구,17698
11710550,마천2동,송파구,17682
11410710,북가좌1동,서대문구,17596
11560585,도림동,영등포구,17583
11470590,신월4동,양천구,17470
11620585,낙성대동,관악구,17418
11110560,평창동,종로구,17415
11740590,암사3동,강동구,17283
11650660,내곡동,서초구,17253
11740540,명일2동,강동구,17184
11500550,화곡2동,강서구,17141
11170560,원효로1동,용산구,17082
11440610,염리동,마포구,16834
11650620,방배3동,서초구,16739
11410690,남가좌1동,서대문구,16702
11410520,천연동,서대문구,16620
11650600,방배1동,서초구,16524
11320680,쌍문3동,도봉구,16503
11710710,잠실6동,송파구,16466
11440680,합정동,마포구,16392
11305608,번3동,강북구,16377
11290610,보문동,성북구,16219
11140635,약수동,중구,16175
11200520,왕십리2동,성동구,16151
11560650,신길3동,영등포구,16082
11170510,후암동,용산구,16022
11290525,성북동,성북구,15967
11110650,혜화동,종로구,15919
11215760,중곡3동,광진구,15764
11260660,망우3동,중랑구,15763
11290780,장위3동,성북구,15567
11200650,성수1가1동,성동구,15470
11410555,북아현동,서대문구,15451
11680510,신사동,강남구,15429
11620615,중앙동,관악구,15291
11215740,중곡1동,광진구,15266
11710561,방이1동,송파구,15159
11290575,동선동,성북구,15043
11290640,정릉3동,성북구,15017
11200580,응봉동,성동구,14990
11290600,안암동,성북구,14985
11305603,번2동,강북구,14915
11740580,암사2동,강동구,14878
11200590,금호1가동,성동구,14821
11620715,난향동,관악구,14768
11620545,청림동,관악구,14762
11680730,일원1동,강남구,14644
11545640,독산4동,금천구,14640
11200670,성수2가1동,성동구,14617
11260550,면목5동,중랑구,14607
11380551,갈현1동,은평구,14595
11440600,대흥동,마포구,14489
11470580,신월3동,양천구,14390
11290580,돈암1동,성북구,14293
11440710,연남동,마포구,14284
11500605,가양3동,강서구,14210
11200620,금호4가동,성동구,14170
11590651,사당5동,동작구,14147
11680750,수서동,강남구,14134
11470600,신월5동,양천구,14080
11470610,신월6동,양천구,13893
11590650,사당4동,동작구,13855
11560700,대림1동,영등포구,13815
11230720,휘경1동,동대문구,13742
11200560,행당1동,성동구,13702
11170570,원효로2동,용산구,13638
11500604,가양2동,강서구,13499
11140625,다산동,중구,13299
11320513,창3동,도봉구,13259
11290770,장위2동,성북구,13208
11410655,홍제2동,서대문구,13198
11140645,청구동,중구,13026
11140670,황학동,중구,12680
11170690,서빙고동,용산구,12460
11680580,삼성1동,강남구,12299
11560660,신길4동,영등포구,12249
11140680,중림동,중구,12130
11170700,보광동,용산구,12085
11710531,거여1동,송파구,12051
11200550,사근동,성동구,12008
11200660,성수1가2동,성동구,12005
11200790,용답동,성동구,12004
11710510,풍납1동,송파구,11855
11560710,대림2동,영등포구,11854
11170590,용문동,용산구,11439
11110515,청운효자동,종로구,11345
11215780,능동,광진구,11115
11170580,효창동,용산구,10719
11230710,회기동,동대문구,10444
11590520,노량진2동,동작구,10295
11545690,시흥3동,금천구,10266
11140650,신당5동,중구,10113
11200690,성수2가3동,성동구,10099
11560670,신길5동,영등포구,10005
11140665,동화동,중구,9953
11200720,송정동,성동구,9772
11110710,숭인2동,종로구,9749
11110580,교남동,종로구,9699
11710720,잠실7동,송파구,9438
11110550,부암동,종로구,9125
11110530,사직동,종로구,9016
11170520,용산2가동,용산구,8937
11530595,가리봉동,구로구,8782
11170660,이태원2동,용산구,8617
11110570,무악동,종로구,7990
11170640,이촌2동,용산구,7911
11110680,창신2동,종로구,7528
11140615,신당동,중구,7439
11110640,이화동,종로구,6931
11680660,개포1동,강남구,6889
11170530,남영동,용산구,6838
11110615,종로1.2.3.4가동,종로구,6697
11110690,창신3동,종로구,6377
11170650,이태원1동,용산구,6029
11110700,숭인1동,종로구,5770
11140590,광희동,중구,5746
11110630,종로5.6가동,종로구,5396
11140580,장충동,중구,4584
11110670,창신1동,종로구,4537
11140540,회현동,중구,4381
11140570,필동,중구,4002
11110600,가회동,종로구,3866
11140605,을지로동,중구,2974
11140550,명동,중구,2621
11110540,삼청동,종로구,2246
11140520,소공동,중구,2177
11650550,반포본동,서초구,229
11740690,둔촌1동,강동구,52
