"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20251101","2호선","문래","17322","18922","20251104",""
"20251101","경원선","창동","9","0","20251104",""
"20251101","안산선","한대앞","9279","8999","20251104",""
"20251101","1호선","시청","24120","25337","20251104",""
"20251101","1호선","종각","29987","28009","20251104",""
"20251101","1호선","종로3가","30735","29310","20251104",""
"20251101","1호선","종로5가","26411","25833","20251104",""
"20251101","1호선","동대문","13803","14107","20251104",""
"20251101","1호선","신설동","12421","11843","20251104",""
"20251101","1호선","제기동","17415","17967","20251104",""
"20251101","1호선","청량리(서울시립대입구)","24635","25701","20251104",""
"20251101","1호선","동묘앞","15227","15966","20251104",""
"20251101","2호선","시청","17926","15493","20251104",""
"20251101","2호선","을지로입구","42279","41789","20251104",""
"20251101","2호선","을지로3가","19662","19275","20251104",""
"20251101","2호선","을지로4가","11855","11801","20251104",""
"20251101","2호선","동대문역사문화공원(DDP)","16965","19840","20251104",""
"20251101","2호선","신당","14220","15314","20251104",""
"20251101","2호선","상왕십리","12218","11781","20251104",""
"20251101","2호선","왕십리(성동구청)","15625","15227","20251104",""
"20251101","2호선","한양대","6461","6819","20251104",""
"20251101","2호선","뚝섬","22785","22052","20251104",""
"20251101","2호선","성수","58265","63189","20251104",""
"20251101","2호선","건대입구","43893","45617","20251104",""
"20251101","2호선","구의(광진구청)","23547","22828","20251104",""
"20251101","2호선","강변(동서울터미널)","31387","30094","20251104",""
"20251101","2호선","잠실나루","9496","9573","20251104",""
"20251101","2호선","잠실(송파구청)","91845","87830","20251104",""
"20251101","2호선","잠실새내","22455","22600","20251104",""
"20251101","2호선","종합운동장","22388","25014","20251104",""
"20251101","2호선","삼성(무역센터)","39901","39039","20251104",""
"20251101","2호선","선릉","31577","27433","20251104",""
"20251101","2호선","역삼","21356","23987","20251104",""
"20251101","2호선","강남","66067","65113","20251104",""
"20251101","2호선","교대(법원.검찰청)","18686","23792","20251104",""
"20251101","2호선","서초","16468","14041","20251104",""
"20251101","2호선","방배","11157","11085","20251104",""
"20251101","2호선","사당","43551","48493","20251104",""
"20251101","2호선","낙성대(강감찬)","25491","23594","20251104",""
"20251101","2호선","서울대입구(관악구청)","41649","39124","20251104",""
"20251101","2호선","봉천","20542","18841","20251104",""
"20251101","2호선","신림","52327","50373","20251104",""
"20251101","2호선","신대방","22707","21338","20251104",""
"20251101","2호선","구로디지털단지","40953","40081","20251104",""
"20251101","2호선","대림(구로구청)","21242","22275","20251104",""
"20251101","2호선","신도림","50465","50034","20251104",""
"20251101","2호선","영등포구청","16828","17697","20251104",""
"20251101","2호선","당산","15849","17079","20251104",""
"20251101","2호선","합정","37910","42541","20251104",""
"20251101","2호선","홍대입구","105159","113468","20251104",""
"20251101","2호선","신촌","43022","43326","20251104",""
"20251101","2호선","이대","16009","16954","20251104",""
"20251101","2호선","아현","10617","9077","20251104",""
"20251101","2호선","충정로(경기대입구)","7480","7931","20251104",""
"20251101","2호선","용답","2818","2629","20251104",""
"20251101","2호선","신답","1368","1406","20251104",""
"20251101","2호선","신설동","4307","4192","20251104",""
"20251101","2호선","도림천","990","1114","20251104",""
"20251101","2호선","양천구청","5304","5316","20251104",""
"20251101","2호선","신정네거리","8810","8487","20251104",""
"20251101","2호선","용두(동대문구청)","2557","2473","20251104",""
"20251101","3호선","지축","6439","6087","20251104",""
"20251101","3호선","구파발","20903","21171","20251104",""
"20251101","3호선","연신내","35734","33317","20251104",""
"20251101","3호선","불광","15668","17580","20251104",""
"20251101","3호선","녹번","12744","11138","20251104",""
"20251101","3호선","홍제","16945","15524","20251104",""
"20251101","3호선","무악재","3679","3531","20251104",""
"20251101","3호선","독립문","8549","9060","20251104",""
"20251101","1호선","서울역","78227","75501","20251104",""
"20251101","3호선","경복궁(정부서울청사)","34770","35679","20251104",""
"20251101","3호선","안국","32733","34106","20251104",""
"20251101","3호선","종로3가","11799","14005","20251104",""
"20251101","3호선","을지로3가","10028","9914","20251104",""
"20251101","3호선","충무로","8","0","20251104",""
"20251101","3호선","동대입구","12453","14590","20251104",""
"20251101","3호선","약수","11677","11280","20251104",""
"20251101","3호선","금호","7029","6435","20251104",""
"20251101","3호선","옥수","8624","8805","20251104",""
"20251101","3호선","압구정","27818","29328","20251104",""
"20251101","3호선","신사","24654","26001","20251104",""
"20251101","3호선","잠원","6091","5785","20251104",""
"20251101","3호선","고속터미널","65488","64374","20251104",""
"20251101","3호선","교대(법원.검찰청)","12102","5864","20251104",""
"20251101","3호선","남부터미널(예술의전당)","30148","29826","20251104",""
"20251101","3호선","양재(서초구청)","25001","26892","20251104",""
"20251101","3호선","매봉","7720","7469","20251104",""
"20251101","3호선","도곡","4434","4325","20251104",""
"20251101","3호선","대치","12288","11032","20251104",""
"20251101","3호선","학여울","2694","2722","20251104",""
"20251101","3호선","대청","7832","7274","20251104",""
"20251101","3호선","일원","6918","6622","20251104",""
"20251101","3호선","수서","17302","16569","20251104",""
"20251101","3호선","가락시장","7273","7434","20251104",""
"20251101","3호선","경찰병원","4867","4764","20251104",""
"20251101","3호선","오금","4512","4240","20251104",""
"20251101","4호선","불암산","8869","8208","20251104",""
"20251101","4호선","상계","17518","15845","20251104",""
"20251101","4호선","노원","19447","21829","20251104",""
"20251101","4호선","창동","25107","26127","20251104",""
"20251101","4호선","쌍문","25090","22350","20251104",""
"20251101","4호선","수유(강북구청)","31011","30406","20251104",""
"20251101","4호선","미아(서울사이버대학)","14368","13293","20251104",""
"20251101","4호선","미아사거리","24892","24051","20251104",""
"20251101","4호선","길음","18212","17531","20251104",""
"20251101","4호선","성신여대입구(돈암)","21504","20762","20251104",""
"20251101","4호선","한성대입구(삼선교)","15038","15326","20251104",""
"20251101","4호선","혜화","40434","41335","20251104",""
"20251101","4호선","동대문","17886","18153","20251104",""
"20251101","4호선","동대문역사문화공원(DDP)","21570","17739","20251104",""
"20251101","4호선","충무로","23500","26392","20251104",""
"20251101","4호선","명동","43949","48698","20251104",""
"20251101","4호선","회현(남대문시장)","28260","30511","20251104",""
"20251101","4호선","서울역","9062","24905","20251104",""
"20251101","4호선","숙대입구(갈월)","14532","13992","20251104",""
"20251101","4호선","삼각지(전쟁기념관)","7635","10205","20251104",""
"20251101","4호선","신용산","21075","22367","20251104",""
"20251101","4호선","이촌(국립중앙박물관)","12677","13213","20251104",""
"20251101","4호선","동작(현충원)","2232","2358","20251104",""
"20251101","4호선","총신대입구(이수)","17500","18777","20251104",""
