"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20251201","4호선","총신대입구(이수)","21135","22938","20251204",""
"20251201","4호선","사당","26797","23745","20251204",""
"20251201","4호선","남태령","1547","1355","20251204",""
"20251201","5호선","방화","7847","7576","20251204",""
"20251201","5호선","개화산","6861","6641","20251204",""
"20251201","5호선","김포공항","13692","8363","20251204",""
"20251201","5호선","송정","6892","6618","20251204",""
"20251201","5호선","마곡","17297","17162","20251204",""
"20251201","5호선","발산","26861","27449","20251204",""
"20251201","5호선","우장산","16779","16863","20251204",""
"20251201","5호선","화곡","31706","29767","20251204",""
"20251201","5호선","까치산","29886","29128","20251204",""
"20251201","5호선","신정(은행정)","15020","12533","20251204",""
"20251201","5호선","목동","17876","20032","20251204",""
"20251201","5호선","오목교(목동운동장앞)","22398","23750","20251204",""
"20251201","5호선","양평","9566","9449","20251204",""
"20251201","5호선","영등포구청","5630","5551","20251204",""
"20251201","5호선","영등포시장","12682","12706","20251204",""
"20251201","5호선","신길","5447","5866","20251204",""
"20251201","5호선","여의도","33671","35281","20251204",""
"20251201","5호선","여의나루","12002","13693","20251204",""
"20251201","5호선","마포","16936","17167","20251204",""
"20251201","5호선","공덕","16410","17180","20251204",""
"20251201","5호선","애오개","7598","7403","20251204",""
"20251201","5호선","충정로(경기대입구)","5835","5962","20251204",""
"20251201","5호선","서대문","22691","23035","20251204",""
"20251201","5호선","광화문(세종문화회관)","37329","39146","20251204",""
"20251201","5호선","종로3가","14107","13764","20251204",""
"20251201","5호선","을지로4가","7486","7381","20251204",""
"20251201","5호선","동대문역사문화공원(DDP)","3886","4192","20251204",""
"20251201","5호선","청구","3842","3547","20251204",""
"20251201","5호선","신금호","7094","7482","20251204",""
"20251201","5호선","행당","8974","7991","20251204",""
"20251201","5호선","왕십리(성동구청)","4974","5405","20251204",""
"20251201","5호선","마장","6606","6434","20251204",""
"20251201","5호선","답십리","17641","15914","20251204",""
"20251201","5호선","장한평","21784","21511","20251204",""
"20251201","5호선","군자(능동)","13035","14315","20251204",""
"20251201","5호선","아차산(어린이대공원후문)","15573","15417","20251204",""
"20251201","5호선","광나루(장신대)","12981","12549","20251204",""
"20251201","5호선","천호(풍납토성)","21179","20676","20251204",""
"20251201","5호선","강동","21047","20398","20251204",""
"20251201","5호선","길동","9882","10186","20251204",""
"20251201","5호선","굽은다리(강동구민회관앞)","10676","10259","20251204",""
"20251201","5호선","명일","8922","8872","20251204",""
"20251201","5호선","고덕","12105","11959","20251204",""
"20251201","5호선","상일동","16727","15993","20251204",""
"20251201","5호선","둔촌동","14689","14469","20251204",""
"20251201","5호선","올림픽공원(한국체대)","5297","4438","20251204",""
"20251201","5호선","방이","7984","8318","20251204",""
"20251201","5호선","오금","4261","4323","20251204",""
"20251201","5호선","개롱","7175","7573","20251204",""
"20251201","5호선","거여","11552","11342","20251204",""
"20251201","5호선","마천","8153","7198","20251204",""
"20251201","5호선","강일","6722","6344","20251204",""
"20251201","5호선","미사","19330","19507","20251204",""
"20251201","5호선","하남풍산","5258","5037","20251204",""
"20251201","5호선","하남시청(덕풍·신장)","9527","9084","20251204",""
"20251201","5호선","하남검단산","7063","6638","20251204",""
"20251201","6호선","응암","19786","19625","20251204",""
"20251201","6호선","역촌","4222","5021","20251204",""
"20251201","6호선","불광","5071","4895","20251204",""
"20251201","6호선","독바위","2888","3073","20251204",""
"20251201","6호선","구산","9031","7157","20251204",""
"20251201","6호선","새절(신사)","14223","13435","20251204",""
"20251201","6호선","증산(명지대앞)","10167","10181","20251204",""
"20251201","6호선","디지털미디어시티","16656","18103","20251204",""
"20251201","6호선","월드컵경기장(성산)","4226","4351","20251204",""
"20251201","6호선","마포구청","16467","15055","20251204",""
"20251201","6호선","망원","15908","16787","20251204",""
"20251201","6호선","합정","13224","13037","20251204",""
"20251201","6호선","상수","10231","11168","20251204",""
"20251201","6호선","광흥창(서강)","10900","10405","20251204",""
"20251201","6호선","대흥(서강대앞)","10883","11428","20251204",""
"20251201","6호선","공덕","21436","20951","20251204",""
"20251201","6호선","효창공원앞","8730","8232","20251204",""
"20251201","6호선","삼각지(전쟁기념관)","7663","6959","20251204",""
"20251201","6호선","녹사평(용산구청)","4992","4982","20251204",""
"20251201","6호선","이태원","10565","10508","20251204",""
"20251201","6호선","한강진","8322","9855","20251204",""
"20251201","6호선","버티고개","2498","2229","20251204",""
"20251201","6호선","약수","4047","4050","20251204",""
"20251201","6호선","청구","4120","4166","20251204",""
"20251201","6호선","신당","9067","9413","20251204",""
"20251201","6호선","동묘앞","9191","9655","20251204",""
"20251201","6호선","창신","4185","3528","20251204",""
"20251201","6호선","보문","8864","8564","20251204",""
"20251201","6호선","안암(고대병원앞)","16038","16812","20251204",""
"20251201","6호선","고려대(종암)","10391","10047","20251204",""
"20251201","6호선","월곡(동덕여대)","14161","13778","20251204",""
"20251201","6호선","상월곡(한국과학기술연구원)","7521","7348","20251204",""
"20251201","6호선","돌곶이","13266","12364","20251204",""
"20251201","6호선","석계","14047","14401","20251204",""
"20251201","6호선","태릉입구","6184","7133","20251204",""
"20251201","6호선","화랑대(서울여대입구)","13741","11707","20251204",""
"20251201","6호선","봉화산(서울의료원)","9770","9089","20251204",""
"20251201","7호선","장암","3065","1067","20251204",""
"20251201","7호선","도봉산","10374","11474","20251204",""
"20251201","7호선","수락산","13688","13693","20251204",""
"20251201","7호선","마들","14965","14248","20251204",""
"20251201","7호선","노원","22779","23715","20251204",""
"20251201","7호선","중계","16713","15712","20251204",""
"20251201","7호선","하계","20380","19245","20251204",""
"20251201","7호선","공릉(서울과학기술대)","13780","13692","20251204",""
"20251201","7호선","태릉입구","9528","9399","20251204",""
"20251201","7호선","먹골","11209","11172","20251204",""
"20251201","7호선","중화","12219","12368","20251204",""
"20251201","7호선","상봉","19101","18809","20251204",""
"20251201","7호선","면목","16648","16557","20251204",""
"20251201","7호선","사가정","17522","18005","20251204",""
"20251201","7호선","용마산(용마폭포공원)","6246","6142","20251204",""
"20251201","7호선","중곡","12204","11471","20251204",""
"20251201","7호선","군자(능동)","16327","13122","20251204",""
"20251201","7호선","어린이대공원(세종대)","19499","20192","20251204",""
"20251201","7호선","건대입구","14988","15435","20251204",""
"20251201","7호선","자양(뚝섬한강공원)","8254","8204","20251204",""
"20251201","7호선","청담","20877","22854","20251204",""
"20251201","7호선","강남구청","18080","19821","20251204",""
"20251201","7호선","학동","26659","27161","20251204",""
"20251201","7호선","논현","21704","22327","20251204",""
"20251201","7호선","반포","7548","7304","20251204",""
"20251201","7호선","고속터미널","18058","15908","20251204",""
"20251201","7호선","내방","16765","16683","20251204",""
"20251201","7호선","이수","18133","17686","20251204",""
"20251201","7호선","남성","12490","12345","20251204",""
"20251201","7호선","숭실대입구(살피재)","17007","17397","20251204",""
"20251201","7호선","상도","14077","14308","20251204",""
"20251201","7호선","장승배기","10978","10910","20251204",""
"20251201","7호선","신대방삼거리","16762","16379","20251204",""
"20251201","7호선","보라매","7272","7686","20251204",""
"20251201","7호선","신풍","13436","12634","20251204",""
"20251201","7호선","대림(구로구청)","9582","9581","20251204",""
"20251201","7호선","남구로","17218","18088","20251204",""
"20251201","7호선","가산디지털단지","51164","51470","20251204",""
"20251201","7호선","철산","24557","25215","20251204",""
"20251201","7호선","광명사거리","23818","23543","20251204",""
"20251201","7호선","천왕","13496","13283","20251204",""
"20251201","경부선","금정","30878","31610","20251204",""
"20251201","7호선","온수(성공회대입구)","11748","10849","20251204",""
"20251201","8호선","암사역사공원","7721","6601","20251204",""
"20251201","8호선","암사","17799","16668","20251204",""
"20251201","8호선","천호(풍납토성)","18843","21007","20251204",""
"20251201","8호선","강동구청","11968","12523","20251204",""
"20251201","8호선","몽촌토성(평화의문)","7984","8008","20251204",""
"20251201","8호선","잠실(송파구청)","20242","23151","20251204",""
"20251201","8호선","석촌","9582","10655","20251204",""
"20251201","8호선","송파","10911","10881","20251204",""
"20251201","8호선","가락시장","9651","10610","20251204",""
"20251201","8호선","문정","26404","27742","20251204",""
"20251201","8호선","장지","18824","17748","20251204",""
"20251201","8호선","복정","10915","9384","20251204",""
"20251201","8호선","산성","6899","7111","20251204",""
"20251201","8호선","남한산성입구(성남법원.검찰청)","15059","14104","20251204",""
"20251201","8호선","단대오거리","13565","12988","20251204",""
"20251201","8호선","신흥","5632","5983","20251204",""
"20251201","8호선","수진","5935","5556","20251204",""
"20251201","8호선","모란","5209","4008","20251204",""
"20251201","8호선","남위례","8497","8336","20251204",""
"20251201","9호선","개화","2914","1927","20251204",""
"20251201","9호선","김포공항","6474","10728","20251204",""
"20251201","9호선","공항시장","2938","3206","20251204",""
"20251201","9호선","신방화","7668","7576","20251204",""
"20251201","9호선","마곡나루(서울식물원)","16156","15830","20251204",""
"20251201","9호선","양천향교","12406","12911","20251204",""
"20251201","9호선","가양","24672","24403","20251204",""
"20251201","9호선","증미","9485","9184","20251204",""
"20251201","9호선","등촌","14527","14101","20251204",""
"20251201","9호선","염창","19836","19092","20251204",""
"20251201","9호선","신목동","5232","4788","20251204",""
"20251201","9호선","선유도","10615","9805","20251204",""
"20251201","9호선","당산","20301","20174","20251204",""
"20251201","9호선","국회의사당","20848","21404","20251204",""
"20251201","9호선","여의도","35916","34558","20251204",""
"20251201","9호선","샛강","7419","7594","20251204",""
"20251201","9호선","노량진","29537","29130","20251204",""
"20251201","9호선","노들","5290","4449","20251204",""
"20251201","9호선","흑석(중앙대입구)","10945","11489","20251204",""
"20251201","9호선","동작(현충원)","1854","1646","20251204",""
"20251201","9호선","구반포","2368","2135","20251204",""
"20251201","9호선","신반포","5295","4998","20251204",""
"20251201","9호선","고속터미널","14761","19706","20251204",""
"20251201","9호선","사평","4739","4629","20251204",""
"20251201","9호선","신논현","32797","33030","20251204",""
"20251201","9호선2~3단계","언주","13069","13385","20251204",""
"20251201","9호선2~3단계","선정릉","11483","12297","20251204",""
"20251201","9호선2~3단계","삼성중앙","9602","9932","20251204",""
"20251201","9호선2~3단계","봉은사","22582","23611","20251204",""
"20251201","9호선2~3단계","종합운동장","5512","5504","20251204",""
"20251201","9호선2~3단계","삼전","9227","8742","20251204",""
"20251201","9호선2~3단계","석촌고분","8262","8126","20251204",""
"20251201","9호선2~3단계","석촌","10368","9431","20251204",""
"20251201","9호선2~3단계","송파나루","6248","6593","20251204",""
"20251201","9호선2~3단계","한성백제","3532","3191","20251204",""
"20251201","9호선2~3단계","올림픽공원(한국체대)","6978","7159","20251204",""
"20251201","9호선2~3단계","둔촌오륜","5246","5289","20251204",""
"20251201","9호선2~3단계","중앙보훈병원","15360","13200","20251204",""
"20251201","경강선","판교","6683","6461","20251204",""
"20251201","경강선","이매","1049","1065","20251204",""
"20251201","경강선","삼동","2569","2470","20251204",""
"20251201","경강선","경기광주","9075","8702","20251204",""
"20251201","경강선","초월","4188","3908","20251204",""
"20251201","경강선","곤지암","2422","2370","20251204",""
"20251201","경강선","신둔도예촌","1723","1554","20251204",""
"20251201","경강선","이천","3108","3237","20251204",""
"20251201","경강선","부발","2498","2481","20251204",""
"20251201","경강선","세종대왕릉","345","326","20251204",""
"20251201","경강선","여주","3371","3274","20251204",""
"20251201","경강선","성남","1435","1205","20251204",""
"20251201","경부선","서울역","10082","3558","20251204",""
"20251201","경부선","남영","10422","11018","20251204",""
"20251201","경부선","용산","41596","42199","20251204",""
"20251201","경부선","노량진","9280","9946","20251204",""
"20251201","경부선","대방","11519","12990","20251204",""
"20251201","경부선","영등포","40524","40751","20251204",""
"20251201","경부선","신도림","4127","4389","20251204",""
"20251201","경부선","신길","9451","8412","20251204",""
"20251201","경부선","구로","18333","18260","20251204",""
"20251201","경부선","가산디지털단지","19761","23106","20251204",""
"20251201","경부선","금천구청","11808","12099","20251204",""
"20251201","경부선","석수","9093","8456","20251204",""
"20251201","경부선","관악","7519","7197","20251204",""
"20251201","경부선","안양","27531","27200","20251204",""
"20251201","경부선","명학","10363","10135","20251204",""
"20251201","경부선","군포","7512","7462","20251204",""
"20251201","경부선","의왕","10338","10458","20251204",""
"20251201","경부선","성균관대","17392","17411","20251204",""
"20251201","경부선","화서","11632","11004","20251204",""
"20251201","경부선","수원","38822","40288","20251204",""
"20251201","경부선","독산","18626","18832","20251204",""
"20251201","경부선","세류","3722","3307","20251204",""
"20251201","경부선","병점","17549","17589","20251204",""
"20251201","경부선","세마","3772","3560","20251204",""
"20251201","경부선","오산대","4388","3951","20251204",""
"20251201","경부선","오산","11477","11594","20251204",""
"20251201","경부선","진위","1908","1734","20251204",""
"20251201","경부선","송탄","4515","4242","20251204",""
"20251201","경부선","서정리","9050","8722","20251204",""
"20251201","경부선","평택지제","4741","4375","20251204",""
"20251201","경부선","평택","13517","13369","20251204",""
"20251201","경부선","성환","7209","7196","20251204",""
"20251201","경부선","직산","1153","1090","20251204",""
"20251201","경부선","두정","8707","10640","20251204",""
"20251201","경부선","천안","7608","6904","20251204",""
"20251201","경부선","당정","7302","6901","20251204",""
"20251201","경부선","서동탄","1630","1217","20251204",""
"20251201","경부선","광명","4018","3467","20251204",""
"20251201","경원선","이촌(국립중앙박물관)","4309","3498","20251204",""
"20251201","경원선","서빙고","2346","2106","20251204",""
"20251201","경원선","한남","4043","3922","20251204",""
"20251201","경원선","옥수","43","48","20251204",""
"20251201","경원선","응봉","1939","1623","20251204",""
"20251201","경원선","왕십리(성동구청)","18027","17846","20251204",""
"20251201","경원선","청량리(서울시립대입구)","16811","17734","20251204",""
"20251201","경원선","외대앞","12514","12711","20251204",""
"20251201","경원선","신이문","8995","8659","20251204",""
"20251201","경원선","석계","7899","8885","20251204",""
"20251201","경원선","광운대","9970","9679","20251204",""
"20251201","경원선","월계","8046","7511","20251204",""
"20251201","경원선","녹천","4865","4022","20251204",""
"20251201","경원선","창동","1","0","20251204",""
"20251201","경원선","방학","10900","10712","20251204",""
"20251201","경원선","도봉","6368","6058","20251204",""
"20251201","경원선","도봉산","7653","4934","20251204",""
"20251201","경원선","망월사","10258","10344","20251204",""
"20251201","경원선","회룡","14463","14207","20251204",""
"20251201","경원선","의정부","19953","20070","20251204",""
"20251201","경원선","가능","7030","6850","20251204",""
"20251201","경원선","녹양","4745","4519","20251204",""
"20251201","경원선","양주","7669","7414","20251204",""
"20251201","경원선","덕계","7103","6551","20251204",""
"20251201","경원선","덕정","7614","7075","20251204",""
"20251201","경원선","지행","6958","6869","20251204",""
"20251201","경원선","동두천중앙","3144","2971","20251204",""
"20251201","경원선","보산","1481","1269","20251204",""
"20251201","경원선","동두천","2302","2317","20251204",""
"20251201","경원선","소요산","1477","1475","20251204",""
"20251201","경원선","청산","162","122","20251204",""
"20251201","경원선","전곡","1260","1001","20251204",""
"20251201","경원선","연천","1102","933","20251204",""
"20251201","경의선","서울역","4015","5472","20251204",""
"20251201","경의선","신촌","1280","1550","20251204",""
"20251201","경의선","효창공원앞","3786","4218","20251204",""
"20251201","경의선","공덕","4473","3725","20251204",""
"20251201","경의선","서강대","2563","2544","20251204",""
"20251201","경의선","홍대입구","1932","2401","20251204",""
"20251201","경의선","가좌","6645","6338","20251204",""
"20251201","경의선","디지털미디어시티","2915","2800","20251204",""
"20251201","경의선","수색","3684","3763","20251204",""
"20251201","경의선","한국항공대","3880","3653","20251204",""
"20251201","경의선","강매","3701","3074","20251204",""
"20251201","경의선","행신","8419","8622","20251204",""
"20251201","경의선","능곡","4851","4534","20251204",""
"20251201","경의선","곡산","681","716","20251204",""
"20251201","경의선","백마","8293","7951","20251204",""
"20251201","경의선","풍산","6724","6451","20251204",""
"20251201","경의선","일산","11534","11210","20251204",""
"20251201","경의선","탄현","8573","8055","20251204",""
"20251201","경의선","야당","8119","8202","20251204",""
"20251201","경의선","운정","8031","7535","20251204",""
"20251201","경의선","금릉","5553","5318","20251204",""
"20251201","경의선","금촌","7076","6687","20251204",""
"20251201","경의선","월롱","2298","2109","20251204",""
"20251201","경의선","파주","1561","1247","20251204",""
"20251201","경의선","문산","5989","5543","20251204",""
"20251201","경의선","임진강","1","2","20251204",""
"20251201","경의선","운천","6","3","20251204",""
"20251201","경인선","개봉","24152","23810","20251204",""
"20251201","경인선","오류동","12428","11707","20251204",""
"20251201","경인선","역곡","29031","29043","20251204",""
"20251201","경인선","부천","33370","33042","20251204",""
"20251201","경인선","송내","28234","27702","20251204",""
"20251201","경인선","부평","29605","30783","20251204",""
"20251201","경인선","백운","7535","7225","20251204",""
"20251201","경인선","동암","15971","15963","20251204",""
"20251201","경인선","주안","20252","18363","20251204",""
"20251201","경인선","제물포","12551","12150","20251204",""
"20251201","경인선","동인천","14013","12956","20251204",""
"20251201","경인선","인천","3501","2750","20251204",""
"20251201","경인선","구일","7413","7496","20251204",""
"20251201","경인선","소사","8692","8311","20251204",""
"20251201","경인선","부개","9348","8752","20251204",""
"20251201","경인선","간석","6100","5741","20251204",""
"20251201","경인선","도원","3632","3616","20251204",""
"20251201","경인선","온수(성공회대입구)","7016","6662","20251204",""
"20251201","경인선","중동","9974","9275","20251204",""
"20251201","경인선","도화","4474","3969","20251204",""
"20251201","경춘선","신내","3244","3131","20251204",""
"20251201","경춘선","갈매","3062","2763","20251204",""
"20251201","경춘선","별내","2924","2556","20251204",""
"20251201","경춘선","퇴계원","3840","3544","20251204",""
"20251201","경춘선","사릉","2352","2261","20251204",""
"20251201","경춘선","금곡","1850","1871","20251204",""
"20251201","경춘선","평내호평","7106","6881","20251204",""
"20251201","경춘선","천마산","1806","1595","20251204",""
"20251201","경춘선","마석","4586","4371","20251204",""
"20251201","경춘선","대성리","491","457","20251204",""
"20251201","경춘선","청평","1798","1647","20251204",""
"20251201","경춘선","상천","228","195","20251204",""
"20251201","경춘선","가평","1799","1747","20251204",""
"20251201","경춘선","굴봉산","112","119","20251204",""
"20251201","경춘선","백양리","58","67","20251204",""
"20251201","경춘선","강촌","408","434","20251204",""
"20251201","경춘선","김유정","330","330","20251204",""
"20251201","경춘선","남춘천","2779","3223","20251204",""
"20251201","경춘선","춘천","1633","1751","20251204",""
"20251201","공항철도 1호선","서울역","13149","11673","20251204",""
"20251201","공항철도 1호선","공덕","3498","4364","20251204",""
"20251201","공항철도 1호선","홍대입구","13951","12945","20251204",""
"20251201","공항철도 1호선","디지털미디어시티","15856","14914","20251204",""
"20251201","공항철도 1호선","마곡나루(서울식물원)","15776","14799","20251204",""
"20251201","공항철도 1호선","김포공항","11419","5734","20251204",""
"20251201","공항철도 1호선","계양","9929","9952","20251204",""
"20251201","공항철도 1호선","검암","6740","6746","20251204",""
"20251201","공항철도 1호선","청라국제도시","8280","7778","20251204",""
"20251201","공항철도 1호선","운서","10756","10678","20251204",""
"20251201","공항철도 1호선","공항화물청사","2223","2331","20251204",""
"20251201","공항철도 1호선","인천공항1터미널","14672","14581","20251204",""
"20251201","공항철도 1호선","인천공항2터미널","8064","7328","20251204",""
"20251201","공항철도 1호선","영종","4853","4767","20251204",""
"20251201","과천선","선바위","8313","7332","20251204",""
"20251201","과천선","경마공원","843","790","20251204",""
"20251201","과천선","대공원","2199","2235","20251204",""
"20251201","과천선","과천","5760","5273","20251204",""
"20251201","과천선","정부과천청사","15201","16114","20251204",""
"20251201","과천선","인덕원","28265","29069","20251204",""
"20251201","과천선","평촌","20707","20194","20251204",""
"20251201","과천선","범계","30994","31202","20251204",""
"20251201","분당선","선릉","15275","22738","20251204",""
"20251201","분당선","한티","16040","17249","20251204",""
"20251201","분당선","도곡","8514","9106","20251204",""
"20251201","분당선","구룡","4058","4116","20251204",""
"20251201","분당선","개포동","4718","4948","20251204",""
"20251201","분당선","대모산입구","6518","6245","20251204",""
"20251201","분당선","수서","19026","19663","20251204",""
"20251201","분당선","수원","8431","7836","20251204",""
"20251201","분당선","서울숲","12543","13187","20251204",""
"20251201","분당선","압구정로데오","18583","19634","20251204",""
"20251201","분당선","강남구청","10753","12250","20251204",""
"20251201","분당선","선정릉","8148","8570","20251204",""
"20251201","분당선","가천대","13964","14284","20251204",""
"20251201","분당선","태평","14212","13837","20251204",""
"20251201","분당선","모란","20687","21202","20251204",""
"20251201","분당선","야탑","28019","29761","20251204",""
"20251201","분당선","서현","25136","25678","20251204",""
"20251201","분당선","수내","14642","14715","20251204",""
"20251201","분당선","정자","20716","21867","20251204",""
"20251201","분당선","미금","17134","17573","20251204",""
"20251201","분당선","오리","12092","10492","20251204",""
"20251201","분당선","이매","5893","5497","20251204",""
"20251201","분당선","보정","2764","2428","20251204",""
"20251201","분당선","죽전","15148","16913","20251204",""
"20251201","분당선","구성","8313","8255","20251204",""
"20251201","분당선","신갈","5631","5454","20251204",""
"20251201","분당선","기흥","12202","11734","20251204",""
"20251201","분당선","상갈","5528","5194","20251204",""
"20251201","분당선","청명","5263","5020","20251204",""
"20251201","분당선","영통","9818","10043","20251204",""
"20251201","분당선","망포","16804","16461","20251204",""
"20251201","분당선","매탄권선","6090","6054","20251204",""
"20251201","분당선","수원시청","15290","16281","20251204",""
"20251201","분당선","매교","6021","5992","20251204",""
"20251201","서해선","김포공항","3374","4933","20251204",""
"20251201","서해선","원종","5261","5119","20251204",""
"20251201","서해선","부천종합운동장","3340","2826","20251204",""
"20251201","수인선","고색","6777","6418","20251204",""
"20251201","수인선","오목천","5382","4809","20251204",""
"20251201","수인선","어천","1732","1659","20251204",""
"20251201","수인선","야목","789","659","20251204",""
"20251201","수인선","사리","5561","4839","20251204",""
"20251201","수인선","달월","110","72","20251204",""
"20251201","수인선","월곶","3101","2819","20251204",""
