역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,위도,경도
장승배기,7호선,1,1,415610,0,0,37.504898,126.93915
상도,7호선,1,2,774953,0,0,37.502834,126.94791
숭실대입구(살피재),7호선,1,1,359343,0,0,37.496029,126.953822
남성,7호선,1,3,450058,0,0,37.484596,126.971251
이수,7호선,1,1,28785,0,0,37.485196,126.981605
내방,7호선,1,1,671580,0,0,37.487618,126.993513
고속터미널,7호선,3,1,671580,0,0,37.503367,127.005068
반포,7호선,1,2,678272,0,0,37.508178,127.011727
논현,7호선,2,2,36576,0,0,37.511093,127.021415
학동,7호선,1,1,29884,0,0,37.514229,127.031656
강남구청,7호선,2,0,0,0,0,37.517179,127.041255
청담,7호선,1,3,399038,0,0,37.519365,127.05335
뚝섬유원지,7호선,1,0,0,0,1,37.53154,127.066704
건대입구,7호선,2,1,6999,0,0,37.540786,127.071011
어린이대공원(세종대),7호선,1,2,543093,0,0,37.548014,127.074658
군자(능동),7호선,2,3,1118924,0,0,37.556897,127.079338
중곡,7호선,1,3,133123,1,0,37.565923,127.08432
용마산,7호선,1,4,278908,1,0,37.573647,127.086727
사가정,7호선,1,2,83013,1,0,37.580894,127.088478
면목,7호선,1,0,0,0,0,37.588579,127.087503
상봉(시외버스터미널),7호선,2,0,0,0,0,37.595577,127.085716
중화,7호선,1,1,1018689,0,0,37.602545,127.079264
먹골,7호선,1,2,1551409,0,0,37.610637,127.077725
태릉입구,7호선,2,3,1571652,0,0,37.618294,127.075397
공릉(서울과학기술대),7호선,1,1,20243,0,0,37.625742,127.072896
하계,7호선,1,3,56069,0,0,37.636352,127.06799
중계,7호선,1,10,290085,0,0,37.644583,127.064303
노원,7호선,2,4,72381,0,0,37.654836,127.060462
마들,7호선,1,5,68106,1,0,37.66494,127.057675
수락산,7호선,1,2,13144,1,0,37.67785,127.055315
도봉산,7호선,2,1,51470,0,0,37.689241,127.046509
신내,6호선,2,1,1018689,0,0,37.613174,127.102231
봉화산(서울의료원),6호선,1,3,1065267,0,0,37.617283,127.091401
화랑대(서울여대입구),6호선,1,3,1065267,0,0,37.620064,127.084689
태릉입구,6호선,2,3,1571652,0,0,37.617338,127.074735
석계,6호선,2,2,552963,0,0,37.614872,127.065595
돌곶이,6호선,1,1,762642,0,0,37.610537,127.056431
상월곡(한국과학기술연구원),6호선,1,2,1021117,0,0,37.606377,127.048491
월곡(동덕여대),6호선,1,3,1177753,0,0,37.601948,127.041518
고려대(종암),6호선,1,3,547986,0,0,37.590508,127.036296
안암(고대병원앞),6호선,1,1,297926,0,0,37.586272,127.029005
보문,6호선,2,4,579153,0,0,37.585274,127.019351
창신,6호선,1,4,289631,0,0,37.579661,127.015241
동묘앞,6호선,2,3,255798,0,0,37.572279,127.015653
신당,6호선,2,1,8404,0,0,37.566154,127.016146
청구,6호선,2,2,96582,1,0,37.560608,127.013986
약수,6호선,2,2,96582,1,0,37.554263,127.010358
버티고개,6호선,1,2,96582,1,0,37.548013,127.007055
한강진,6호선,1,2,28314,1,0,37.539631,127.001725
이태원,6호선,1,2,28314,1,0,37.534488,126.994302
녹사평(용산구청),6호선,1,0,0,0,0,37.534675,126.986695
삼각지,6호선,2,0,0,0,0,37.535534,126.974032
효창공원앞,6호선,2,1,171277,0,0,37.539233,126.961384
공덕,6호선,4,1,171277,0,0,37.543555,126.951678
대흥(서강대앞),6호선,1,0,0,0,0,37.547771,126.942069
광흥창(서강),6호선,1,1,87432,0,0,37.547456,126.931993
상수,6호선,1,1,87432,0,0,37.547716,126.922852
합정,6호선,2,0,0,0,1,37.549209,126.913366
망원,6호선,1,0,0,0,0,37.556094,126.910052
마포구청,6호선,1,1,2284085,0,0,37.563515,126.903343
월드컵경기장(성산),6호선,1,2,2424107,0,0,37.569532,126.899298
디지털미디어시티,6호선,3,2,140022,1,0,37.576108,126.901391
증산(명지대앞),6호선,1,1,0,1,0,37.583876,126.909645
새절(신사),6호선,1,1,0,1,0,37.591148,126.913629
구산,6호선,1,0,0,0,0,37.611377,126.91727
연신내,6호선,3,1,130345,0,0,37.618636,126.920625
독바위,6호선,1,3,130345,2,0,37.618456,126.933031
불광,6호선,2,3,160250,1,0,37.610873,126.92939
역촌,6호선,1,1,29905,0,0,37.606021,126.922744
응암,6호선,1,0,0,0,0,37.598605,126.915577
강일,5호선,1,1,95753,0,0,37.55749,127.17593
마천,5호선,1,2,264926,0,0,37.49499,127.152781
거여,5호선,1,5,742477,0,0,37.493105,127.14415
개롱,5호선,1,9,1025925,0,0,37.498079,127.13482
오금,5호선,2,6,358553,0,0,37.502057,127.127938
방이,5호선,1,5,1784278,0,0,37.508857,127.126133
올림픽공원(한국체대),5호선,2,2,1593122,0,0,37.516201,127.130923
둔촌동,5호선,1,1,1513491,0,0,37.527788,127.136248
상일동,5호선,1,4,665841,0,0,37.556712,127.166417
고덕,5호선,1,9,667026,0,0,37.555004,127.154151
명일,5호선,1,3,65677,0,0,37.55137,127.143999
굽은다리(강동구민회관앞),5호선,1,1,11467,0,0,37.545477,127.142853
길동,5호선,1,0,0,0,0,37.537801,127.140004
강동,5호선,1,1,8921,0,0,37.535804,127.132481
천호(풍납토성),5호선,2,2,61899,0,1,37.53864,127.123308
광나루(장신대),5호선,1,0,0,0,0,37.545303,127.10357
아차산(어린이대공원후문),5호선,1,1,536094,0,0,37.551691,127.089761
군자(능동),5호선,2,3,1118924,0,0,37.557088,127.079577
장한평,5호선,1,3,631463,0,0,37.56144,127.064623
답십리,5호선,1,4,81996,0,0,37.566747,127.052704
마장,5호선,1,2,23197,0,0,37.5661,127.042973
왕십리(성동구청),5호선,3,0,0,0,0,37.56184,127.037059
행당,5호선,1,2,27973,0,0,37.557322,127.029476
신금호,5호선,1,2,110050,0,0,37.554548,127.020331
청구,5호선,2,2,96582,1,0,37.560276,127.013639
동대문역사문화공원,5호선,3,2,17928,1,0,37.564665,127.005353
을지로4가,5호선,2,3,235692,0,0,37.567352,126.998032
종로3가,5호선,3,6,931390,0,0,37.57254,126.990305
광화문(세종문화회관),5호선,1,7,630036,0,0,37.571525,126.97717
서대문,5호선,1,5,184518,1,0,37.565773,126.966641
충정로(경기대입구),5호선,2,3,46706,1,0,37.560236,126.9629
애오개,5호선,1,1,29682,0,0,37.553736,126.95682
공덕,5호선,4,1,171277,0,0,37.544431,126.951372
마포,5호선,1,0,0,0,0,37.539574,126.945932
여의나루,5호선,1,1,229539,0,1,37.527098,126.932901
여의도,5호선,2,2,246039,0,0,37.521747,126.924357
신길,5호선,2,3,297539,0,0,37.517623,126.914839
영등포시장,5호선,1,1,6456,0,0,37.522669,126.905139
영등포구청,5호선,2,2,36436,0,0,37.5242,126.89503
양평,5호선,1,1,11248,0,0,37.525569,126.886129
오목교(목동운동장앞),5호선,1,1,21411,0,0,37.524496,126.875181
목동,5호선,1,1,21411,0,0,37.526065,126.864931
신정(은행정),5호선,1,1,11997,0,0,37.524997,126.856191
까치산,5호선,1,2,942143,0,0,37.531768,126.846683
화곡,5호선,1,1,24953,0,0,37.541513,126.840461
우장산,5호선,1,1,359435,0,0,37.548768,126.836318
발산,5호선,1,3,525415,0,0,37.558598,126.837668
마곡,5호선,1,1,505351,0,0,37.560183,126.825448
송정,5호선,1,0,0,0,0,37.561184,126.811973
김포공항,5호선,5,0,0,0,0,37.562384,126.801292
개화산,5호선,1,1,72132,0,0,37.572399,126.806171
방화,5호선,1,3,261855,0,0,37.577446,126.812741
김포공항,서해선,5,0,0,0,0,37.5617,126.8041
도봉산,경원선,2,1,51470,0,0,37.689534,127.046049
도봉,경원선,1,0,0,0,0,37.679563,127.045595
방학,경원선,1,2,44899,0,0,37.667503,127.044273
선정릉,분당선,2,1,240593,0,0,37.510735,127.043677
강남구청,분당선,2,0,0,0,0,37.517469,127.041151
압구정로데오,분당선,1,1,29816,0,1,37.527381,127.040534
서울숲,분당선,1,2,486192,0,0,37.543617,127.044707
온수(성공회대입구),경인선,2,1,200956,0,0,37.492433,126.824086
구일,경인선,1,0,0,0,0,37.496756,126.870793
오류동,경인선,1,0,0,0,0,37.494526,126.845365
개봉,경인선,1,0,0,0,0,37.494594,126.85968
독산,경부선,1,2,213279,0,0,37.466613,126.889249
금천구청,경부선,1,1,195350,0,0,37.455626,126.89398
가산디지털단지,경부선,2,1,195350,0,0,37.481581,126.882581
구로,경부선,1,0,0,0,0,37.503039,126.881966
신내,경춘선,2,0,0,0,0,37.612887,127.103218
수색,경의중앙선,1,2,160349,1,0,37.580842,126.895611
디지털미디어시티,경의중앙선,3,2,140022,1,0,37.577475,126.900453
가좌,경의중앙선,1,2,137998,0,0,37.568491,126.915487
홍대입구,경의중앙선,3,1,87432,0,0,37.557641,126.926683
서강대,경의중앙선,1,2,92618,0,0,37.551881,126.935711
공덕,경의중앙선,4,1,171277,0,0,37.542596,126.952099
효창공원앞,경의중앙선,2,1,171277,0,0,37.538579,126.96221
신촌,경의중앙선,2,1,5186,0,0,37.559733,126.942597
서울역,경의중앙선,6,3,46706,1,0,37.557231,126.97103
양원,중앙선,1,3,210379,1,0,37.606596,127.107906
망우,중앙선,1,1,1018689,0,0,37.59955,127.091909
상봉(시외버스터미널),중앙선,2,1,1018689,0,0,37.596678,127.08504
중랑,중앙선,1,1,145785,0,0,37.594917,127.076116
신길,경부선,2,3,297539,0,0,37.516862,126.917865
수서,분당선,3,2,630145,0,0,37.487472,127.101422
대모산입구,분당선,1,9,486038,0,0,37.491373,127.07272
개포동,분당선,1,10,587333,0,0,37.489116,127.06614
구룡,분당선,1,10,583628,0,0,37.486839,127.058856
