역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도
광화문(세종문화회관),5호선,1,7,630036,0,0,67146,37.571525,126.97717
서대문,5호선,1,5,184518,1,0,36618,37.565773,126.966641
애오개,5호선,1,1,29682,0,0,12458,37.553736,126.95682
마포,5호선,1,0,0,0,0,27931,37.539574,126.945932
여의나루,5호선,1,1,229539,0,1,28341,37.527098,126.932901
영등포시장,5호선,1,1,6456,0,0,23494,37.522669,126.905139
양평,5호선,1,1,11248,0,0,21774,37.525569,126.886129
오목교(목동운동장앞),5호선,1,1,21411,0,0,41878,37.524496,126.875181
목동,5호선,1,1,21411,0,0,32884,37.526065,126.864931
신정(은행정),5호선,1,1,11997,0,0,23522,37.524997,126.856191
까치산,5호선,1,2,942143,0,0,52280,37.531768,126.846683
화곡,5호선,1,1,24953,0,0,52671,37.541513,126.840461
우장산,5호선,1,1,359435,0,0,28586,37.548768,126.836318
발산,5호선,1,3,525415,0,0,45062,37.558598,126.837668
마곡,5호선,1,1,505351,0,0,26114,37.560183,126.825448
송정,5호선,1,0,0,0,0,12078,37.561184,126.811973
개화산,5호선,1,1,72132,0,0,11387,37.572399,126.806171
방화,5호선,1,3,261855,0,0,13297,37.577446,126.812741
도봉,경원선,1,0,0,0,0,11094,37.679563,127.045595
방학,경원선,1,2,44899,0,0,19020,37.667503,127.044273
압구정로데오,분당선,1,1,29816,0,1,38255,37.527381,127.040534
서울숲,분당선,1,2,486192,0,0,24981,37.543617,127.044707
구일,경인선,1,0,0,0,0,16369,37.496756,126.870793
오류동,경인선,1,0,0,0,0,21389,37.494526,126.845365
개봉,경인선,1,0,0,0,0,42286,37.494594,126.85968
독산,경부선,1,2,213279,0,0,30958,37.466613,126.889249
금천구청,경부선,1,1,195350,0,0,20671,37.455626,126.89398
구로,경부선,1,0,0,0,0,33739,37.503039,126.881966
수색,경의중앙선,1,2,160349,1,0,6032,37.580842,126.895611
가좌,경의중앙선,1,2,137998,0,0,11251,37.568491,126.915487
서강대,경의중앙선,1,2,92618,0,0,4359,37.551881,126.935711
양원,중앙선,1,3,210379,1,0,5973,37.606596,127.107906
망우,중앙선,1,1,1018689,0,0,14736,37.59955,127.091909
중랑,중앙선,1,1,145785,0,0,10545,37.594917,127.076116
대모산입구,분당선,1,9,486038,0,0,10840,37.491373,127.07272
개포동,분당선,1,10,587333,0,0,8573,37.489116,127.06614
구룡,분당선,1,10,583628,0,0,6695,37.486839,127.058856
한티,분당선,1,3,290868,0,0,30935,37.496237,127.052873
녹천,경원선,1,5,774858,0,0,7729,37.644799,127.051269
월계,경원선,1,1,664905,0,0,12989,37.633212,127.058831
광운대,경원선,1,1,20243,0,0,16131,37.623632,127.061835
신이문,경원선,1,3,1441147,0,0,15319,37.601854,127.067325
외대앞,경원선,1,3,1174009,0,0,19822,37.596073,127.063549
회기,중앙선,1,2,422219,0,0,51281,37.58946,127.057583
응봉,경원선,1,2,1013714,0,0,3436,37.549946,127.034538
한남,경원선,1,1,28314,0,2,6806,37.52943,127.009169
서빙고,경원선,1,2,134252,0,1,4483,37.519594,126.988537
영등포,경부선,1,2,68000,0,0,83678,37.515504,126.907628
용산,경부선,1,0,0,0,0,89751,37.529849,126.964561
남영,경부선,1,1,171277,0,0,18560,37.541021,126.9713
남태령,4호선,1,2,0,2,0,2586,37.463873,126.989134
총신대입구(이수),4호선,1,1,28785,0,0,39393,37.486263,126.981989
신용산,4호선,1,0,0,0,0,42754,37.52917,126.967894
숙대입구(갈월),4호선,1,1,171277,0,0,29645,37.54456,126.972106
회현(남대문시장),4호선,1,4,90265,1,0,55293,37.558514,126.978246
명동,4호선,1,1,0,1,0,75353,37.560989,126.986325
혜화,4호선,1,6,925846,1,0,73187,37.582336,127.001844
한성대입구(삼선교),4호선,1,5,581161,1,0,28164,37.588458,127.006221
길음,4호선,1,1,297926,0,0,41446,37.603407,127.025053
미아사거리,4호선,1,2,1626998,0,0,50351,37.613292,127.030053
미아(서울사이버대학),4호선,1,1,1368523,0,0,30351,37.62667,127.025983
수유(강북구청),4호선,1,2,1416840,0,0,66513,37.638052,127.025732
쌍문,4호선,1,2,376335,0,0,54359,37.648627,127.034709
창동,4호선,1,2,32825,0,0,53907,37.653088,127.047274
상계,4호선,1,4,28585,2,0,36697,37.660878,127.073572
