역사명,호선,공원수,공원면적합산(㎡),도시자연공원수,공원목록,한강공원수,한강공원면적합산(㎡),한강공원목록
문정,8호선,4,44780,0,"건너말, 문정동근린공원, 연화, 탄천",0,0,없음
가락시장,8호선,4,44833,0,"가락, 건너말, 숯내, 훼밀리",0,0,없음
송파,8호선,3,22557,0,"동산, 송이, 송파",0,0,없음
석촌,8호선,4,322792,0,"동산, 백제초기적석총, 송파, 송파나루근린공원",0,0,없음
잠실(송파구청),8호선,4,242499,0,"방이, 벚꽃, 송파나루근린공원, 신천교통",0,0,없음
몽촌토성(평화의문),8호선,3,440565,0,"방이, 송파나루근린공원, 올림픽공원",0,0,없음
강동구청,8호선,4,183234,0,"성내, 올림픽공원, 태양, 풍납",0,0,없음
천호(풍납토성),8호선,2,55336,0,"천호, 풍납",1,40166,광나루지구
암사,8호선,1,26900,0,천호,1,167582,광나루지구
암사역사공원,8호선,1,2,0,샛마을,0,0,없음
온수(성공회대입구),7호선,1,5776,0,푸른수목원,0,0,없음
천왕,7호선,0,0,0,없음,0,0,없음
가산디지털단지,7호선,1,45431,0,금천한내(안양천,0,0,없음
남구로,7호선,0,0,0,없음,0,0,없음
대림(구로구청),7호선,2,16702,0,"구로, 대림",0,0,없음
신풍,7호선,3,31667,0,"메낙골, 보라매, 신길",0,0,없음
보라매,7호선,3,235871,0,"노량진<시공원>, 메낙골, 보라매",0,0,없음
신대방삼거리,7호선,2,171969,0,"노량진<시공원>, 보라매",0,0,없음
장승배기,7호선,1,85192,0,노량진<시공원>,0,0,없음
상도,7호선,2,89612,0,"노량진<시공원>, 상도<시공원>",0,0,없음
숭실대입구(살피재),7호선,1,209977,0,상도<시공원>,0,0,없음
남성,7호선,3,385931,0,"(까치산, 3.1, 까치산<시공원>",0,0,없음
이수,7호선,1,28131,0,3.1,0,0,없음
내방,7호선,1,262030,0,서리풀<시공원>,0,0,없음
고속터미널,7호선,1,178015,0,서리풀<시공원>,0,0,없음
반포,7호선,2,17297,0,"서리풀<시공원>, 신동",0,0,없음
논현,7호선,2,36576,0,"신동, 학동",0,0,없음
학동,7호선,1,29884,0,학동,0,0,없음
강남구청,7호선,0,0,0,없음,0,0,없음
청담,7호선,3,146655,0,"봉은, 청담, 청수",0,0,없음
뚝섬유원지,7호선,0,0,0,없음,1,242271,(뚝섬지구
건대입구,7호선,1,2225,0,광진광장,0,0,없음
어린이대공원(세종대),7호선,2,406596,0,"광진광장, 어린이대공원",0,0,없음
군자(능동),7호선,3,205808,0,"어린이대공원, 중랑천, 중랑천둔치",0,0,없음
중곡,7호선,3,37389,1,"용마<시공원>, 용마폭포공원, 중랑천둔치",0,0,없음
용마산,7호선,4,120834,1,"용마<시공원>, 용마폭포공원, 중랑천둔치, 중랑천변",0,0,없음
사가정,7호선,2,31294,1,"용마<시공원>, 용마폭포공원",0,0,없음
면목,7호선,0,0,0,없음,0,0,없음
상봉(시외버스터미널),7호선,0,0,0,없음,0,0,없음
중화,7호선,1,195927,0,봉화산<시공원>,0,0,없음
먹골,7호선,2,377160,0,"봉화산<시공원>, 중랑천",0,0,없음
태릉입구,7호선,3,38540,0,"봉화산<시공원>, 중랑천, 한내",0,0,없음
공릉(서울과학기술대),7호선,1,20243,0,한내,0,0,없음
하계,7호선,3,56069,0,"골마을, 등나무, 중계",0,0,없음
중계,7호선,10,192974,0,"가재울, 노해, 느티울, 달맞이, 당현천, 등나무, 마들, 원터, 중계, 한글비",0,0,없음
노원,7호선,4,38657,0,"느티울, 당현천, 온수, 원터",0,0,없음
마들,7호선,5,47731,1,"갈말, 갈울, 상계, 수락산<시공원>, 온수",0,0,없음
수락산,7호선,2,13144,1,"벽운, 수락산<시공원>",0,0,없음
도봉산,7호선,1,61674,0,서울창포원,0,0,없음
신내,6호선,1,8414,0,봉화산<시공원>,0,0,없음
봉화산(서울의료원),6호선,3,348166,0,"공릉동, 봉화산<시공원>, 솔밭",0,0,없음
화랑대(서울여대입구),6호선,3,150434,0,"공릉동, 봉화산<시공원>, 솔밭",0,0,없음
태릉입구,6호선,3,44013,0,"봉화산<시공원>, 중랑천, 한내",0,0,없음
석계,6호선,2,32005,0,"중랑천, 한내",0,0,없음
돌곶이,6호선,1,223407,0,청량<시공원>,0,0,없음
상월곡(한국과학기술연구원),6호선,2,681743,0,"(오동, 청량<시공원>",0,0,없음
월곡(동덕여대),6호선,3,384508,0,"(오동, (청량, 청량<시공원>",0,0,없음
고려대(종암),6호선,3,132818,0,"(청량, 개운산<시공원>, 홍릉<시공원>",0,0,없음
안암(고대병원앞),6호선,1,48810,0,개운산<시공원>,0,0,없음
보문,6호선,4,16751,0,"(낙산, 개운산<시공원>, 낙산, 숭인",0,0,없음
창신,6호선,4,183179,0,"(낙산, 낙산, 동묘, 숭인",0,0,없음
동묘앞,6호선,3,71246,0,"낙산, 동묘, 숭인",0,0,없음
신당,6호선,1,5812,0,동묘,0,0,없음
청구,6호선,2,1030,1,"남산, 응봉공원",0,0,없음
약수,6호선,2,96582,1,"남산, 응봉공원",0,0,없음
버티고개,6호선,2,38998,1,"남산, 응봉공원",0,0,없음
한강진,6호선,2,28314,1,"남산, 한남",0,0,없음
이태원,6호선,2,3678,1,"남산, 한남",0,0,없음
녹사평(용산구청),6호선,0,0,0,없음,0,0,없음
삼각지,6호선,0,0,0,없음,0,0,없음
효창공원앞,6호선,1,153775,0,효창<시공원>,0,0,없음
공덕,6호선,1,59983,0,효창<시공원>,0,0,없음
대흥(서강대앞),6호선,0,0,0,없음,0,0,없음
광흥창(서강),6호선,1,91578,0,와우근린공원,0,0,없음
상수,6호선,1,72407,0,와우근린공원,0,0,없음
합정,6호선,0,0,0,없음,1,23541,망원지구
망원,6호선,0,0,0,없음,0,0,없음
마포구청,6호선,1,176418,0,월드컵,0,0,없음
월드컵경기장(성산),6호선,2,327082,0,"문화비축기지, 월드컵",0,0,없음
디지털미디어시티,6호선,2,17192,1,"문화비축기지, 봉산<시공원>",0,0,없음
증산(명지대앞),6호선,1,0,1,봉산<시공원>,0,0,없음
새절(신사),6호선,1,0,1,봉산<시공원>,0,0,없음
구산,6호선,0,0,0,없음,0,0,없음
연신내,6호선,1,43119,0,불광<시공원>,0,0,없음
독바위,6호선,3,132133,2,"(북한산, 북한산(시공원, 불광<시공원>",0,0,없음
불광,6호선,3,68430,1,"(북한산, 녹번서, 불광<시공원>",0,0,없음
역촌,6호선,1,29905,0,녹번서,0,0,없음
응암,6호선,0,0,0,없음,0,0,없음
강일,5호선,1,35098,0,동명,0,0,없음
마천,5호선,2,101445,0,"성내천, 천마<시공원>",0,0,없음
거여,5호선,5,435610,0,"거여, 목련, 문정동근린공원, 성내천, 장지<시공원>",0,0,없음
개롱,5호선,9,408278,0,"개농, 거여, 누에머리, 두댐이, 목련, 문정동근린공원, 성내천, 오금<시공원>, 장지<시공원>",0,0,없음
오금,5호선,6,273186,0,"가락, 백토, 성내천, 송이, 오금<시공원>, 웃말",0,0,없음
방이,5호선,5,297859,0,"방이동고분, 백토, 오금<시공원>, 올림픽공원, 웃말",0,0,없음
올림픽공원(한국체대),5호선,2,780367,0,"성내천, 올림픽공원",0,0,없음
둔촌동,5호선,1,13036,0,올림픽공원,0,0,없음
상일동,5호선,4,492450,0,"동명, 명일<시공원>, 방죽, 샘터",0,0,없음
고덕,5호선,9,479210,0,"까치, 동자, 두레, 명일<시공원>, 방죽, 샘터, 샛마을, 송림, 원터",0,0,없음
명일,5호선,3,57933,0,"까치, 샛마을, 원터",0,0,없음
굽은다리(강동구민회관앞),5호선,1,16459,0,샛마을,0,0,없음
길동,5호선,0,0,0,없음,0,0,없음
강동,5호선,1,447,0,성내,0,0,없음
천호(풍납토성),5호선,2,61896,0,"천호, 풍납",1,58759,광나루지구
광나루(장신대),5호선,0,0,0,없음,0,0,없음
아차산(어린이대공원후문),5호선,1,297102,0,어린이대공원,0,0,없음
군자(능동),5호선,3,190404,0,"어린이대공원, 중랑천, 중랑천둔치",0,0,없음
장한평,5호선,3,95935,0,"전농천, 중랑천, 중랑천둔치",0,0,없음
답십리,5호선,4,51051,0,"간데메, 용답꽃공원, 용답휴식, 전농천",0,0,없음
마장,5호선,2,8061,0,"용답휴식, 용두근린공원",0,0,없음
왕십리(성동구청),5호선,0,0,0,없음,0,0,없음
행당,5호선,2,27973,0,"(무학봉, 무학봉",0,0,없음
신금호,5호선,2,92181,0,"금호, 응봉공원",0,0,없음
청구,5호선,2,3686,1,"남산, 응봉공원",0,0,없음
동대문역사문화공원,5호선,2,16950,1,"남산, 훈련원",0,0,없음
을지로4가,5호선,3,108821,0,"종묘, 종묘광장, 훈련원",0,0,없음
종로3가,5호선,6,375932,0,"원서, 종묘, 종묘광장, 창경, 창덕, 탑골",0,0,없음
광화문(세종문화회관),5호선,7,295490,0,"경복, 경희궁<시공원>, 광화문열린마당, 덕수, 서울광장, 세종로광장, 정동",0,0,없음
서대문,5호선,5,168519,1,"경희궁<시공원>, 덕수, 서소문역사공원, 안산<시공원>, 정동",0,0,없음
충정로(경기대입구),5호선,3,46638,1,"서소문역사공원, 손기정체육공원, 안산<시공원>",0,0,없음
애오개,5호선,1,17302,0,손기정체육공원,0,0,없음
공덕,5호선,1,53834,0,효창<시공원>,0,0,없음
마포,5호선,0,0,0,없음,0,0,없음
여의나루,5호선,1,84418,0,여의도,1,278231,여의도지구
여의도,5호선,2,213704,0,"여의도, 자매",0,0,없음
신길,5호선,3,111864,0,"여의도, 영등포, 중마루",0,0,없음
영등포시장,5호선,1,6014,0,중마루,0,0,없음
영등포구청,5호선,2,23018,0,"당산, 문래",0,0,없음
양평,5호선,1,302,0,당산,0,0,없음
오목교(목동운동장앞),5호선,1,21411,0,오목,0,0,없음
목동,5호선,1,15443,0,오목,0,0,없음
신정(은행정),5호선,1,6073,0,장수공원,0,0,없음
까치산,5호선,2,45235,0,"까치산, 봉제산<시공원>",0,0,없음
화곡,5호선,1,21076,0,까치산,0,0,없음
우장산,5호선,1,15777,0,우장산근린공원,0,0,없음
발산,5호선,3,34829,0,"등촌, 서울식물원, 원당",0,0,없음
마곡,5호선,1,87635,0,서울식물원,0,0,없음
송정,5호선,0,0,0,없음,0,0,없음
김포공항,5호선,0,0,0,없음,0,0,없음
개화산,5호선,1,2849,0,방화,0,0,없음
방화,5호선,3,316895,0,"꿩고개<시공원>, 방화, 옹기골",0,0,없음
김포공항,서해선,0,0,0,없음,0,0,없음
도봉산,경원선,1,61674,0,서울창포원,0,0,없음
도봉,경원선,0,0,0,없음,0,0,없음
방학,경원선,2,44899,0,"방학사거리친수공간, 상계",0,0,없음
선정릉,분당선,1,219711,0,선·정릉,0,0,없음
강남구청,분당선,0,0,0,없음,0,0,없음
압구정로데오,분당선,1,29816,0,도산,1,23383,잠실지구
서울숲,분당선,2,652153,0,"서울숲, 성수",0,0,없음
온수(성공회대입구),경인선,1,2507,0,푸른수목원,0,0,없음
구일,경인선,0,0,0,없음,0,0,없음
오류동,경인선,0,0,0,없음,0,0,없음
개봉,경인선,0,0,0,없음,0,0,없음
독산,경부선,2,63042,0,"금천한내(안양천, 독산",0,0,없음
금천구청,경부선,1,46900,0,금천한내(안양천,0,0,없음
가산디지털단지,경부선,1,41726,0,금천한내(안양천,0,0,없음
구로,경부선,0,0,0,없음,0,0,없음
신내,경춘선,0,0,0,없음,0,0,없음
수색,경의중앙선,2,16,1,"봉산<시공원>, 상암<시공원>",0,0,없음
디지털미디어시티,경의중앙선,2,5693,1,"문화비축기지, 봉산<시공원>",0,0,없음
가좌,경의중앙선,2,85099,0,"궁동, 궁동<시공원>",0,0,없음
홍대입구,경의중앙선,1,66196,0,와우근린공원,0,0,없음
서강대,경의중앙선,2,82480,0,"와우근린공원, 창천",0,0,없음
공덕,경의중앙선,1,65879,0,효창<시공원>,0,0,없음
효창공원앞,경의중앙선,1,127363,0,효창<시공원>,0,0,없음
신촌,경의중앙선,1,5186,0,창천,0,0,없음
서울역,경의중앙선,3,46638,1,"남산, 서소문역사공원, 손기정체육공원",0,0,없음
양원,중앙선,3,219981,1,"나들이공원, 용마<시공원>, 중랑캠핑숲",0,0,없음
망우,중앙선,1,112621,0,봉화산<시공원>,0,0,없음
상봉(시외버스터미널),중앙선,1,5237,0,봉화산<시공원>,0,0,없음
중랑,중앙선,1,31259,0,중랑천변,0,0,없음
신길,경부선,3,111797,0,"여의도, 영등포, 중마루",0,0,없음
수서,분당선,2,184457,0,"숯내, 탄천",0,0,없음
대모산입구,분당선,9,130048,0,"개포동, 개포서, 늘푸른, 달터<시공원>, 대진, 대치, 배밭, 양재천, 학여울",0,0,없음
개포동,분당선,10,323109,0,"개포, 개포동, 개포서, 늘벚, 달터<시공원>, 대치, 배밭, 양재천, 학여울, 한티",0,0,없음
구룡,분당선,10,280088,0,"개포, 개포동, 개포서, 늘벚, 달터<시공원>, 배밭, 양재천, 청룡, 포이, 학여울",0,0,없음
도곡,분당선,8,290829,0,"개포서, 늘벚, 달터<시공원>, 도곡근린공원, 배밭, 양재천, 청룡, 한티",0,0,없음
한티,분당선,3,87122,0,"늘벚, 도곡근린공원, 한티",0,0,없음
선릉,분당선,1,240593,0,선·정릉,0,0,없음
녹천,경원선,5,489720,0,"느티울, 마들, 월천, 초안산<시공원>, 초안산생태공원",0,0,없음
월계,경원선,1,345699,0,초안산<시공원>,0,0,없음
광운대,경원선,1,18763,0,한내,0,0,없음
석계,경원선,2,33169,0,"중랑천, 한내",0,0,없음
신이문,경원선,3,66378,0,"중랑천, 중랑천변, 청량<시공원>",0,0,없음
외대앞,경원선,3,42283,0,"배봉산<시공원>, 중랑천변, 청량<시공원>",0,0,없음
회기,중앙선,2,40686,0,"(청량, 배봉산<시공원>",0,0,없음
청량리(서울시립대입구),경원선,1,3692,0,간데메,0,0,없음
왕십리(성동구청),경원선,0,0,0,없음,0,0,없음
응봉,경원선,2,535094,0,"서울숲, 중랑천",0,0,없음
옥수,경원선,1,0,1,남산,1,66671,뚝섬지구
한남,경원선,1,25286,0,한남,2,28756,"잠실지구, 잠원지구"
서빙고,경원선,2,177830,0,"동빙고, 용산가족공원",1,91391,이촌지구
이촌(국립중앙박물관),경원선,1,14916,0,용산가족공원,1,147855,이촌지구
신도림,경부선,1,4229,0,문래,0,0,없음
영등포,경부선,2,67703,0,"영등포, 중마루",0,0,없음
대방,경부선,2,122083,0,"노량진<시공원>, 자매",0,0,없음
노량진,경부선,2,42983,0,"노량진<시공원>, 사육신공원",1,72791,여의도지구
용산,경부선,0,0,0,없음,0,0,없음
남영,경부선,1,5688,0,효창<시공원>,0,0,없음
서울역,경부선,3,44429,1,"남산, 서소문역사공원, 손기정체육공원",0,0,없음
남태령,4호선,2,0,2,"관악산<시공원>, 우면산<시공원>",0,0,없음
사당,4호선,2,0,2,"관악산<시공원>, 우면산<시공원>",0,0,없음
총신대입구(이수),4호선,1,27786,0,3.1,0,0,없음
동작(현충원),4호선,1,41956,0,동작주차,1,66295,잠원지구
이촌(국립중앙박물관),4호선,2,61543,0,"동빙고, 용산가족공원",1,140163,이촌지구
신용산,4호선,0,0,0,없음,0,0,없음
삼각지,4호선,0,0,0,없음,0,0,없음
숙대입구(갈월),4호선,1,9940,0,효창<시공원>,0,0,없음
서울역,4호선,3,27534,1,"남산, 서소문역사공원, 손기정체육공원",0,0,없음
회현(남대문시장),4호선,4,25628,1,"남산, 덕수, 서소문역사공원, 서울광장",0,0,없음
명동,4호선,1,0,1,남산,0,0,없음
충무로,4호선,1,0,1,남산,0,0,없음
동대문역사문화공원,4호선,3,17860,1,"낙산, 남산, 훈련원",0,0,없음
동대문,4호선,3,44903,0,"낙산, 동묘, 훈련원",0,0,없음
혜화,4호선,6,400092,1,"(낙산, (북한산, 낙산, 마로니에, 창경, 창덕",0,0,없음
한성대입구(삼선교),4호선,5,91532,1,"(낙산, (북한산, 낙산, 성북<시공원>, 와룡<시공원>",0,0,없음
성신여대입구(돈암),4호선,2,65451,0,"개운산<시공원>, 성북<시공원>",0,0,없음
길음,4호선,1,126738,0,개운산<시공원>,0,0,없음
미아사거리,4호선,2,9360,0,"(오동, 오동<시공원>",0,0,없음
미아(서울사이버대학),4호선,1,301259,0,오동<시공원>,0,0,없음
수유(강북구청),4호선,2,73794,0,"오동<시공원>, 우이천",0,0,없음
쌍문,4호선,2,128143,0,"쌍문<시공원>, 우이천",0,0,없음
창동,4호선,2,70909,0,"월천, 초안산생태공원",0,0,없음
노원,4호선,2,28061,0,"온수, 원터",0,0,없음
상계,4호선,4,16554,2,"불암산<시공원>, 삿갓봉, 수락산<시공원>, 온수",0,0,없음
불암산,4호선,2,0,2,"불암산<시공원>, 수락산<시공원>",0,0,없음
오금,3호선,6,278550,0,"가락, 백토, 성내천, 송이, 오금<시공원>, 웃말",0,0,없음
경찰병원,3호선,7,99348,0,"가락, 개농, 건너말, 두댐이, 송이, 오금<시공원>, 웃말",0,0,없음
가락시장,3호선,4,34891,0,"가락, 건너말, 숯내, 훼밀리",0,0,없음
수서,3호선,2,186471,0,"숯내, 탄천",0,0,없음
일원,3호선,1,12878,0,한솔,0,0,없음
대청,3호선,7,132402,0,"늘푸른, 대진, 대청, 대치, 양재천, 탄천, 학여울",0,0,없음
학여울,3호선,7,142346,0,"개포동, 대진, 대치, 양재천, 탄천, 학여울, 한티",0,0,없음
대치,3호선,9,148763,0,"개포동, 개포서, 늘벚, 달터<시공원>, 대치, 배밭, 양재천, 학여울, 한티",0,0,없음
도곡,3호선,8,295503,0,"개포서, 늘벚, 달터<시공원>, 도곡근린공원, 배밭, 양재천, 청룡, 한티",0,0,없음
매봉,3호선,6,404193,0,"달터<시공원>, 도곡근린공원, 독골, 양재천, 청룡, 포이",0,0,없음
양재(서초구청),3호선,2,20156,1,"도곡근린공원, 우면산<시공원>",0,0,없음
남부터미널(예술의전당),3호선,1,0,1,우면산<시공원>,0,0,없음
교대(법원.검찰청),3호선,1,92182,0,서리풀<시공원>,0,0,없음
고속터미널,3호선,1,69564,0,서리풀<시공원>,0,0,없음
잠원,3호선,2,12791,0,"명주, 신동",1,170341,잠원지구
신사,3호선,3,42675,0,"명주, 신동, 학동",0,0,없음
