역사명,호선1,호선2,호선3,호선4,호선5
사평,9호선,,,,
고속터미널,9호선,7호선,3호선,,
신반포,9호선,,,,
구반포,9호선,,,,
동작(현충원),9호선,4호선,,,
흑석(중앙대입구),9호선,,,,
노들,9호선,,,,
노량진,9호선,경부선,,,
여의도,9호선,5호선,,,
국회의사당,9호선,,,,
당산,9호선,2호선,,,
선유도,9호선,,,,
신목동,9호선,,,,
염창,9호선,,,,
등촌,9호선,,,,
증미,9호선,,,,
가양,9호선,,,,
양천향교,9호선,,,,
신방화,9호선,,,,
공항시장,9호선,,,,
개화,9호선,,,,
석남(거북시장),7호선,인천2호선,,,
산곡,7호선,,,,
부평구청,7호선(인천),인천1호선,7호선,,
굴포천,7호선(인천),7호선,,,
삼산체육관,7호선(인천),7호선,,,
상동,7호선(인천),7호선,,,
부천시청,7호선(인천),7호선,,,
신중동,7호선(인천),7호선,,,
춘의,7호선(인천),7호선,,,
부천종합운동장,7호선(인천),7호선,서해선,,
까치울,7호선(인천),7호선,,,
운연(서창),인천2호선,,,,
인천대공원,인천2호선,,,,
남동구청,인천2호선,,,,
만수,인천2호선,,,,
모래내시장,인천2호선,,,,
석천사거리,인천2호선,,,,
인천시청,인천2호선,인천1호선,,,
석바위시장,인천2호선,,,,
시민공원(문화창작지대),인천2호선,,,,
주안,인천2호선,경인선,,,
주안국가산단,인천2호선,,,,
가재울,인천2호선,,,,
인천가좌,인천2호선,,,,
서부여성회관,인천2호선,,,,
가정중앙시장,인천2호선,,,,
가정(루원시티),인천2호선,,,,
서구청,인천2호선,,,,
아시아드경기장(공촌사거리),인천2호선,,,,
검바위,인천2호선,,,,
독정,인천2호선,,,,
완정,인천2호선,,,,
마전,인천2호선,,,,
검단사거리,인천2호선,,,,
왕길,인천2호선,,,,
검단오류(검단산업단지),인천2호선,,,,
송도달빛축제공원,인천1호선,,,,
국제업무지구,인천1호선,,,,
센트럴파크,인천1호선,,,,
인천대입구,인천1호선,,,,
지식정보단지,인천1호선,,,,
테크노파크,인천1호선,,,,
캠퍼스타운,인천1호선,,,,
동막,인천1호선,,,,
동춘,인천1호선,,,,
원인재,인천1호선,수인선,,,
신연수,인천1호선,,,,
선학,인천1호선,,,,
문학경기장,인천1호선,,,,
인천터미널,인천1호선,,,,
예술회관,인천1호선,,,,
간석오거리,인천1호선,,,,
부평삼거리,인천1호선,,,,
동수,인천1호선,,,,
부평,인천1호선,경인선,,,
부평시장,인천1호선,,,,
갈산,인천1호선,,,,
작전,인천1호선,,,,
경인교대입구,인천1호선,,,,
계산,인천1호선,,,,
임학,인천1호선,,,,
박촌,인천1호선,,,,
귤현,인천1호선,,,,
아라(북부법원?검찰청),인천1호선,,,,
신검단중앙,인천1호선,,,,
검단호수공원,인천1호선,,,,
남위례,8호선,,,,
모란,8호선,분당선,,,
수진,8호선,,,,
신흥,8호선,,,,
단대오거리,8호선,,,,
남한산성입구(성남법원.검찰청),8호선,,,,
산성,8호선,,,,
복정,8호선,,,,
장지,8호선,,,,
문정,8호선,,,,
가락시장,8호선,3호선,,,
송파,8호선,,,,
잠실(송파구청),8호선,2호선,,,
몽촌토성(평화의문),8호선,,,,
강동구청,8호선,,,,
천호(풍납토성),8호선,5호선,,,
암사,8호선,,,,
암사역사공원,8호선,,,,
장자호수공원,별내선,,,,
구리,별내선,중앙선,,,
동구릉,별내선,,,,
다산,별내선,,,,
별내,별내선,경춘선,,,
온수(성공회대입구),7호선,경인선,,,
천왕,7호선,,,,
광명사거리,7호선,,,,
철산,7호선,,,,
가산디지털단지,7호선,경부선,,,
남구로,7호선,,,,
대림(구로구청),7호선,2호선,,,
신풍,7호선,,,,
신대방삼거리,7호선,,,,
장승배기,7호선,,,,
상도,7호선,,,,
숭실대입구(살피재),7호선,,,,
남성,7호선,,,,
이수,7호선,,,,
내방,7호선,,,,
반포,7호선,,,,
학동,7호선,,,,
강남구청,7호선,분당선,,,
청담,7호선,,,,
뚝섬유원지,7호선,,,,
건대입구,7호선,2호선,,,
어린이대공원(세종대),7호선,,,,
군자(능동),7호선,5호선,,,
중곡,7호선,,,,
용마산,7호선,,,,
사가정,7호선,,,,
면목,7호선,,,,
상봉(시외버스터미널),7호선,중앙선,,,
중화,7호선,,,,
먹골,7호선,,,,
태릉입구,7호선,6호선,,,
공릉(서울과학기술대),7호선,,,,
하계,7호선,,,,
중계,7호선,,,,
노원,7호선,4호선,,,
마들,7호선,,,,
수락산,7호선,,,,
도봉산,7호선,경원선,,,
장암,7호선,,,,
신내,6호선,경춘선,,,
봉화산(서울의료원),6호선,,,,
화랑대(서울여대입구),6호선,,,,
석계,6호선,경원선,,,
돌곶이,6호선,,,,
상월곡(한국과학기술연구원),6호선,,,,
월곡(동덕여대),6호선,,,,
고려대(종암),6호선,,,,
안암(고대병원앞),6호선,,,,
창신,6호선,,,,
동묘앞,6호선,1호선,,,
신당,6호선,2호선,,,
청구,6호선,5호선,,,
약수,6호선,3호선,,,
버티고개,6호선,,,,
한강진,6호선,,,,
이태원,6호선,,,,
녹사평(용산구청),6호선,,,,
삼각지,6호선,4호선,,,
효창공원앞,6호선,경의중앙선,,,
대흥(서강대앞),6호선,,,,
광흥창(서강),6호선,,,,
상수,6호선,,,,
합정,6호선,2호선,,,
망원,6호선,,,,
마포구청,6호선,,,,
월드컵경기장(성산),6호선,,,,
증산(명지대앞),6호선,,,,
새절(신사),6호선,,,,
구산,6호선,,,,
독바위,6호선,,,,
불광,6호선,3호선,,,
역촌,6호선,,,,
응암,6호선,,,,
하남검단산,5호선,,,,
하남시청(덕풍-신장),5호선,,,,
하남풍산,5호선,,,,
미사,5호선,,,,
강일,5호선,,,,
마천,5호선,,,,
거여,5호선,,,,
개롱,5호선,,,,
오금,5호선,3호선,,,
방이,5호선,,,,
둔촌동,5호선,,,,
상일동,5호선,,,,
고덕,5호선,,,,
명일,5호선,,,,
굽은다리(강동구민회관앞),5호선,,,,
길동,5호선,,,,
강동,5호선,,,,
광나루(장신대),5호선,,,,
아차산(어린이대공원후문),5호선,,,,
장한평,5호선,,,,
답십리,5호선,,,,
마장,5호선,,,,
왕십리(성동구청),5호선,경원선,2호선,,
행당,5호선,,,,
신금호,5호선,,,,
동대문역사문화공원,5호선,4호선,2호선,,
을지로4가,5호선,2호선,,,
종로3가,5호선,3호선,1호선,,
광화문(세종문화회관),5호선,,,,
서대문,5호선,,,,
충정로(경기대입구),5호선,2호선,,,
애오개,5호선,,,,
마포,5호선,,,,
여의나루,5호선,,,,
신길,5호선,경부선,,,
영등포시장,5호선,,,,
영등포구청,5호선,2호선,,,
양평,5호선,중앙선,,,
오목교(목동운동장앞),5호선,,,,
목동,5호선,,,,
신정(은행정),5호선,,,,
까치산,5호선,,,,
화곡,5호선,,,,
우장산,5호선,,,,
발산,5호선,,,,
마곡,5호선,,,,
송정,5호선,,,,
개화산,5호선,,,,
방화,5호선,,,,
원종,서해선,,,,
대화,일산선,,,,
주엽,일산선,,,,
정발산,일산선,,,,
마두,일산선,,,,
백석,일산선,,,,
화정,일산선,,,,
원당,일산선,,,,
삼송,일산선,,,,
지축,일산선,3호선,,,
원흥,일산선,,,,
연천,경원선,,,,
전곡,경원선,,,,
청산,경원선,,,,
소요산,경원선,,,,
동두천,경원선,,,,
보산,경원선,,,,
동두천중앙,경원선,,,,
지행,경원선,,,,
덕정,경원선,,,,
덕계,경원선,,,,
양주,경원선,,,,
녹양,경원선,,,,
가능,경원선,,,,
의정부,경원선,,,,
망월사,경원선,,,,
도봉,경원선,,,,
방학,경원선,,,,
인천,수인선,경인선,,,
신포,수인선,,,,
숭의,수인선,,,,
인하대,수인선,,,,
송도,수인선,,,,
연수,수인선,,,,
남동인더스파크,수인선,,,,
호구포,수인선,,,,
인천논현,수인선,,,,
소래포구,수인선,,,,
월곶,수인선,,,,
달월,수인선,,,,
사리,수인선,,,,
야목,수인선,,,,
어천,수인선,,,,
오목천,수인선,,,,
고색,수인선,,,,
매교,분당선,,,,
수원시청,분당선,,,,
매탄권선,분당선,,,,
망포,분당선,,,,
영통,분당선,,,,
청명,분당선,,,,
상갈,분당선,,,,
신갈,분당선,,,,
죽전,분당선,,,,
보정,분당선,,,,
이매,분당선,경강선,,,
오리,분당선,,,,
수내,분당선,,,,
서현,분당선,,,,
야탑,분당선,,,,
태평,분당선,,,,
가천대,분당선,,,,
압구정로데오,분당선,,,,
서울숲,분당선,,,,
수원,분당선,경부선,,,
도화,경인선,,,,
중동,경인선,,,,
도원,경인선,,,,
간석,경인선,,,,
부개,경인선,,,,
구일,경인선,,,,
동인천,경인선,,,,
제물포,경인선,,,,
동암,경인선,,,,
백운,경인선,,,,
송내,경인선,,,,
부천,경인선,,,,
역곡,경인선,,,,
오류동,경인선,,,,
개봉,경인선,,,,
수리산,안산선,,,,
오이도,안산선,,,,
정왕,안산선,,,,
신길온천,안산선,,,,
안산,안산선,,,,
고잔,안산선,,,,
중앙,안산선,,,,
한대앞,안산선,,,,
상록수,안산선,,,,
반월,안산선,,,,
대야미,안산선,,,,
산본,안산선,,,,
광명,경부선,,,,
서동탄,경부선,,,,
당정,경부선,,,,
천안,경부선,,,,
두정,경부선,,,,
직산,경부선,,,,
성환,경부선,,,,
평택,경부선,,,,
지제,경부선,,,,
서정리,경부선,,,,
송탄,경부선,,,,
진위,경부선,,,,
오산,경부선,,,,
오산대,경부선,,,,
세마,경부선,,,,
병점,경부선,,,,
세류,경부선,,,,
독산,경부선,,,,
화서,경부선,,,,
성균관대,경부선,,,,
의왕,경부선,,,,
군포,경부선,,,,
금정,경부선,과천선,,,
명학,경부선,,,,
안양,경부선,,,,
관악,경부선,,,,
석수,경부선,,,,
금천구청,경부선,,,,
구로,경부선,,,,
여주,경강선,,,,
세종대왕릉,경강선,,,,
부발,경강선,,,,
이천,경강선,,,,
신둔도예촌,경강선,,,,
곤지암,경강선,,,,
초월,경강선,,,,
경기광주,경강선,,,,
삼동,경강선,,,,
범계,과천선,,,,
평촌,과천선,,,,
인덕원,과천선,,,,
정부과천청사,과천선,,,,
과천,과천선,,,,
대공원,과천선,,,,
경마공원,과천선,,,,
선바위,과천선,,,,
신창(순천향대),장항선,,,,
온양온천,장항선,,,,
배방,장항선,,,,
탕정,장항선,,,,
아산,장항선,,,,
쌍용(나사렛대),장항선,,,,
봉명,장항선,,,,
춘천,경춘선,,,,
남춘천,경춘선,,,,
김유정,경춘선,,,,
강촌,경춘선,,,,
백양리,경춘선,,,,
굴봉산,경춘선,,,,
가평,경춘선,,,,
상천,경춘선,,,,
청평,경춘선,,,,
대성리,경춘선,,,,
마석,경춘선,,,,
천마산,경춘선,,,,
평내호평,경춘선,,,,
금곡,경춘선,,,,
사릉,경춘선,,,,
퇴계원,경춘선,,,,
갈매,경춘선,,,,
운천,경의중앙선,,,,
임진강,경의중앙선,,,,
문산,경의중앙선,,,,
파주,경의중앙선,,,,
월롱,경의중앙선,,,,
금촌,경의중앙선,,,,
금릉,경의중앙선,,,,
야당,경의중앙선,,,,
탄현,경의중앙선,,,,
일산,경의중앙선,,,,
풍산,경의중앙선,,,,
백마,경의중앙선,,,,
곡산,경의중앙선,,,,
능곡,경의중앙선,,,,
행신,경의중앙선,,,,
강매,경의중앙선,,,,
화전,경의중앙선,,,,
수색,경의중앙선,,,,
가좌,경의중앙선,,,,
서강대,경의중앙선,,,,
신촌,경의중앙선,2호선,,,
지평,중앙선,,,,
용문,중앙선,,,,
원덕,중앙선,,,,
오빈,중앙선,,,,
아신,중앙선,,,,
국수,중앙선,,,,
신원,중앙선,,,,
양수,중앙선,,,,
운길산,중앙선,,,,
팔당,중앙선,,,,
도심,중앙선,,,,
덕소,중앙선,,,,
양정,중앙선,,,,
도농,중앙선,,,,
양원,중앙선,,,,
망우,중앙선,,,,
중랑,중앙선,,,,
대모산입구,분당선,,,,
개포동,분당선,,,,
구룡,분당선,,,,
도곡,분당선,3호선,,,
한티,분당선,,,,
선릉,분당선,2호선,,,
녹천,경원선,,,,
월계,경원선,,,,
광운대,경원선,,,,
신이문,경원선,,,,
외대앞,경원선,,,,
회기,중앙선,,,,
청량리(서울시립대입구),경원선,1호선,,,
응봉,경원선,,,,
옥수,경원선,3호선,,,
한남,경원선,,,,
서빙고,경원선,,,,
이촌(국립중앙박물관),경원선,4호선,,,
신도림,경부선,2호선,,,
영등포,경부선,,,,
용산,경부선,,,,
남영,경부선,,,,
남태령,4호선,,,,
사당,4호선,2호선,,,
총신대입구(이수),4호선,,,,
신용산,4호선,,,,
숙대입구(갈월),4호선,,,,
회현(남대문시장),4호선,,,,
명동,4호선,,,,
충무로,4호선,3호선,,,
동대문,4호선,1호선,,,
혜화,4호선,,,,
한성대입구(삼선교),4호선,,,,
길음,4호선,,,,
미아사거리,4호선,,,,
미아(서울사이버대학),4호선,,,,
수유(강북구청),4호선,,,,
쌍문,4호선,,,,
창동,4호선,,,,
상계,4호선,,,,
불암산,4호선,,,,
별내별가람,진접선,,,,
오남,진접선,,,,
진접,진접선,,,,
경찰병원,3호선,,,,
일원,3호선,,,,
대청,3호선,,,,
학여울,3호선,,,,
대치,3호선,,,,
매봉,3호선,,,,
남부터미널(예술의전당),3호선,,,,
교대(법원.검찰청),3호선,2호선,,,
잠원,3호선,,,,
압구정,3호선,,,,
금호,3호선,,,,
동대입구,3호선,,,,
을지로3가,3호선,2호선,,,
안국,3호선,,,,
경복궁(정부서울청사),3호선,,,,
독립문,3호선,,,,
무악재,3호선,,,,
홍제,3호선,,,,
녹번,3호선,,,,
구파발,3호선,,,,
용두(동대문구청),2호선,,,,
신정네거리,2호선,,,,
양천구청,2호선,,,,
도림천,2호선,,,,
신답,2호선,,,,
용답,2호선,,,,
아현,2호선,,,,
이대,2호선,,,,
문래,2호선,,,,
구로디지털단지,2호선,,,,
신대방,2호선,,,,
봉천,2호선,,,,
서울대입구(관악구청),2호선,,,,
낙성대,2호선,,,,
방배,2호선,,,,
서초,2호선,,,,
역삼,2호선,,,,
삼성(무역센터),2호선,,,,
잠실새내,2호선,,,,
잠실나루,2호선,,,,
강변(동서울터미널),2호선,,,,
구의(광진구청),2호선,,,,
성수,2호선,,,,
뚝섬,2호선,,,,
한양대,2호선,,,,
상왕십리,2호선,,,,
을지로입구,2호선,,,,
시청,2호선,1호선,,,
제기동,1호선,,,,
종로5가,1호선,,,,
종각,1호선,,,,
