역사명,월평균승하차,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,한강공원면적합산(㎡)
삼양,4836.17,1,1,0,1,0,0
삼양사거리,5088.42,1,1,0,1,0,0
삼전,15668.17,1,3,74898,0,0,0
상계,36708.17,1,4,16554,2,0,0
상도,23308.33,1,2,89612,0,0,0
상봉(시외버스터미널),45025.25,2,0,0,0,0,0
상수,21994.08,1,1,72407,0,0,0
상왕십리,27506.17,1,2,27973,0,0,0
상월곡(한국과학기술연구원),12218.25,1,2,681743,0,0,0
상일동,27176,1,4,492450,0,0,0
새절(신사),23606.25,1,1,0,1,0,0
샛강,18206.5,2,2,43068,0,0,0
서강대,4358.83,1,2,82480,0,0,0
서대문,36638.25,1,5,168519,1,0,0
서빙고,4483,1,2,177830,0,1,91391
서울대벤처타운,18675.75,1,2,4294,1,0,0
서울대입구(관악구청),88630.42,1,2,675,1,0,0
서울숲,24987.75,1,2,652153,0,0,0
서울역,222213.75,6,3,45593,1,0,0
서울지방병무청,6512.42,1,2,241918,0,0,0
서원,6667.17,1,2,129678,1,0,0
서초,41371.92,1,1,430421,0,0,0
석계,39292.67,2,2,32005,0,0,0
석촌,36642.33,2,4,295943,0,0,0
석촌고분,14108.58,1,4,185037,0,0,0
선릉,127679.08,2,1,240593,0,0,0
선유도,16190.92,1,2,40333,0,1,126112
선정릉,33281.75,2,1,229931,0,0,0
성수,102249.25,1,2,41409,0,0,0
성신여대입구(돈암),51103.33,2,2,62097,0,0,0
솔밭공원,5047.67,1,2,112900,0,0,0
솔샘,11042.17,1,1,0,1,0,0
송정,12081.33,1,0,0,0,0,0
송파,18626.08,1,3,22557,0,0,0
송파나루,12046.33,1,6,170648,0,0,0
수락산,24317.92,1,2,13144,1,0,0
수색,6035.42,1,2,16,1,0,0
수서,70758.83,3,2,151534,0,0,0
수유(강북구청),66529.75,1,2,73794,0,0,0
숙대입구(갈월),29650.5,1,1,9940,0,0,0
숭실대입구(살피재),26683,1,1,209977,0,0,0
시청,100789.75,2,5,99599,0,0,0
신금호,12452.17,1,2,92181,0,0,0
신길,25551.25,2,3,111864,0,0,0
신내,5256.08,2,1,8414,0,0,0
신논현,82325.08,2,2,38452,0,0,0
신답,3332.25,1,3,36343,0,0,0
신당,46374.08,2,1,5812,0,0,0
신대방,47733.42,1,2,215943,0,0,0
신대방삼거리,28279.08,1,2,171969,0,0,0
신도림,103765.17,2,1,4229,0,0,0
신림,111340,2,2,72520,1,0,0
신목동,8226.17,1,4,202405,0,1,15947
신반포,8908.42,1,2,25905,0,1,85409
신방화,13288.58,1,1,3548,0,0,0
신사,68374.33,2,3,42675,0,0,0
신설동,39360,3,2,51061,0,0,0
신용산,42762.58,1,0,0,0,0,0
신이문,15321.92,1,3,66378,0,0,0
신정(은행정),23529.42,1,1,6073,0,0,0
신정네거리,19864.67,1,3,163181,0,0,0
신촌,77599.67,2,1,5186,0,0,0
신풍,22016.83,1,3,31667,0,0,0
쌍문,54377.25,1,2,128143,0,0,0
아차산(어린이대공원후문),28986.08,1,1,297102,0,0,0
아현,20598.5,1,1,11222,0,0,0
안국,54922.5,1,7,432284,0,0,0
안암(고대병원앞),25331.08,1,1,48810,0,0,0
암사,30214.33,1,1,26900,0,1,167582
암사역사공원,11739.42,1,1,2,0,0,0
압구정,61046.83,1,2,36618,0,1,64001
압구정로데오,38267.67,1,1,29816,0,1,23383
애오개,12460.25,1,1,17302,0,0,0
약수,31540.67,2,2,96582,1,0,0
양원,5973,1,3,219981,1,0,0
양재(서초구청),89738.42,2,2,28520,1,0,0
양재시민의숲(매헌),22931.58,1,6,323634,1,0,0
양천구청,13280.33,1,5,88819,0,0,0
양천향교,20228.92,1,5,396746,0,0,0
양평,21778.25,1,1,302,0,0,0
어린이대공원(세종대),32123.92,1,2,406596,0,0,0
언주,21738.42,1,1,24569,0,0,0
여의나루,28330.5,1,1,84418,0,1,278231
여의도,111472.75,2,2,211169,0,0,0
역삼,96612.17,1,1,33250,0,0,0
역촌,8111.83,1,1,29905,0,0,0
연신내,69566.25,3,1,72316,0,0,0
염창,33536.17,1,3,230622,0,0,0
영등포,83676.92,1,2,67703,0,0,0
영등포구청,52714.67,2,2,23018,0,0,0
영등포시장,23506.08,1,1,6014,0,0,0
오금,18810.5,2,6,273186,0,0,0
오류동,21393.5,1,0,0,0,0,0
오목교(목동운동장앞),41896.83,1,1,21411,0,0,0
옥수,17827.67,2,1,0,1,1,66671
온수(성공회대입구),30039.92,2,1,5776,0,0,0
올림픽공원(한국체대),28371.08,2,2,837665,0,0,0
왕십리(성동구청),72393.67,3,0,0,0,0,0
외대앞,19815.75,1,3,42283,0,0,0
용답,5864.92,1,3,69132,0,0,0
용두(동대문구청),4996.25,1,1,17152,0,0,0
용마산,11005.5,1,4,120834,1,0,0
용산,89728.42,1,0,0,0,0,0
우장산,28593.33,1,1,15777,0,0,0
월계,12989.25,1,1,345699,0,0,0
월곡(동덕여대),22643,1,3,384508,0,0,0
월드컵경기장(성산),11979.25,1,2,327082,0,0,0
을지로3가,71912.5,2,4,96001,1,0,0
을지로4가,40374.08,2,3,108821,0,0,0
을지로입구,97612.58,1,3,82940,0,0,0
응봉,3435.25,1,2,535094,0,0,0
응암,34411.83,1,0,0,0,0,0
이대,34450.08,1,1,5186,0,0,0
이수,32244.75,1,1,28131,0,0,0
이촌(국립중앙박물관),28878.75,2,1,14916,0,1,147855
이태원,25390.33,1,2,3678,1,0,0
일원,20566.25,1,1,12878,0,0,0
잠실(송파구청),199259,2,4,242499,0,0,0
잠실나루,27552.08,1,1,12793,0,1,47133
잠실새내,46138.33,1,3,37921,0,1,85361
잠원,11343.58,1,2,12791,0,1,170341
장승배기,17913.08,1,1,85192,0,0,0
장지,31909.5,1,4,78701,0,0,0
장한평,37164.08,1,3,95935,0,0,0
정릉,8962.17,1,2,17350,1,0,0
제기동,33011.17,1,1,17152,0,0,0
종각,74211.5,1,6,67815,0,0,0
종로3가,103945.08,3,6,375932,0,0,0
종로5가,45913.67,1,5,154051,0,0,0
종합운동장,38797.58,2,2,127591,0,1,25137
중계,27061.08,1,10,192974,0,0,0
중곡,20370.33,1,3,37389,1,0,0
중랑,10545.75,1,1,31259,0,0,0
중앙보훈병원,22495.25,1,1,0,1,0,0
중화,20550.25,1,1,195927,0,0,0
