역사명,호선,공원수,공원면적합산(㎡),도시자연공원수,공원목록,한강공원수,한강공원면적합산(㎡),한강공원목록
서울대입구(관악구청),2호선,2,405054,1,"관악산<시공원>, 까치산<시공원>",0,0,없음
낙성대,2호선,3,442302,1,"(까치산, 관악산<시공원>, 까치산<시공원>",0,0,없음
사당,2호선,2,0,2,"관악산<시공원>, 우면산<시공원>",0,0,없음
방배,2호선,1,671580,0,서리풀<시공원>,0,0,없음
서초,2호선,1,671580,0,서리풀<시공원>,0,0,없음
교대(법원.검찰청),2호선,2,678585,0,"명달, 서리풀<시공원>",0,0,없음
강남,2호선,2,40255,0,"명달, 역삼",0,0,없음
역삼,2호선,1,33250,0,역삼,0,0,없음
선릉,2호선,1,240593,0,선·정릉,0,0,없음
삼성(무역센터),2호선,2,695530,0,"봉은, 탄천",0,0,없음
종합운동장,2호선,2,686080,0,"아시아, 탄천",0,0,없음
잠실새내,2호선,3,86064,0,"개나리, 아시아, 잠실",1,268720,(광나루지구
잠실(송파구청),2호선,3,321167,0,"벚꽃, 송파나루근린공원, 신천교통",0,0,없음
잠실나루,2호선,1,12793,0,신천교통,1,268720,(광나루지구
강변(동서울터미널),2호선,1,10427,0,구의,0,0,없음
구의(광진구청),2호선,1,10427,0,구의,0,0,없음
건대입구,2호선,0,0,0,없음,0,0,없음
성수,2호선,2,537838,0,"성수, 중랑천",0,0,없음
뚝섬,2호선,3,1456975,0,"서울숲, 성수, 중랑천",0,0,없음
한양대,2호선,2,1451858,0,"서울숲, 중랑천",0,0,없음
왕십리(성동구청),2호선,0,0,0,없음,0,0,없음
상왕십리,2호선,2,27973,0,"(무학봉, 무학봉",0,0,없음
신당,2호선,3,36377,0,"(무학봉, 동묘, 무학봉",0,0,없음
동대문역사문화공원,2호선,3,172266,1,"낙산, 남산, 훈련원",0,0,없음
을지로4가,2호선,3,234714,0,"종묘, 종묘광장, 훈련원",0,0,없음
을지로3가,2호선,4,232898,1,"남산, 종묘, 종묘광장, 탑골",0,0,없음
을지로입구,2호선,3,88375,0,"덕수, 서울광장, 탑골",0,0,없음
시청,2호선,5,198985,0,"경희궁<시공원>, 덕수, 서소문역사공원, 서울광장, 정동",0,0,없음
동묘앞,1호선,3,206377,0,"낙산, 동묘, 숭인",0,0,없음
청량리(서울시립대입구),1호선,1,15104,0,간데메,0,0,없음
제기동,1호선,1,17152,0,용두근린공원,0,0,없음
신설동,1호선,2,51061,0,"동묘, 숭인",0,0,없음
동대문,1호선,4,223327,0,"낙산, 동묘, 숭인, 훈련원",0,0,없음
종로5가,1호선,5,613856,0,"낙산, 종묘, 종묘광장, 창경, 훈련원",0,0,없음
종로3가,1호선,4,456724,0,"종묘, 종묘광장, 창경, 탑골",0,0,없음
종각,1호선,6,538571,0,"경복, 광화문열린마당, 덕수, 서울광장, 세종로광장, 탑골",0,0,없음
시청,1호선,4,181961,0,"경희궁<시공원>, 덕수, 서울광장, 정동",0,0,없음
서울역,1호선,3,46638,1,"남산, 서소문역사공원, 손기정체육공원",0,0,없음
