역사명,호선,공원수,공원면적합산(㎡),도시자연공원수,공원목록,한강공원수,한강공원면적합산(㎡),한강공원목록
석촌고분,9호선(연장),4,973273,0,"백제초기적석총, 삼전, 송파나루근린공원, 탄천",0,0,없음
삼전,9호선(연장),3,633203,0,"삼전, 잠실, 탄천",0,0,없음
종합운동장,9호선(연장),2,686080,0,"아시아, 탄천",1,268720,(광나루지구
봉은사,9호선(연장),2,695530,0,"봉은, 탄천",0,0,없음
삼성중앙,9호선(연장),3,375575,0,"봉은, 선·정릉, 청담",0,0,없음
선정릉,9호선(연장),1,240593,0,선·정릉,0,0,없음
언주,9호선(연장),1,33250,0,역삼,0,0,없음
신논현,9호선,2,40255,0,"명달, 역삼",0,0,없음
사평,9호선,2,678585,0,"명달, 서리풀<시공원>",0,0,없음
고속터미널,9호선,1,671580,0,서리풀<시공원>,1,503811,잠원지구
신반포,9호선,2,697874,0,"반포, 서리풀<시공원>",1,503811,잠원지구
구반포,9호선,2,68250,0,"동작주차, 반포",1,503811,잠원지구
동작(현충원),9호선,1,41956,0,동작주차,1,503811,잠원지구
흑석(중앙대입구),9호선,2,397553,0,"노량진<시공원>, 용봉정",0,0,없음
노들,9호선,4,472731,0,"노량진<시공원>, 배수지공원, 사육신공원, 용봉정",0,0,없음
노량진,9호선,2,365460,0,"노량진<시공원>, 사육신공원",1,655589,여의도지구
샛강,9호선,2,344859,0,"노량진<시공원>, 자매",0,0,없음
여의도,9호선,2,242611,0,"여의도, 자매",0,0,없음
국회의사당,9호선,1,226220,0,여의도,1,655589,여의도지구
당산,9호선,0,0,0,없음,2,850688,"양화지구, 여의도지구"
선유도,9호선,2,126432,0,"목마, 선유도공원",1,195099,양화지구
신목동,9호선,4,260109,0,"목동, 목마, 양화폭포, 용왕산<시공원>",1,195099,양화지구
염창,9호선,3,247598,0,"목동, 양화폭포, 용왕산<시공원>",0,0,없음
등촌,9호선,2,1014881,0,"봉제산<시공원>, 염창<시공원>",0,0,없음
증미,9호선,2,135849,0,"염창<시공원>, 황금내",0,0,없음
가양,9호선,4,87901,0,"공암나루, 구암, 서낭당, 황금내",0,0,없음
양천향교,9호선,5,815118,0,"공암나루, 구암, 궁산<시공원>, 등촌, 서울식물원",0,0,없음
마곡나루,9호선,2,636223,0,"마곡(미조성, 서울식물원",0,0,없음
신방화,9호선,1,9723,0,옹기골,0,0,없음
공항시장,9호선,0,0,0,없음,0,0,없음
김포공항,9호선,0,0,0,없음,0,0,없음
개화,9호선,0,0,0,없음,0,0,없음
복정,8호선,2,722879,0,"율현공원, 탄천",0,0,없음
장지,8호선,4,1385034,0,"문정동근린공원, 연화, 장지<시공원>, 탄천",0,0,없음
문정,8호선,4,698518,0,"건너말, 문정동근린공원, 연화, 탄천",0,0,없음
가락시장,8호선,4,59459,0,"가락, 건너말, 숯내, 훼밀리",0,0,없음
송파,8호선,3,23357,0,"동산, 송이, 송파",0,0,없음
석촌,8호선,4,358863,0,"동산, 백제초기적석총, 송파, 송파나루근린공원",0,0,없음
잠실(송파구청),8호선,4,328075,0,"방이, 벚꽃, 송파나루근린공원, 신천교통",0,0,없음
몽촌토성(평화의문),8호선,3,1920902,0,"방이, 송파나루근린공원, 올림픽공원",0,0,없음
강동구청,8호선,4,1662953,0,"성내, 올림픽공원, 태양, 풍납",0,0,없음
천호(풍납토성),8호선,2,62102,0,"천호, 풍납",1,478591,광나루지구
암사,8호선,1,26900,0,천호,1,478591,광나루지구
암사역사공원,8호선,1,25228,0,샛마을,0,0,없음
온수(성공회대입구),7호선,1,96225,0,푸른수목원,0,0,없음
천왕,7호선,0,0,0,없음,0,0,없음
가산디지털단지,7호선,1,195350,0,금천한내(안양천,0,0,없음
남구로,7호선,0,0,0,없음,0,0,없음
대림(구로구청),7호선,2,24587,0,"구로, 대림",0,0,없음
신풍,7호선,3,524594,0,"메낙골, 보라매, 신길",0,0,없음
보라매,7호선,3,831544,0,"노량진<시공원>, 메낙골, 보라매",0,0,없음
신대방삼거리,7호선,2,768237,0,"노량진<시공원>, 보라매",0,0,없음
장승배기,7호선,1,328467,0,노량진<시공원>,0,0,없음
상도,7호선,2,716147,0,"노량진<시공원>, 상도<시공원>",0,0,없음
숭실대입구(살피재),7호선,1,387679,0,상도<시공원>,0,0,없음
남성,7호선,3,471086,0,"(까치산, 3.1, 까치산<시공원>",0,0,없음
이수,7호선,1,28785,0,3.1,0,0,없음
내방,7호선,1,671580,0,서리풀<시공원>,0,0,없음
고속터미널,7호선,1,671580,0,서리풀<시공원>,0,0,없음
반포,7호선,2,678272,0,"서리풀<시공원>, 신동",0,0,없음
논현,7호선,2,36576,0,"신동, 학동",0,0,없음
학동,7호선,1,29884,0,학동,0,0,없음
강남구청,7호선,0,0,0,없음,0,0,없음
청담,7호선,3,146655,0,"봉은, 청담, 청수",0,0,없음
뚝섬유원지,7호선,0,0,0,없음,1,335390,(뚝섬지구
건대입구,7호선,1,6999,0,광진광장,0,0,없음
어린이대공원(세종대),7호선,2,614243,0,"광진광장, 어린이대공원",0,0,없음
군자(능동),7호선,3,1190075,0,"어린이대공원, 중랑천, 중랑천둔치",0,0,없음
중곡,7호선,3,133123,1,"용마<시공원>, 용마폭포공원, 중랑천둔치",0,0,없음
용마산,7호선,4,278909,1,"용마<시공원>, 용마폭포공원, 중랑천둔치, 중랑천변",0,0,없음
사가정,7호선,2,83013,1,"용마<시공원>, 용마폭포공원",0,0,없음
면목,7호선,0,0,0,없음,0,0,없음
상봉(시외버스터미널),7호선,0,0,0,없음,0,0,없음
중화,7호선,1,1035077,0,봉화산<시공원>,0,0,없음
먹골,7호선,2,1567797,0,"봉화산<시공원>, 중랑천",0,0,없음
태릉입구,7호선,3,1588040,0,"봉화산<시공원>, 중랑천, 한내",0,0,없음
공릉(서울과학기술대),7호선,1,20243,0,한내,0,0,없음
하계,7호선,3,56069,0,"골마을, 등나무, 중계",0,0,없음
중계,7호선,10,235552,0,"가재울, 노해, 느티울, 달맞이, 당현천, 등나무, 마들, 원터, 중계, 한글비",0,0,없음
노원,7호선,4,72380,0,"느티울, 당현천, 온수, 원터",0,0,없음
마들,7호선,5,68105,1,"갈말, 갈울, 상계, 수락산<시공원>, 온수",0,0,없음
수락산,7호선,2,13144,1,"벽운, 수락산<시공원>",0,0,없음
도봉산,7호선,1,61674,0,서울창포원,0,0,없음
신내,6호선,1,1035077,0,봉화산<시공원>,0,0,없음
봉화산(서울의료원),6호선,3,1091241,0,"공릉동, 봉화산<시공원>, 솔밭",0,0,없음
화랑대(서울여대입구),6호선,3,1091241,0,"공릉동, 봉화산<시공원>, 솔밭",0,0,없음
태릉입구,6호선,3,1588040,0,"봉화산<시공원>, 중랑천, 한내",0,0,없음
석계,6호선,2,552963,0,"중랑천, 한내",0,0,없음
돌곶이,6호선,1,750681,0,청량<시공원>,0,0,없음
상월곡(한국과학기술연구원),6호선,2,1009156,0,"(오동, 청량<시공원>",0,0,없음
월곡(동덕여대),6호선,3,1165792,0,"(오동, (청량, 청량<시공원>",0,0,없음
고려대(종암),6호선,3,518081,0,"(청량, 개운산<시공원>, 홍릉<시공원>",0,0,없음
안암(고대병원앞),6호선,1,268022,0,개운산<시공원>,0,0,없음
보문,6호선,4,499828,0,"(낙산, 개운산<시공원>, 낙산, 숭인",0,0,없음
창신,6호선,4,240210,0,"(낙산, 낙산, 동묘, 숭인",0,0,없음
동묘앞,6호선,3,206377,0,"낙산, 동묘, 숭인",0,0,없음
신당,6호선,1,8404,0,동묘,0,0,없음
청구,6호선,2,96582,1,"남산, 응봉공원",0,0,없음
약수,6호선,2,96582,1,"남산, 응봉공원",0,0,없음
버티고개,6호선,2,96582,1,"남산, 응봉공원",0,0,없음
한강진,6호선,2,28314,1,"남산, 한남",0,0,없음
이태원,6호선,2,28314,1,"남산, 한남",0,0,없음
녹사평(용산구청),6호선,0,0,0,없음,0,0,없음
삼각지,6호선,0,0,0,없음,0,0,없음
효창공원앞,6호선,1,160489,0,효창<시공원>,0,0,없음
공덕,6호선,1,160489,0,효창<시공원>,0,0,없음
대흥(서강대앞),6호선,0,0,0,없음,0,0,없음
광흥창(서강),6호선,1,91578,0,와우근린공원,0,0,없음
상수,6호선,1,91578,0,와우근린공원,0,0,없음
합정,6호선,0,0,0,없음,1,148521,망원지구
망원,6호선,0,0,0,없음,0,0,없음
마포구청,6호선,1,2651449,0,월드컵,0,0,없음
월드컵경기장(성산),6호선,2,2727842,0,"문화비축기지, 월드컵",0,0,없음
디지털미디어시티,6호선,2,76394,1,"문화비축기지, 봉산<시공원>",0,0,없음
증산(명지대앞),6호선,1,0,1,봉산<시공원>,0,0,없음
새절(신사),6호선,1,0,1,봉산<시공원>,0,0,없음
구산,6호선,0,0,0,없음,0,0,없음
연신내,6호선,1,132133,0,불광<시공원>,0,0,없음
독바위,6호선,3,132133,2,"(북한산, 북한산(시공원, 불광<시공원>",0,0,없음
불광,6호선,3,162038,1,"(북한산, 녹번서, 불광<시공원>",0,0,없음
역촌,6호선,1,29905,0,녹번서,0,0,없음
응암,6호선,0,0,0,없음,0,0,없음
강일,5호선,1,99569,0,동명,0,0,없음
마천,5호선,2,265070,0,"성내천, 천마<시공원>",0,0,없음
거여,5호선,5,854717,0,"거여, 목련, 문정동근린공원, 성내천, 장지<시공원>",0,0,없음
개롱,5호선,9,1138363,0,"개농, 거여, 누에머리, 두댐이, 목련, 문정동근린공원, 성내천, 오금<시공원>, 장지<시공원>",0,0,없음
오금,5호선,6,358752,0,"가락, 백토, 성내천, 송이, 오금<시공원>, 웃말",0,0,없음
방이,5호선,5,1883197,0,"방이동고분, 백토, 오금<시공원>, 올림픽공원, 웃말",0,0,없음
올림픽공원(한국체대),5호선,2,1691843,0,"성내천, 올림픽공원",0,0,없음
둔촌동,5호선,1,1612212,0,올림픽공원,0,0,없음
상일동,5호선,4,902497,0,"동명, 명일<시공원>, 방죽, 샘터",0,0,없음
고덕,5호선,9,913627,0,"까치, 동자, 두레, 명일<시공원>, 방죽, 샘터, 샛마을, 송림, 원터",0,0,없음
명일,5호선,3,79438,0,"까치, 샛마을, 원터",0,0,없음
굽은다리(강동구민회관앞),5호선,1,25228,0,샛마을,0,0,없음
길동,5호선,0,0,0,없음,0,0,없음
강동,5호선,1,8921,0,성내,0,0,없음
천호(풍납토성),5호선,2,62102,0,"천호, 풍납",1,478591,광나루지구
광나루(장신대),5호선,0,0,0,없음,0,0,없음
아차산(어린이대공원후문),5호선,1,607244,0,어린이대공원,0,0,없음
군자(능동),5호선,3,1190075,0,"어린이대공원, 중랑천, 중랑천둔치",0,0,없음
장한평,5호선,3,631463,0,"전농천, 중랑천, 중랑천둔치",0,0,없음
답십리,5호선,4,81920,0,"간데메, 용답꽃공원, 용답휴식, 전농천",0,0,없음
마장,5호선,2,23166,0,"용답휴식, 용두근린공원",0,0,없음
왕십리(성동구청),5호선,0,0,0,없음,0,0,없음
행당,5호선,2,27973,0,"(무학봉, 무학봉",0,0,없음
신금호,5호선,2,110130,0,"금호, 응봉공원",0,0,없음
청구,5호선,2,96582,1,"남산, 응봉공원",0,0,없음
동대문역사문화공원,5호선,2,16950,1,"남산, 훈련원",0,0,없음
을지로4가,5호선,3,234714,0,"종묘, 종묘광장, 훈련원",0,0,없음
종로3가,5호선,6,926924,0,"원서, 종묘, 종묘광장, 창경, 창덕, 탑골",0,0,없음
