역명,passenger_sum_01,passenger_sum_02,passenger_sum_03,passenger_sum_04,passenger_sum_05,passenger_sum_06,passenger_sum_07,passenger_sum_08,passenger_sum_09,passenger_sum_10,passenger_sum_11,passenger_sum_12,annual_total,daily_avg
잠실(송파구청),5350569,5531176,5962943,6510540,6727558,5656890,6217732,5868021,5804280,5843531,6144270,7110346,72727856,199254 
잠실나루,740249,771988,847137,897570,927489,811050,853151,776767,875100,798405,866520,886228,10051654,27539 
잠실새내,1237396,1275904,1452164,1476630,1525851,1369680,1456163,1362109,1439040,1318337,1409010,1514660,16836944,46129 
잠원,255471,265412,306962,319290,329933,296880,352160,362452,413460,383408,419970,437658,4143056,11351 
장승배기,479601,495880,549258,555750,574275,520650,568137,532239,580890,527868,562800,589186,6536534,17908 
장지,882012,912828,1003563,1011420,1045134,936180,1004803,922901,980160,916360,985770,1040949,11642080,31896 
장한평,1010228,1056048,1166375,1177830,1217091,1095330,1164670,1073003,1164810,1070616,1146750,1216316,13559067,37148 
정릉,240715,244048,290129,287880,297476,269910,265236,252681,285270,266476,284400,285975,3270196,8959 
제기동,990326,920276,1071391,1057440,1092688,980220,958551,931860,1036890,981181,1017300,1007035,12045158,33000 
종각,2013388,2110472,2378537,2311410,2388457,2084400,2284080,2146595,2311530,2107907,2302410,2641045,27080231,74192 
종로3가,2757140,2851324,3364833,3407250,3520825,3121350,3057995,2909505,3176790,3169316,3236400,3357951,37930679,103920 
종로5가,1227972,1274728,1477336,1437450,1485365,1348530,1381236,1355413,1452270,1379283,1438830,1495657,16754070,45902 
종합운동장,690432,715568,1174931,1479060,1528362,1397550,1440663,1402254,1284360,1031215,1049880,988063,14182338,38856 
중계,715635,741496,854205,875640,904828,812070,834086,764615,866190,788392,847470,869271,9873898,27052 
중곡,548328,565936,633671,645540,667058,600660,634911,587233,644280,595975,640890,668267,7432749,20364 
중랑,287246,285040,328414,333090,344193,316140,325066,312325,331590,316479,329640,339574,3848797,10545 
중앙보훈병원,592131,629916,679675,701430,724811,667770,737862,671491,732210,643560,696120,730515,8207491,22486 
중화,549134,564956,637608,648630,670251,602760,630013,593650,653970,614761,648990,684294,7499017,20545 
증미,396366,421820,448756,464700,480190,426030,475230,428079,470070,412517,445710,465403,5334871,14616 
증산(명지대앞),499968,503440,582614,592200,611940,542460,554993,515685,564540,529790,554340,572725,6624695,18150 
창동,1496990,1495144,1684788,1691040,1747408,1621980,1669722,1567236,1703610,1587665,1665810,1744835,19676228,53907 
창신,165261,165648,207297,216330,223541,189450,189627,172577,208680,187395,201270,203143,2330219,6384 
천왕,579266,594804,673940,692100,715170,648030,682403,623720,695850,642258,683130,709404,7940075,21754 
천호(풍납토성),2085525,2119096,2354977,2332800,2410560,2247750,2360836,2234170,2319090,2209587,2339220,2505947,27519558,75396 
청계산입구,244032,251524,313441,323010,328259,305430,274102,262477,288420,288734,311040,284301,3474770,9520 
청구,385454,399672,450182,455670,470859,416130,430931,392429,428340,394134,420720,436542,5081063,13921 
청담,947484,1020068,1115938,1149390,1187703,1044360,1120960,1013080,1135590,984622,1099800,1158377,12977372,35554 
청량리(서울시립대입구),2280267,2204916,2559329,2503080,2586516,2427690,2417287,2433097,2535720,2464841,2584830,2642378,29639951,81205 
총신대입구(이수),1086426,1094156,1244061,1251390,1293103,1175430,1212348,1141730,1227210,1152177,1223640,1276735,14378406,39393 
충무로,1510351,1598324,1936849,1998960,2065592,1761750,1814151,1691453,1963020,1775401,1969200,1951450,22036501,60374 
충정로(경기대입구),774442,819616,909447,932730,963821,838890,904735,810960,926700,819392,904770,949995,10555498,28919 
태릉입구,733894,752024,916918,919290,949933,876270,840937,798560,910080,837620,894930,906378,10336834,28320 
하계,909106,944160,1079110,1094790,1131283,999570,1029944,949530,1063890,978174,1065480,1098578,12343615,33818 
학동,1156517,1259216,1317779,1363140,1408578,1225650,1352437,1203792,1348290,1157199,1302450,1383809,15478857,42408 
학여울,116870,143276,170562,157200,162440,137460,141360,166842,140400,127131,165360,178498,1807399,4952 
한강진,950212,576128,749549,688620,711574,586350,617675,631067,691110,627998,659370,694803,8184456,22423 
한남,224378,182756,206150,211260,218302,198750,205592,192665,215580,197098,210780,220813,2484124,6806 
한성대입구(삼선교),688851,706188,919987,960270,992279,842130,801753,747007,924750,867349,926760,902596,10279920,28164 
한성백제,156209,162708,180172,189720,196044,178200,190743,181846,191670,179428,206430,197129,2210299,6056 
