역사명,호선1,호선2,호선3,호선4,호선5,총 호선
마장,5호선,,,,,1
왕십리(성동구청),5호선,경원선,2호선,,,3
행당,5호선,,,,,1
신금호,5호선,,,,,1
동대문역사문화공원,5호선,4호선,2호선,,,3
을지로4가,5호선,2호선,,,,2
종로3가,5호선,3호선,1호선,,,3
광화문(세종문화회관),5호선,,,,,1
서대문,5호선,,,,,1
충정로(경기대입구),5호선,2호선,,,,2
애오개,5호선,,,,,1
마포,5호선,,,,,1
여의나루,5호선,,,,,1
신길,5호선,경부선,,,,2
영등포시장,5호선,,,,,1
영등포구청,5호선,2호선,,,,2
양평,5호선,,,,,1
오목교(목동운동장앞),5호선,,,,,1
목동,5호선,,,,,1
신정(은행정),5호선,,,,,1
까치산,5호선,,,,,1
화곡,5호선,,,,,1
우장산,5호선,,,,,1
발산,5호선,,,,,1
마곡,5호선,,,,,1
송정,5호선,,,,,1
개화산,5호선,,,,,1
방화,5호선,,,,,1
원종,서해선,,,,,1
삼송,일산선,,,,,1
지축,일산선,3호선,,,,2
원흥,일산선,,,,,1
도봉,경원선,,,,,1
방학,경원선,,,,,1
태평,분당선,,,,,1
가천대,분당선,,,,,1
압구정로데오,분당선,,,,,1
서울숲,분당선,,,,,1
구일,경인선,,,,,1
역곡,경인선,,,,,1
오류동,경인선,,,,,1
개봉,경인선,,,,,1
독산,경부선,,,,,1
석수,경부선,,,,,1
금천구청,경부선,,,,,1
구로,경부선,,,,,1
정부과천청사,과천선,,,,,1
과천,과천선,,,,,1
대공원,과천선,,,,,1
경마공원,과천선,,,,,1
선바위,과천선,,,,,1
퇴계원,경춘선,,,,,1
갈매,경춘선,,,,,1
행신,경의중앙선,,,,,1
강매,경의중앙선,,,,,1
화전,경의중앙선,,,,,1
수색,경의중앙선,,,,,1
가좌,경의중앙선,,,,,1
서강대,경의중앙선,,,,,1
신촌,경의중앙선,2호선,,,,2
도농,중앙선,,,,,1
양원,중앙선,,,,,1
망우,중앙선,,,,,1
중랑,중앙선,,,,,1
대모산입구,분당선,,,,,1
개포동,분당선,,,,,1
구룡,분당선,,,,,1
도곡,분당선,3호선,,,,2
한티,분당선,,,,,1
선릉,분당선,2호선,,,,2
녹천,경원선,,,,,1
월계,경원선,,,,,1
광운대,경원선,,,,,1
신이문,경원선,,,,,1
외대앞,경원선,,,,,1
회기,중앙선,,,,,1
청량리(서울시립대입구),경원선,1호선,,,,2
응봉,경원선,,,,,1
옥수,경원선,3호선,,,,2
한남,경원선,,,,,1
서빙고,경원선,,,,,1
이촌(국립중앙박물관),경원선,4호선,,,,2
신도림,경부선,2호선,,,,2
영등포,경부선,,,,,1
용산,경부선,,,,,1
남영,경부선,,,,,1
남태령,4호선,,,,,1
사당,4호선,2호선,,,,2
총신대입구(이수),4호선,,,,,1
신용산,4호선,,,,,1
숙대입구(갈월),4호선,,,,,1
회현(남대문시장),4호선,,,,,1
명동,4호선,,,,,1
충무로,4호선,3호선,,,,2
동대문,4호선,1호선,,,,2
혜화,4호선,,,,,1
한성대입구(삼선교),4호선,,,,,1
길음,4호선,,,,,1
미아사거리,4호선,,,,,1
미아(서울사이버대학),4호선,,,,,1
수유(강북구청),4호선,,,,,1
쌍문,4호선,,,,,1
창동,4호선,,,,,1
상계,4호선,,,,,1
불암산,4호선,,,,,1
경찰병원,3호선,,,,,1
일원,3호선,,,,,1
대청,3호선,,,,,1
학여울,3호선,,,,,1
대치,3호선,,,,,1
매봉,3호선,,,,,1
남부터미널(예술의전당),3호선,,,,,1
교대(법원.검찰청),3호선,2호선,,,,2
잠원,3호선,,,,,1
압구정,3호선,,,,,1
금호,3호선,,,,,1
동대입구,3호선,,,,,1
을지로3가,3호선,2호선,,,,2
안국,3호선,,,,,1
경복궁(정부서울청사),3호선,,,,,1
독립문,3호선,,,,,1
무악재,3호선,,,,,1
홍제,3호선,,,,,1
녹번,3호선,,,,,1
구파발,3호선,,,,,1
용두(동대문구청),2호선,,,,,1
신정네거리,2호선,,,,,1
양천구청,2호선,,,,,1
도림천,2호선,,,,,1
신답,2호선,,,,,1
용답,2호선,,,,,1
아현,2호선,,,,,1
이대,2호선,,,,,1
문래,2호선,,,,,1
구로디지털단지,2호선,,,,,1
신대방,2호선,,,,,1
봉천,2호선,,,,,1
서울대입구(관악구청),2호선,,,,,1
낙성대,2호선,,,,,1
방배,2호선,,,,,1
서초,2호선,,,,,1
역삼,2호선,,,,,1
삼성(무역센터),2호선,,,,,1
잠실새내,2호선,,,,,1
잠실나루,2호선,,,,,1
강변(동서울터미널),2호선,,,,,1
구의(광진구청),2호선,,,,,1
성수,2호선,,,,,1
뚝섬,2호선,,,,,1
한양대,2호선,,,,,1
상왕십리,2호선,,,,,1
을지로입구,2호선,,,,,1
시청,2호선,1호선,,,,2
제기동,1호선,,,,,1
종로5가,1호선,,,,,1
종각,1호선,,,,,1
도봉산,1호선,7호선,,,,2
자양,7호선,,,,,1
